x,y,Category
3,490,Core
6,451,Core
7,5081,Accessory
4,3602,Accessory
6,4965,Accessory
4,3570,Accessory
4,1206,Accessory
4,486,Core
3,1004,Accessory
2,1508,Core
6,3874,Accessory
6,3967,Accessory
2,858,Accessory
5,3472,Accessory
3,4188,Accessory
5,483,Core
2,2800,Accessory
4,3270,Accessory
4,3454,Accessory
3,473,Core
7,4067,Accessory
4,470,Core
4,3499,Accessory
4,4399,Accessory
3,1063,Accessory
5,454,Core
7,459,Core
4,3556,Accessory
5,4599,Accessory
7,464,Core
4,457,Core
4,1407,Core
7,4883,Accessory
2,522,Accessory
5,4763,Accessory
4,498,Core
5,4802,Accessory
6,4806,Accessory
6,480,Core
6,3876,Accessory
5,3774,Accessory
5,4538,Accessory
6,4963,Accessory
3,3347,Accessory
6,4906,Accessory
4,3304,Accessory
7,4992,Accessory
5,3806,Accessory
4,3404,Accessory
4,3438,Accessory
3,3243,Accessory
5,4738,Accessory
3,477,Core
4,3345,Accessory
3,3454,Accessory
8,5224,Accessory
4,482,Core
4,4543,Accessory
8,473,Core
3,3436,Accessory
2,1660,Core
3,4186,Accessory
3,507,Core
6,3883,Accessory
6,3772,Accessory
7,452,Core
3,489,Core
4,3599,Accessory
2,2934,Accessory
3,3197,Accessory
5,499,Core
3,681,Accessory
7,5076,Accessory
4,1265,Accessory
5,4658,Accessory
5,4745,Accessory
6,4981,Accessory
5,4765,Accessory
6,4949,Accessory
5,458,Core
5,4552,Accessory
8,5206,Accessory
5,4565,Accessory
4,3558,Accessory
5,3813,Accessory
6,4920,Accessory
3,3036,Accessory
4,4600,Accessory
3,774,Accessory
4,3645,Accessory
2,469,Accessory
3,3300,Accessory
6,3990,Accessory
4,1402,Accessory
6,4931,Accessory
2,892,Accessory
5,3761,Accessory
5,3561,Accessory
4,1285,Accessory
4,477,Core
2,484,Core
5,3508,Accessory
6,3933,Accessory
6,5067,Accessory
4,501,Core
3,3304,Accessory
4,3606,Accessory
4,478,Core
3,3386,Accessory
4,3406,Accessory
5,3783,Accessory
3,3186,Accessory
4,3488,Accessory
4,4356,Accessory
4,1390,Core
4,3288,Accessory
5,3569,Accessory
3,465,Core
4,3467,Accessory
4,1269,Accessory
6,4883,Accessory
7,456,Core
4,462,Core
6,4847,Accessory
5,3554,Accessory
3,516,Core
4,4350,Accessory
3,3318,Accessory
6,5013,Accessory
2,519,Core
6,4992,Accessory
8,5304,Accessory
5,4850,Accessory
3,3063,Accessory
4,4595,Accessory
8,452,Core
4,495,Core
7,5161,Accessory
3,1463,Core
6,475,Core
5,4815,Accessory
6,1372,Core
5,1431,Core
3,3202,Accessory
3,3070,Accessory
6,493,Core
3,485,Core
5,478,Core
6,3920,Accessory
3,500,Core
6,3954,Accessory
2,452,Accessory
3,701,Core
5,479,Core
5,3722,Accessory
6,4911,Accessory
3,3365,Accessory
5,4808,Accessory
3,4184,Accessory
6,3926,Accessory
3,1078,Accessory
3,3090,Accessory
6,455,Core
5,3658,Accessory
5,463,Core
5,3852,Accessory
7,451,Core
4,4452,Accessory
5,4713,Accessory
2,878,Accessory
4,461,Core
5,3790,Accessory
6,4890,Accessory
3,494,Core
5,3590,Accessory
5,469,Core
5,3687,Accessory
2,2967,Accessory
5,467,Core
3,3415,Accessory
7,477,Core
3,746,Accessory
4,4623,Accessory
4,3517,Accessory
3,2692,Accessory
8,5237,Accessory
4,4575,Accessory
4,1343,Accessory
3,3267,Accessory
5,4585,Accessory
3,3108,Accessory
4,3533,Accessory
5,3635,Accessory
5,498,Core
4,3678,Accessory
2,628,Accessory
2,2591,Accessory
3,3431,Accessory
5,3618,Accessory
5,4824,Accessory
5,3741,Accessory
4,4469,Accessory
3,3276,Accessory
2,490,Core
3,513,Core
4,3469,Accessory
6,4696,Accessory
2,2874,Accessory
4,454,Core
5,465,Core
4,4531,Accessory
4,3624,Accessory
3,3224,Accessory
4,1398,Core
5,470,Core
5,3779,Accessory
5,4776,Accessory
5,4676,Accessory
6,478,Core
2,2784,Accessory
7,5087,Accessory
3,3121,Accessory
4,4415,Accessory
4,487,Core
6,4944,Accessory
2,1697,Core
3,1051,Accessory
5,4495,Accessory
5,4868,Accessory
4,497,Core
4,3468,Accessory
5,3736,Accessory
6,476,Core
2,1461,Core
2,487,Core
3,3381,Accessory
4,3483,Accessory
6,3842,Accessory
4,4366,Accessory
3,4211,Accessory
3,1136,Accessory
5,3844,Accessory
7,5045,Accessory
5,480,Core
2,509,Core
4,3575,Accessory
2,2977,Accessory
3,4122,Accessory
3,501,Core
3,656,Accessory
6,5019,Accessory
6,3698,Accessory
4,3586,Accessory
6,4926,Accessory
2,887,Accessory
4,3635,Accessory
5,1380,Core
2,512,Core
4,456,Core
6,466,Core
3,3084,Accessory
2,846,Accessory
2,253,Accessory
5,3826,Accessory
5,3597,Accessory
5,455,Core
3,1421,Core
2,2982,Accessory
2,1499,Core
5,477,Core
3,1126,Accessory
9,451,Core
4,3651,Accessory
7,5109,Accessory
7,5124,Accessory
4,4649,Accessory
7,4064,Accessory
3,503,Core
4,1388,Core
4,3689,Accessory
5,4814,Accessory
3,1075,Accessory
3,1022,Accessory
5,500,Core
5,475,Core
4,4394,Accessory
5,4596,Accessory
7,5108,Accessory
3,3457,Accessory
4,3559,Accessory
3,481,Core
7,5062,Accessory
2,2540,Accessory
4,4441,Accessory
7,5046,Accessory
3,1458,Core
5,457,Core
6,4902,Accessory
2,1649,Core
4,3444,Accessory
6,4892,Accessory
4,4495,Accessory
8,455,Core
4,504,Core
5,4750,Accessory
4,479,Core
4,3521,Accessory
4,3187,Accessory
6,468,Core
3,3085,Accessory
4,1594,Core
3,468,Core
3,3370,Accessory
5,4661,Accessory
7,5111,Accessory
5,495,Core
5,3414,Accessory
2,2981,Accessory
4,474,Core
3,3225,Accessory
5,3622,Accessory
5,4854,Accessory
5,3662,Accessory
7,4112,Accessory
2,772,Accessory
4,1393,Core
3,1461,Core
4,4365,Accessory
5,460,Core
6,4788,Accessory
5,3752,Accessory
4,499,Core
4,464,Core
6,4955,Accessory
7,492,Core
3,478,Core
5,4749,Accessory
4,4442,Accessory
4,3223,Accessory
5,4710,Accessory
5,4810,Accessory
5,3780,Accessory
5,4510,Accessory
6,465,Core
3,1470,Core
4,3555,Accessory
7,5105,Accessory
6,3914,Accessory
3,4151,Accessory
6,5003,Accessory
2,2960,Accessory
4,3662,Accessory
3,487,Core
5,4648,Accessory
3,4135,Accessory
4,4501,Accessory
4,4601,Accessory
6,4012,Accessory
4,455,Core
5,4762,Accessory
3,1407,Core
3,3246,Accessory
4,484,Core
5,3773,Accessory
3,1469,Core
4,1305,Accessory
5,468,Core
6,3966,Accessory
6,5010,Accessory
3,4137,Accessory
5,497,Core
3,1622,Core
3,471,Core
6,453,Core
4,4489,Accessory
7,4023,Accessory
5,1482,Accessory
8,5268,Accessory
3,510,Core
6,4757,Accessory
6,494,Core
5,3610,Accessory
2,803,Accessory
3,499,Core
4,460,Core
3,4198,Accessory
2,508,Core
4,1438,Core
4,4551,Accessory
7,474,Core
5,3659,Accessory
5,481,Core
5,4812,Accessory
2,571,Accessory
5,4701,Accessory
7,5091,Accessory
6,469,Core
6,4903,Accessory
3,1626,Core
5,3703,Accessory
3,1412,Core
8,5316,Accessory
5,4462,Accessory
3,3271,Accessory
5,4662,Accessory
3,483,Core
6,3875,Accessory
3,3203,Accessory
5,3639,Accessory
3,480,Core
5,3771,Accessory
8,451,Core
3,3303,Accessory
5,452,Core
6,3807,Accessory
4,459,Core
4,472,Core
4,916,Accessory
6,4910,Accessory
3,3239,Accessory
8,5282,Accessory
6,4659,Accessory
3,1631,Core
7,5139,Accessory
8,5234,Accessory
4,3621,Accessory
7,5162,Accessory
2,498,Core
5,459,Core
5,3791,Accessory
4,480,Core
6,4946,Accessory
7,5209,Accessory
6,474,Core
5,4514,Accessory
4,3589,Accessory
5,3698,Accessory
2,706,Core
3,1123,Accessory
2,1964,Core
4,3459,Accessory
5,4759,Accessory
4,1362,Accessory
6,3918,Accessory
3,1415,Core
4,502,Core
8,4243,Accessory
3,505,Core
4,3273,Accessory
3,1101,Accessory
4,476,Core
4,481,Core
4,3337,Accessory
6,4998,Accessory
3,1182,Accessory
3,3157,Accessory
2,3008,Accessory
6,3741,Accessory
4,3482,Accessory
3,466,Core
5,4766,Accessory
6,4960,Accessory
4,3389,Accessory
6,456,Core
7,5093,Accessory
5,4719,Accessory
2,1683,Core
4,3391,Accessory
7,4143,Accessory
3,3021,Accessory
3,955,Accessory
5,3789,Accessory
2,2935,Accessory
4,3453,Accessory
7,5098,Accessory
3,3124,Accessory
6,3891,Accessory
3,484,Core
4,496,Core
4,4562,Accessory
5,4746,Accessory
5,472,Core
4,458,Core
5,3762,Accessory
2,1576,Core
4,3584,Accessory
5,4794,Accessory
5,482,Core
6,4932,Accessory
3,475,Core
2,1503,Core
3,1135,Accessory
4,1271,Accessory
4,3371,Accessory
3,1608,Core
5,1407,Accessory
6,4034,Accessory
4,467,Core
5,1532,Accessory
3,4171,Accessory
5,3832,Accessory
2,3003,Accessory
4,1339,Accessory
3,506,Core
4,3510,Accessory
5,3707,Accessory
4,3323,Accessory
5,3768,Accessory
4,3626,Accessory
3,3115,Accessory
4,4268,Accessory
4,3540,Accessory
5,453,Core
6,4950,Accessory
5,1379,Core
3,1454,Core
2,388,Accessory
5,4640,Accessory
4,3477,Accessory
4,3425,Accessory
2,2930,Accessory
2,1656,Core
2,750,Accessory
3,3167,Accessory
5,3835,Accessory
6,3937,Accessory
3,4259,Accessory
4,471,Core
4,3633,Accessory
3,3408,Accessory
6,1670,Accessory
7,5027,Accessory
4,473,Core
5,3786,Accessory
6,497,Core
7,4097,Accessory
4,3669,Accessory
4,3318,Accessory
3,3169,Accessory
5,3579,Accessory
4,3569,Accessory
5,3628,Accessory
5,1382,Core
6,3760,Accessory
3,474,Core
3,3391,Accessory
4,3376,Accessory
4,4282,Accessory
5,4831,Accessory
2,516,Core
7,5142,Accessory
6,464,Core
4,468,Core
4,3434,Accessory
7,5187,Accessory
5,3728,Accessory
5,3695,Accessory
3,3413,Accessory
4,3615,Accessory
5,3836,Accessory
4,1394,Core
4,4566,Accessory
5,3644,Accessory
5,3744,Accessory
5,4783,Accessory
2,494,Core
7,475,Core
2,1452,Core
6,3988,Accessory
5,3551,Accessory
3,3259,Accessory
4,3422,Accessory
5,3643,Accessory
6,4951,Accessory
4,503,Core
4,1335,Accessory
4,500,Core
5,474,Core
2,704,Core
3,3216,Accessory
5,1386,Core
4,4420,Accessory
6,4743,Accessory
4,4281,Accessory
7,3949,Accessory
2,1490,Core
4,3407,Accessory
6,460,Core
4,4284,Accessory
4,4513,Accessory
6,3952,Accessory
5,496,Core
3,2986,Accessory
6,4897,Accessory
7,4134,Accessory
7,455,Core
2,2803,Accessory
6,457,Core
3,479,Core
4,1389,Core
4,1444,Core
6,4846,Accessory
3,3334,Accessory
6,5029,Accessory
6,4961,Accessory
5,3746,Accessory
5,476,Core
5,3808,Accessory
4,3581,Accessory
3,3257,Accessory
2,455,Accessory
6,4739,Accessory
5,3716,Accessory
3,504,Core
4,463,Core
5,461,Core
3,502,Core
4,3373,Accessory
4,1286,Accessory
5,4860,Accessory
5,3524,Accessory
3,1159,Accessory
4,465,Core
5,494,Core
5,4805,Accessory
4,3643,Accessory
2,3053,Accessory
6,459,Core
2,1495,Core
2,1432,Core
4,1392,Core
5,3731,Accessory
6,4860,Accessory
2,496,Core
6,3909,Accessory
5,4695,Accessory
4,4295,Accessory
7,4055,Accessory
7,5055,Accessory
4,1442,Core
4,4317,Accessory
4,3449,Accessory
2,2920,Accessory
2,511,Core
3,462,Core
3,1409,Core
6,3908,Accessory
6,3819,Accessory
2,1661,Core
4,483,Core
5,3670,Accessory
2,486,Core
3,1117,Accessory
7,5129,Accessory
5,4600,Accessory
6,477,Core
5,4564,Accessory
9,5411,Accessory
5,456,Core
4,4614,Accessory
5,4716,Accessory
4,3629,Accessory
2,2802,Accessory
7,473,Core
3,472,Core
6,4858,Accessory
6,3964,Accessory
4,1171,Accessory
5,3890,Accessory
5,4613,Accessory
5,4820,Accessory
3,3080,Accessory
3,1432,Core
4,3539,Accessory
5,1465,Accessory
5,4797,Accessory
3,3155,Accessory
4,4580,Accessory
3,4139,Accessory
4,1449,Core
3,3168,Accessory
6,452,Core
4,4642,Accessory
5,466,Core
4,3361,Accessory
6,3923,Accessory
6,3936,Accessory
3,1158,Accessory
5,1555,Accessory
3,500.0,Median
4,479.0,Median
2,519.0,Median
6,457.0,Median
9,451.0,Median
4,3582.0,Median
