x,y,Category
3,1780399,Core
4,681806,Core
6,15429461,Accessory
4,10818767,Accessory
3,13114108,Accessory
4,11303387,Accessory
6,274767,Core
7,20259601,Accessory
5,274767,Core
3,11071117,Accessory
3,966631,Core
5,276789,Core
3,3538277,Accessory
4,13114936,Accessory
4,12764401,Accessory
4,642713,Core
5,18133503,Accessory
3,326484,Core
2,560996,Core
4,241599,Core
4,678972,Core
4,12952191,Accessory
3,317024,Core
3,7007301,Accessory
2,3489849,Accessory
4,321587,Core
5,321587,Core
4,14366277,Accessory
6,18529070,Accessory
3,1514195,Core
3,5347639,Accessory
2,1148084,Core
4,8633493,Accessory
3,1384682,Core
4,14458882,Accessory
3,11586846,Accessory
2,566627,Core
4,241436,Core
3,9867978,Accessory
4,11344780,Accessory
2,6952507,Accessory
4,1218681,Core
6,18539915,Accessory
3,8630361,Accessory
5,1384328,Core
4,15864705,Accessory
3,11342502,Accessory
3,11289029,Accessory
5,280428,Core
4,1514165,Core
4,321761,Core
4,14410179,Accessory
4,280580,Core
5,16272394,Accessory
4,324891,Core
5,14842897,Accessory
6,205074,Core
5,283992,Core
5,276635,Core
2,3527393,Core
4,14179489,Accessory
3,13024028,Accessory
4,306121,Core
4,14842104,Accessory
5,17617761,Accessory
3,8889524,Accessory
6,17888316,Accessory
4,3042396,Core
6,192394,Core
6,16054860,Accessory
3,13077930,Accessory
4,14780125,Accessory
6,19377516,Accessory
7,19380099,Accessory
6,17261937,Accessory
3,318354,Core
6,193412,Core
4,651142,Core
4,10015557,Accessory
5,220070,Core
2,1827947,Core
4,1229687,Core
2,6956951,Accessory
4,280430,Core
6,12130233,Accessory
3,12990957,Accessory
6,19306094,Accessory
5,686143,Core
2,7844682,Accessory
4,321498,Core
6,256451,Core
4,9992265,Accessory
3,436374,Core
6,18527789,Accessory
5,10018370,Accessory
5,629666,Core
3,966063,Core
4,424661,Core
4,1386518,Core
5,210436,Core
4,682678,Core
2,1764462,Core
5,12984793,Accessory
5,219050,Core
5,681084,Core
3,3048682,Core
4,321157,Core
6,543691,Core
5,321157,Core
6,629664,Core
4,14412333,Accessory
6,17618447,Accessory
4,9871058,Accessory
7,20260827,Accessory
6,218622,Core
6,584192,Core
5,582765,Core
3,9868111,Accessory
6,259898,Core
3,986808,Core
4,16017453,Accessory
3,1764371,Core
2,3711349,Core
2,9656934,Accessory
4,305045,Core
6,204990,Core
5,9995076,Accessory
3,963846,Core
7,193320,Core
4,272633,Core
4,13122318,Accessory
4,11290022,Accessory
4,984514,Core
4,304877,Core
6,17343234,Accessory
6,298081,Core
5,298081,Core
6,204665,Core
6,193320,Core
5,298618,Core
2,3572496,Core
3,12913323,Accessory
3,318152,Core
2,1190701,Core
4,11036464,Accessory
4,241310,Core
5,634383,Core
2,7245638,Accessory
5,14577627,Accessory
3,1417635,Core
5,274477,Core
5,259900,Core
4,1381862,Core
4,12982114,Accessory
5,298241,Core
2,5337755,Core
2,6999152,Accessory
6,192317,Core
7,204990,Core
3,3527260,Core
5,16344889,Accessory
6,276635,Core
4,361143,Core
6,14865752,Accessory
5,13952556,Accessory
3,1543594,Core
4,12443148,Accessory
3,936362,Core
6,1122055,Core
4,1384019,Core
3,466549,Core
5,1123698,Core
6,13954520,Accessory
4,5354604,Accessory
6,17260679,Accessory
3,12823961,Accessory
3,8849578,Accessory
2,9253288,Accessory
4,14603238,Accessory
3,9875439,Accessory
4,9380468,Accessory
3,7983411,Accessory
3,9655043,Accessory
6,219955,Core
2,6771721,Accessory
5,10821740,Accessory
5,11106677,Accessory
4,1216017,Core
3,10080758,Accessory
2,3534614,Accessory
6,17586252,Accessory
2,1767415,Core
4,16023552,Accessory
5,630879,Core
5,210539,Core
2,7701663,Accessory
4,1217838,Core
5,12709227,Accessory
3,8593081,Accessory
6,19095357,Accessory
6,18541151,Accessory
5,581700,Core
3,8630352,Accessory
3,361896,Core
5,14614941,Accessory
3,5352134,Accessory
3,3711216,Core
4,241910,Core
5,13302361,Accessory
7,256451,Core
5,324694,Core
3,766991,Core
5,298460,Core
3,362062,Core
4,321330,Core
3,12594046,Accessory
4,241939,Core
3,12763496,Accessory
4,15901177,Accessory
2,8226391,Accessory
4,686148,Core
7,180798,Core
2,1132600,Core
2,9391174,Accessory
8,180798,Core
6,19093303,Accessory
5,14180251,Accessory
5,17881934,Accessory
3,9654741,Accessory
4,424930,Core
5,582581,Core
3,11286559,Accessory
3,12756472,Accessory
4,11034036,Accessory
2,3679805,Accessory
3,361366,Core
5,15402361,Accessory
5,17583498,Accessory
4,321245,Core
6,16345615,Accessory
4,16067307,Accessory
3,9626235,Accessory
5,241810,Core
2,598557,Core
5,15428718,Accessory
4,12687038,Accessory
3,9373118,Accessory
2,9381570,Accessory
3,763515,Core
2,7212255,Accessory
4,14786432,Accessory
5,13962369,Accessory
6,204574,Core
3,363068,Core
2,1774669,Core
2,9265537,Accessory
3,1515175,Core
3,11068478,Accessory
2,6743688,Accessory
7,543689,Core
4,12707294,Accessory
5,17555913,Accessory
2,2784917,Core
4,12444548,Accessory
2,7979881,Accessory
6,633200,Core
2,552755,Core
3,1532670,Core
4,14839867,Accessory
5,13962240,Accessory
3,3493681,Accessory
3,984527,Core
2,1211857,Core
2,1797327,Core
2,3718856,Core
7,204574,Core
5,16051975,Accessory
4,318142,Core
5,633204,Core
7,15791337,Accessory
5,17887564,Accessory
6,15902322,Accessory
5,17585562,Accessory
3,6960724,Accessory
4,1532636,Core
5,220673,Core
3,362223,Core
5,260033,Core
3,11613366,Accessory
7,17262621,Accessory
3,9392367,Accessory
5,15427454,Accessory
5,642706,Core
2,9178867,Accessory
3,1133676,Core
3,3042521,Core
3,466248,Core
2,7665276,Accessory
4,882519,Core
5,1381831,Core
3,560944,Core
4,13295881,Accessory
4,242143,Core
2,3485523,Accessory
