x,y,Category
3,10949970,Unique
3,1780399,Core
5,5278966,Accessory
4,681806,Core
8,7802462,Accessory
5,4290370,Accessory
3,1376298,Accessory
6,274767,Core
6,6801590,Accessory
5,274767,Core
3,966631,Core
5,276789,Core
2,9391174,Unique
4,642713,Core
6,10789273,Unique
5,5519892,Accessory
3,326484,Core
6,13110641,Unique
2,560996,Core
4,241599,Core
2,11990,Unique
4,678972,Core
3,3668459,Unique
4,5028547,Accessory
6,9594325,Unique
4,10748404,Unique
3,317024,Core
3,6825162,Unique
5,12750383,Unique
4,321587,Core
5,321587,Core
5,5232349,Unique
6,5980818,Accessory
3,2558266,Accessory
5,5377693,Accessory
3,3560557,Accessory
3,1514195,Core
3,4615079,Unique
2,1148084,Core
5,12733881,Unique
3,1384682,Core
4,11050388,Unique
4,10287886,Unique
2,566627,Core
4,241436,Core
3,2905575,Accessory
3,3242400,Accessory
5,4871540,Accessory
4,13494728,Unique
5,10644623,Unique
4,4015082,Accessory
5,5094785,Unique
5,9321620,Unique
4,1218681,Core
2,6999152,Unique
3,7197296,Unique
3,1332840,Accessory
5,10642488,Unique
5,1384328,Core
4,4075633,Accessory
6,6194644,Accessory
5,280428,Core
4,10128684,Unique
4,4053615,Accessory
5,13843133,Unique
3,6992420,Unique
4,1514165,Core
4,321761,Core
3,3384205,Unique
5,5014881,Accessory
6,10932961,Unique
4,4799761,Unique
6,5859906,Unique
4,280580,Core
4,324891,Core
6,13282054,Unique
3,10993936,Unique
4,3709807,Accessory
5,5241871,Unique
3,1806502,Accessory
5,9298661,Unique
6,205074,Core
4,3751537,Accessory
4,3465794,Accessory
5,283992,Core
5,9041556,Unique
4,10675486,Unique
4,13085312,Unique
5,276635,Core
6,6329444,Accessory
2,3527393,Core
6,6099413,Accessory
5,4822032,Accessory
2,8871695,Unique
4,306121,Core
4,3042396,Core
6,192394,Core
3,1815883,Accessory
5,6909540,Unique
5,4837455,Accessory
3,2953287,Accessory
4,3941625,Accessory
3,11481621,Unique
7,7158500,Accessory
4,4098185,Accessory
4,4955414,Accessory
4,6264020,Unique
5,10358809,Unique
3,318354,Core
3,7702369,Unique
5,5457246,Accessory
3,1397589,Accessory
6,9594818,Unique
3,2652470,Accessory
5,10815148,Unique
5,4753205,Accessory
3,1634312,Accessory
6,193412,Core
4,3412341,Accessory
3,2593244,Accessory
3,10954322,Unique
5,9001085,Unique
3,11239785,Unique
3,6037117,Unique
5,10203437,Unique
4,651142,Core
3,9484288,Unique
5,220070,Core
3,1903965,Unique
5,13446048,Unique
3,6752563,Unique
2,1827947,Core
5,5527519,Accessory
4,1229687,Core
2,7245638,Unique
