x,y,Category
4,4061,Accessory
6,3240,Core
6,3067,Accessory
5,2090,Accessory
3,1856,Accessory
5,4253,Core
3,1549,Accessory
3,3292,Core
6,4304,Accessory
4,4000,Accessory
4,3943,Core
3,1463,Accessory
3,4438,Core
3,4224,Core
5,3868,Core
5,3840,Core
3,3230,Core
5,3907,Core
5,2322,Accessory
5,4447,Accessory
3,1672,Accessory
3,3916,Core
5,3254,Core
4,3261,Core
2,4311,Core
2,18,Accessory
2,806,Accessory
4,3875,Core
3,3890,Core
4,4209,Core
4,4222,Core
7,3802,Core
4,3846,Core
3,1481,Accessory
5,4156,Core
2,1356,Accessory
2,3960,Core
5,3198,Core
3,3933,Core
3,2211,Accessory
3,3873,Core
7,4665,Accessory
5,3806,Core
4,1476,Accessory
2,2888,Accessory
2,1445,Accessory
4,3232,Core
2,1063,Accessory
3,1774,Accessory
4,3285,Core
5,3815,Core
5,3954,Accessory
6,4315,Accessory
3,2065,Accessory
3,1706,Accessory
5,2890,Accessory
4,4272,Core
4,3458,Accessory
5,2565,Accessory
3,3361,Accessory
4,4149,Accessory
3,1654,Accessory
4,3830,Core
5,3201,Core
2,4319,Core
3,1400,Accessory
5,4029,Accessory
5,4090,Accessory
2,1013,Accessory
7,4833,Accessory
5,4374,Accessory
3,4278,Core
4,3866,Core
3,4233,Core
7,4478,Accessory
4,3821,Core
5,1765,Accessory
2,1813,Accessory
5,3832,Core
6,2313,Accessory
2,1027,Accessory
2,776,Accessory
4,2199,Accessory
2,3967,Core
7,4570,Accessory
5,3747,Accessory
6,3180,Core
5,4106,Accessory
2,1143,Accessory
6,4270,Accessory
5,3970,Accessory
2,4341,Core
4,3277,Core
6,3076,Accessory
6,4290,Accessory
6,4385,Accessory
4,3828,Core
5,2854,Accessory
4,2422,Accessory
5,3194,Core
4,3867,Accessory
5,3823,Core
4,3281,Core
2,3404,Core
3,4282,Core
3,3393,Accessory
4,3613,Accessory
2,4529,Core
3,2209,Accessory
4,2087,Accessory
2,3977,Core
4,3874,Core
6,3185,Core
2,4360,Core
3,3262,Core
4,2034,Accessory
6,4450,Accessory
6,4634,Accessory
4,3678,Accessory
3,4256,Core
4,2650,Accessory
3,4341,Core
2,3975,Core
4,3624,Accessory
6,2902,Accessory
5,3243,Core
4,3259,Core
2,2923,Accessory
5,4165,Core
4,3194,Core
3,3895,Core
3,4545,Core
6,3243,Core
2,1530,Accessory
4,3742,Accessory
2,4547,Core
4,3868,Accessory
3,3609,Accessory
7,3178,Core
5,4095,Accessory
5,3859,Core
5,2899,Accessory
2,887,Accessory
6,3181,Core
5,4275,Accessory
4,1786,Accessory
4,4429,Core
5,2301,Accessory
4,3793,Accessory
5,2845,Accessory
3,3967,Core
4,3221,Core
5,3864,Core
4,3849,Core
3,3284,Core
5,3181,Core
2,4404,Core
5,3738,Accessory
5,4200,Core
6,3193,Core
4,3974,Accessory
3,1360,Accessory
4,2446,Accessory
5,1919,Accessory
4,3196,Core
3,3742,Accessory
3,4248,Core
4,3864,Core
5,3221,Core
3,4294,Core
5,4013,Accessory
7,4319,Accessory
5,4351,Accessory
2,3312,Core
2,3240,Accessory
2,1542,Accessory
4,3834,Core
2,1359,Accessory
5,3816,Core
5,4173,Core
6,4567,Accessory
4,2209,Accessory
6,3178,Core
4,2315,Accessory
3,2200,Accessory
3,4231,Core
3,3370,Accessory
6,3957,Accessory
4,4213,Core
3,3473,Accessory
4,2562,Accessory
3,4429,Core
4,3201,Core
5,4287,Accessory
3,3226,Core
3,3872,Core
4,3871,Accessory
3,3216,Core
