x,y,Category
56,5107624,Accessory
49,3799867,Accessory
75,600554,Core
81,581613,Core
57,664101,Core
49,717780,Core
65,4427670,Accessory
36,925653,Core
23,3303027,Accessory
19,2802951,Accessory
77,5427272,Accessory
78,591530,Core
56,656611,Core
20,3384539,Accessory
79,5377939,Accessory
35,852888,Core
27,902790,Core
11,1188765,Core
10,1167794,Core
84,592322,Core
52,5075436,Accessory
65,670985,Core
38,4117675,Accessory
28,908319,Core
55,4971157,Accessory
74,5441980,Accessory
63,687257,Core
43,4829884,Accessory
40,4518444,Accessory
78,5384977,Accessory
77,5442303,Accessory
53,4954122,Accessory
26,3566939,Accessory
26,990132,Core
71,5447406,Accessory
17,3113676,Accessory
7,2460885,Accessory
58,5096481,Accessory
15,1083373,Core
65,630351,Core
74,593834,Core
47,800050,Core
3,1512725,Core
53,695185,Core
40,4132766,Accessory
76,628957,Core
39,4613451,Accessory
43,4783123,Accessory
61,5327992,Accessory
26,802612,Core
16,976972,Core
80,5566590,Accessory
68,603635,Core
49,672756,Core
15,1172460,Core
77,585148,Core
21,924991,Core
41,822743,Core
28,3565139,Accessory
71,5379140,Accessory
85,5651673,Accessory
80,5331249,Accessory
32,924359,Core
23,966908,Core
73,636835,Core
20,921423,Core
72,626380,Core
72,601402,Core
69,646904,Core
2,1585016,Core
85,5587501,Accessory
11,2351835,Accessory
27,909671,Core
16,1058663,Core
18,3153975,Accessory
59,5160576,Accessory
19,2844986,Accessory
36,852298,Core
25,3966643,Accessory
65,653273,Core
6,1267138,Core
9,1218519,Core
57,643533,Core
13,2387310,Accessory
9,1293167,Core
3,1057827,Accessory
37,741988,Core
39,4146100,Accessory
30,3787944,Accessory
59,4970771,Accessory
77,596093,Core
71,636844,Core
30,778512,Core
29,906305,Core
35,727574,Core
69,5195850,Accessory
19,876966,Core
82,589952,Core
10,1021494,Core
36,759230,Core
30,906292,Core
53,705163,Core
6,1297647,Core
37,847097,Core
9,2429822,Accessory
40,4020377,Accessory
77,5455012,Accessory
8,1200800,Core
85,5626449,Accessory
45,4184856,Accessory
32,919820,Core
41,728553,Core
37,3753924,Accessory
65,684645,Core
12,1104915,Core
3,1883422,Accessory
25,991466,Core
78,608633,Core
47,4258423,Accessory
41,770448,Core
14,2751964,Accessory
53,706586,Core
17,2870365,Accessory
75,5293838,Accessory
81,5566999,Accessory
