x,y,Category
13,1332994,Unique
83,1758446,Unique
49,717780,Core
66,1499814,Unique
83,3866932,Accessory
22,2264400,Accessory
35,852888,Core
44,3129545,Accessory
64,1250881,Unique
11,1188765,Core
31,2877102,Accessory
29,1108497,Unique
84,592322,Core
15,1810231,Accessory
80,1696577,Unique
65,670985,Core
50,3184951,Accessory
28,908319,Core
20,755727,Unique
61,3534161,Accessory
26,990132,Core
65,630351,Core
86,3904544,Accessory
47,800050,Core
77,1709327,Unique
44,3121651,Accessory
39,1146910,Unique
53,695185,Core
75,3724191,Accessory
76,628957,Core
17,2248454,Accessory
26,802612,Core
20,2417046,Accessory
21,2293776,Accessory
68,603635,Core
77,585148,Core
21,924991,Core
41,822743,Core
60,1612528,Unique
60,1468322,Unique
32,924359,Core
73,636835,Core
46,1145526,Unique
20,921423,Core
36,1159998,Unique
81,3843914,Accessory
23,1635200,Unique
52,3421640,Accessory
69,646904,Core
2,1585016,Core
49,3094434,Accessory
61,1624472,Unique
41,3024876,Accessory
37,1146975,Unique
15,1918914,Accessory
87,1725910,Unique
29,938313,Unique
71,636844,Core
30,778512,Core
29,906305,Core
35,727574,Core
30,960984,Unique
19,876966,Core
33,2546159,Accessory
11,1669716,Accessory
27,1049727,Unique
16,834509,Unique
82,589952,Core
10,1021494,Core
30,906292,Core
53,705163,Core
6,1297647,Core
62,3416546,Accessory
37,847097,Core
8,1200800,Core
46,1479487,Unique
32,919820,Core
68,1762319,Unique
12,1104915,Core
21,2084863,Accessory
47,1507029,Unique
34,2853178,Accessory
3,506063,Accessory
82,1726432,Unique
18,867348,Unique
60,1639268,Unique
41,3140214,Accessory
48,1124083,Unique
46,1598572,Unique
26,2604955,Accessory
12,1784678,Accessory
26,953516,Core
84,1646623,Unique
80,590980,Core
30,1110587,Unique
83,3898679,Accessory
55,785435,Core
36,732888,Core
32,2812943,Accessory
27,2675451,Accessory
52,662663,Core
18,995234,Core
53,1521574,Unique
33,1387463,Unique
12,1828762,Accessory
40,2935523,Accessory
82,587903,Core
67,3674425,Accessory
84,1736170,Unique
10,1174257,Core
84,1721364,Unique
50,1432884,Unique
82,3829045,Accessory
54,1672371,Unique
77,3705025,Accessory
81,601159,Core
63,3626311,Accessory
6,1261867,Core
40,3165276,Accessory
58,3321203,Accessory
19,900257,Core
10,1436427,Accessory
66,684425,Core
83,1713269,Unique
39,1077686,Unique
62,1748768,Unique
16,2134767,Accessory
6,999073,Unique
64,744381,Core
28,868087,Core
47,1031116,Unique
75,3744713,Accessory
69,3613327,Accessory
83,1675724,Unique
51,3454249,Accessory
40,1080056,Unique
4,851437,Unique
55,3329473,Accessory
38,1279623,Unique
82,3848372,Accessory
30,840948,Core
62,3545742,Accessory
24,855008,Unique
9,918208,Unique
43,846519,Core
66,1432049,Unique
49,3029420,Accessory
87,1690820,Unique
15,1998819,Accessory
23,1091533,Unique
71,1778352,Unique
69,1566730,Unique
27,2310103,Accessory
66,3573907,Accessory
11,1582934,Accessory
7,1254317,Core
48,1269000,Unique
34,868009,Core
21,2508191,Accessory
33,791778,Core
45,769235,Core
73,675924,Core
54,3402753,Accessory
26,937169,Core
68,1647753,Unique
57,711858,Core
59,3512884,Accessory
74,1525623,Unique
72,611290,Core
45,3379154,Accessory
75,3790287,Accessory
10,1766525,Accessory
70,3655482,Accessory
21,1401370,Unique
76,3778245,Accessory
77,3741357,Accessory
15,1455960,Unique
17,2064458,Accessory
79,606924,Core
24,2523941,Accessory
69,1707970,Unique
4,1395801,Core
30,848462,Core
28,719000,Unique
35,2616047,Accessory
13,1164371,Core
82,3854251,Accessory
56,1348443,Unique
85,3890225,Accessory
69,3630143,Accessory
42,1038455,Unique
60,676121,Core
72,600779,Core
51,3325292,Accessory
77,3647272,Accessory
67,3590123,Accessory
5,954240,Unique
56,1682615,Unique
54,3384173,Accessory
33,1367178,Unique
50,1614006,Unique
48,1282964,Unique
23,940086,Core
46,3405866,Accessory
31,2489918,Accessory
30,2640855,Accessory
50,1222462,Unique
73,1585603,Unique
85,580861,Core
16,1976908,Accessory
6,906259,Unique
2,894389,Unique
20,947128,Core
25,2700403,Accessory
8,1204093,Unique
70,619793,Core
18,2165125,Accessory
59,1671639,Unique
20,2364446,Accessory
73,619116,Core
36,3057720,Accessory
29,1442065,Unique
63,654644,Core
4,1498798,Core
76,596554,Core
37,925294,Unique
27,1138817,Unique
52,1678853,Unique
3,371176,Accessory
23,963809,Core
60,3409623,Accessory
11,752782,Unique
37,1072846,Unique
35,2642060,Accessory
70,1603631,Unique
79,1721979,Unique
24,1009465,Unique
82,1692147,Unique
82,605343,Core
12,1169709,Core
79,673183,Core
76,3862800,Accessory
65,660680,Core
35,826980,Core
57,3382728,Accessory
75,613598,Core
48,3144645,Accessory
79,591669,Core
79,1616416,Unique
53,708822,Core
50,3258546,Accessory
8,1346941,Accessory
68,654029,Core
65,649467,Core
42,3098672,Accessory
8,1423543,Accessory
39,812606,Core
80,3814516,Accessory
77,1650183,Unique
85,575381,Core
40,691972,Core
61,668320,Core
77,3769417,Accessory
23,823028,Core
3,830026,Unique
5,914609,Accessory
74,3793881,Accessory
74,603248,Core
30,856718,Core
13,1083055,Core
4,935332,Unique
14,884946,Unique
54,641899,Core
41,704085,Core
74,3704500,Accessory
19,2326421,Accessory
26,934375,Unique
8,1317285,Accessory
85,3895662,Accessory
73,3668076,Accessory
77,1713871,Unique
26,943638,Core
42,3018190,Accessory
41,805652,Core
23,2115997,Accessory
61,779506,Core
47,1439057,Unique
39,753906,Core
70,3722842,Accessory
14,1082470,Core
60,3532768,Accessory
33,1391904,Unique
30,984508,Unique
80,607652,Core
53,1300553,Unique
27,906740,Unique
47,672887,Core
18,1033816,Core
67,3654841,Accessory
80,1693083,Unique
79,1738558,Unique
86,589119,Core
46,1569903,Unique
84,3842735,Accessory
30,1220344,Unique
39,2750866,Accessory
50,742985,Core
73,1623529,Unique
23,1382755,Unique
39,2955136,Accessory
14,1966820,Accessory
54,3197522,Accessory
61,3473464,Accessory
20,948572,Core
79,1716482,Unique
32,1522021,Unique
9,824460,Unique
37,2989000,Accessory
69,662521,Core
48,1071806,Unique
15,982860,Core
79,592108,Core
80,1716113,Unique
53,3210251,Accessory
66,669254,Core
57,3524364,Accessory
30,2680848,Accessory
45,754522,Core
51,702124,Core
33,948918,Unique
58,654247,Core
5,833147,Accessory
51,1599301,Unique
16,991824,Core
10,1249844,Core
14,1923499,Accessory
73,3678391,Accessory
42,1490237,Unique
37,3057998,Accessory
13,1994357,Accessory
44,1520794,Unique
11,1016604,Core
79,3808833,Accessory
51,1253215,Unique
68,3548524,Accessory
9,641616,Unique
4,758989,Accessory
88,1728209,Unique
49,720759,Core
47,1536442,Unique
23,1010144,Core
9,962452,Unique
79,585825,Core
33,2839582,Accessory
33,1520192,Unique
14,1117717,Core
77,3779750,Accessory
69,650275,Core
22,905312,Core
71,616589,Core
62,3534530,Accessory
8,736686,Unique
80,598045,Core
38,753379,Core
2,724229,Unique
35,1574645,Unique
29,791265,Unique
23,1195373,Unique
37,796413,Core
54,3410390,Accessory
77,1406492,Unique
17,880466,Unique
64,648322,Core
36,758363,Core
22,858481,Core
35,1522504,Unique
39,1583145,Unique
39,3008284,Accessory
58,1695773,Unique
6,595641,Unique
57,3597953,Accessory
65,1243331,Unique
33,2818091,Accessory
65,3496165,Accessory
54,1158064,Unique
34,2991386,Accessory
86,3906744,Accessory
10,1563734,Accessory
62,3607989,Accessory
24,2552059,Accessory
19,2193734,Accessory
66,621106,Core
39,1433600,Unique
68,633781,Core
24,2389825,Accessory
10,1506235,Accessory
29,1503171,Unique
7,1224211,Accessory
31,825752,Unique
73,1413028,Unique
30,1488060,Unique
29,2650257,Accessory
10,998272,Unique
68,635697,Core
77,3766135,Accessory
16,743725,Unique
49,719883,Core
34,2875918,Accessory
55,3476999,Accessory
14,1859102,Accessory
35,1102436,Unique
6,1053033,Accessory
81,3742814,Accessory
83,3716822,Accessory
17,968540,Core
30,754906,Core
31,1131835,Unique
49,1135802,Unique
7,1286371,Accessory
20,896471,Core
74,637366,Core
48,3033198,Accessory
7,778833,Unique
49,1707393,Unique
81,3794763,Accessory
11,931009,Unique
33,1251427,Unique
55,1485667,Unique
77,1723018,Unique
48,1399427,Unique
26,1053499,Unique
21,2411468,Accessory
78,3826979,Accessory
6,1199061,Core
55,1686845,Unique
54,1545196,Unique
15,2069829,Accessory
58,639331,Core
40,881872,Core
83,3837294,Accessory
51,3407259,Accessory
6,1277148,Core
65,626973,Core
73,1649715,Unique
50,3291930,Accessory
38,1572797,Unique
6,712589,Unique
44,1365984,Unique
65,3297040,Accessory
4,697806,Accessory
35,1137801,Unique
53,3213695,Accessory
5,926753,Unique
10,963214,Unique
79,3807859,Accessory
16,2053833,Accessory
56,1353541,Unique
10,1499674,Accessory
69,3650210,Accessory
61,640609,Core
2,1655699,Core
37,746026,Core
84,1754086,Unique
33,2858129,Accessory
50,3067220,Accessory
27,981878,Core
27,2572182,Accessory
49,3239365,Accessory
36,1632861,Unique
29,943467,Core
16,1051821,Unique
55,756363,Core
25,1626267,Unique
67,639340,Core
66,3624667,Accessory
19,2436447,Accessory
52,1470434,Unique
37,762682,Core
70,3695128,Accessory
21,2211977,Accessory
4,1498490,Core
3,1496088,Core
66,3607662,Accessory
72,1247187,Unique
38,909966,Core
76,615488,Core
66,644524,Core
47,806733,Core
45,739232,Core
44,757956,Core
36,803895,Core
37,2869591,Accessory
45,3080249,Accessory
73,1745504,Unique
65,703515,Core
20,865777,Unique
36,864660,Core
8,1352193,Accessory
55,1614322,Unique
24,1429412,Unique
17,2141660,Accessory
75,1699483,Unique
42,1209011,Unique
87,575253,Core
39,1062959,Unique
81,3829190,Accessory
46,3209302,Accessory
83,3884370,Accessory
30,2813535,Accessory
81,582724,Core
24,1428416,Unique
52,690569,Core
22,886699,Core
56,748250,Core
9,1054538,Core
65,686127,Core
20,999258,Unique
56,3426150,Accessory
5,930586,Accessory
13,890003,Unique
37,839068,Core
4,1440651,Core
83,3818819,Accessory
22,2400463,Accessory
26,1033963,Unique
21,2159675,Accessory
83,651181,Core
31,1437784,Unique
17,2133509,Accessory
74,610706,Core
69,1299125,Unique
38,3054103,Accessory
73,3679870,Accessory
85,1679019,Unique
35,2801603,Accessory
36,2780727,Accessory
53,1158752,Unique
47,3064126,Accessory
84,3880190,Accessory
14,1876269,Accessory
41,3130791,Accessory
39,748430,Core
85,3864140,Accessory
67,3548223,Accessory
67,1683525,Unique
71,3682265,Accessory
14,1043123,Core
62,1685392,Unique
69,3663536,Accessory
6,1071994,Accessory
84,580762,Core
15,1067831,Core
32,979932,Unique
36,1051547,Unique
28,1274511,Unique
81,580607,Core
32,2824827,Accessory
40,1110892,Unique
21,900455,Core
71,597098,Core
59,3389530,Accessory
79,3844462,Accessory
19,2181665,Accessory
8,1203715,Core
47,1244735,Unique
34,2840803,Accessory
19,1040211,Core
81,3809448,Accessory
38,2852188,Accessory
53,1634523,Unique
42,742006,Core
44,3169561,Accessory
66,1596097,Unique
40,1400388,Unique
33,2728370,Accessory
52,3188096,Accessory
51,3296266,Accessory
79,1730698,Unique
16,849822,Unique
14,777982,Unique
81,3903393,Accessory
26,2551553,Accessory
5,711040,Unique
86,3903151,Accessory
70,624343,Core
32,1490272,Unique
55,725045,Core
50,3197799,Accessory
40,895970,Core
64,3407839,Accessory
20,1030916,Core
24,820211,Unique
53,3466204,Accessory
81,1570679,Unique
30,874130,Core
32,789936,Core
32,801548,Core
56,3368280,Accessory
37,1237034,Unique
6,1046545,Accessory
29,2686283,Accessory
29,806355,Core
37,845724,Core
72,3657090,Accessory
86,1721317,Unique
23,841553,Core
40,1191097,Unique
59,653212,Core
55,1521755,Unique
84,575533,Core
78,3787540,Accessory
36,1118861,Unique
12,1715097,Accessory
51,725969,Core
41,2975033,Accessory
70,3631642,Accessory
28,869405,Unique
70,1659797,Unique
73,1613243,Unique
11,1675477,Accessory
87,3926702,Accessory
51,776503,Core
18,2161347,Accessory
61,3502540,Accessory
64,3598127,Accessory
10,938287,Unique
74,1648961,Unique
67,3578284,Accessory
17,865891,Unique
68,1635210,Unique
76,1729779,Unique
75,3646417,Accessory
51,1201725,Unique
14,1122580,Core
43,1595882,Unique
53,720568,Core
28,770885,Core
32,785475,Core
81,3850198,Accessory
3,1365320,Core
34,2906238,Accessory
56,1309706,Unique
26,1046963,Unique
12,945190,Core
63,626130,Core
46,1660262,Unique
18,1458264,Unique
12,1103488,Core
43,1072305,Unique
7,1259655,Core
74,615857,Core
3,1472751,Core
31,2716334,Accessory
39,3123585,Accessory
31,2676101,Accessory
15,796006,Unique
6,1196263,Accessory
20,1001949,Core
23,1036844,Unique
12,1102011,Core
79,599672,Core
16,1478846,Unique
10,1047064,Unique
84,1741751,Unique
29,860921,Core
33,875511,Core
71,1656126,Unique
32,921261,Core
68,708855,Core
77,3765612,Accessory
79,1666784,Unique
51,3205672,Accessory
53,1678978,Unique
75,616015,Core
86,578687,Core
50,664527,Core
70,601163,Core
22,880434,Core
44,845504,Core
72,1570063,Unique
78,590768,Core
72,616183,Core
47,827752,Core
74,1391733,Unique
26,1015446,Core
63,1311954,Unique
14,718556,Unique
61,645384,Core
51,3168896,Accessory
72,3542785,Accessory
73,3650295,Accessory
30,2698273,Accessory
54,1115102,Unique
12,704708,Unique
33,744497,Core
55,3456370,Accessory
13,974480,Core
82,1719784,Unique
68,613781,Core
40,2968722,Accessory
18,2076080,Accessory
22,1525336,Unique
67,628588,Core
82,1710049,Unique
24,1518344,Unique
87,3931742,Accessory
64,616327,Core
37,1511933,Unique
14,1880660,Accessory
64,3528731,Accessory
76,590292,Core
28,980406,Unique
52,767883,Core
48,655206,Core
37,3061844,Accessory
6,1322555,Core
32,1207570,Unique
33,1306370,Unique
64,1539793,Unique
68,605263,Core
30,1173838,Unique
87,578033,Core
40,725681,Core
76,616779,Core
78,602500,Core
46,771457,Core
22,1316333,Unique
64,681773,Core
30,885200,Core
41,1588188,Unique
81,582225,Core
12,1781153,Accessory
9,1394674,Accessory
64,3444740,Accessory
51,3231937,Accessory
26,1550318,Unique
82,3916404,Accessory
64,3557940,Accessory
50,1552346,Unique
31,2524376,Accessory
37,2969307,Accessory
13,1735632,Accessory
18,842609,Unique
83,3885578,Accessory
71,618947,Core
81,1597001,Unique
87,1774347,Unique
82,3869484,Accessory
17,1029877,Unique
49,778408,Core
5,950284,Unique
26,1095061,Unique
35,773065,Core
50,792703,Core
43,3048597,Accessory
35,2908676,Accessory
68,3689230,Accessory
68,625076,Core
82,595236,Core
75,3716491,Accessory
58,1326994,Unique
45,1527742,Unique
19,1048641,Core
6,718095,Unique
81,1691161,Unique
16,2077101,Accessory
51,766303,Core
57,794559,Core
70,1491515,Unique
60,1533962,Unique
45,1395123,Unique
19,925673,Core
6,737082,Unique
12,1619267,Accessory
64,3705563,Accessory
24,1143734,Unique
38,2831896,Accessory
22,1401472,Unique
73,3714324,Accessory
13,1892468,Accessory
65,681872,Core
59,3471118,Accessory
14,1756847,Accessory
18,2381346,Accessory
10,945702,Unique
4,1429927,Core
86,3905477,Accessory
9,1103092,Unique
15,991979,Core
19,957654,Core
14,1060991,Unique
17,975437,Core
22,918723,Core
82,587475,Core
86,578823,Core
76,609960,Core
43,693982,Core
79,617431,Core
75,1636887,Unique
49,727410,Core
42,756165,Core
82,662094,Core
22,1062125,Unique
84,594564,Core
59,633337,Core
71,629508,Core
57,1476200,Unique
34,1275077,Unique
3,435714,Accessory
59,1303833,Unique
61,1296426,Unique
2,749958,Unique
81,600347,Core
36,1261039,Unique
83,596073,Core
73,1715635,Unique
17,781113,Unique
8,1403972,Accessory
7,1270365,Core
74,3754262,Accessory
73,619921,Core
51,1505138,Unique
86,3927924,Accessory
51,699852,Core
18,1421177,Unique
34,2699839,Accessory
51,3420252,Accessory
17,1039743,Core
53,652494,Core
59,3370279,Accessory
48,3270829,Accessory
18,1259849,Unique
9,1531247,Accessory
38,2905906,Accessory
8,1154346,Core
17,1060202,Core
85,1681557,Unique
47,1558718,Unique
63,1615632,Unique
81,595839,Core
87,575362,Core
39,825599,Core
68,629177,Core
37,1501312,Unique
73,594602,Core
83,1711998,Unique
66,639692,Core
81,596197,Core
26,2535445,Accessory
56,3442371,Accessory
51,761674,Core
31,2844736,Accessory
36,838499,Core
41,825024,Core
55,3300083,Accessory
86,589798,Core
14,2031113,Accessory
70,1788745,Unique
21,943520,Core
51,3400515,Accessory
50,672739,Core
7,1256875,Core
21,1325107,Unique
46,665663,Core
11,1841526,Accessory
81,1681748,Unique
52,1518189,Unique
64,671631,Core
7,1196928,Core
56,756191,Core
24,1368032,Unique
16,2113209,Accessory
33,889412,Core
42,3144419,Accessory
43,790337,Core
16,861154,Unique
42,1477384,Unique
50,793831,Core
38,993197,Unique
54,1482131,Unique
52,3205725,Accessory
44,692766,Core
61,3533056,Accessory
84,580450,Core
49,1107153,Unique
10,967704,Unique
12,1079487,Unique
20,1226814,Unique
54,668468,Core
35,1106085,Unique
47,1222226,Unique
84,1707524,Unique
59,1697672,Unique
68,3723720,Accessory
33,2879841,Accessory
73,622133,Core
34,856270,Core
68,628287,Core
79,3786101,Accessory
52,3236625,Accessory
64,1648233,Unique
71,1640794,Unique
32,811996,Core
47,3244046,Accessory
76,594030,Core
81,3756821,Accessory
46,3163234,Accessory
15,2022118,Accessory
75,1559062,Unique
6,1293135,Core
39,2822563,Accessory
28,939532,Unique
44,3094514,Accessory
23,2415439,Accessory
36,765960,Core
52,1643721,Unique
61,1469578,Unique
33,880356,Core
71,649760,Core
43,3044589,Accessory
31,807908,Core
58,1589953,Unique
84,1689027,Unique
22,2305553,Accessory
47,789657,Core
26,2761877,Accessory
84,1753690,Unique
20,1040064,Core
55,697415,Core
62,1671554,Unique
76,3748910,Accessory
56,1093932,Unique
36,2808598,Accessory
30,1196153,Unique
43,720474,Core
29,1003141,Unique
32,1443036,Unique
18,948841,Unique
25,2241432,Accessory
32,754823,Core
21,1380015,Unique
52,703480,Core
61,3506885,Accessory
11,1573003,Accessory
71,701378,Core
27,916772,Core
44,1209141,Unique
42,3254878,Accessory
10,1126415,Core
15,1941325,Accessory
47,690842,Core
19,957861,Core
79,1709629,Unique
