x,y,Category
37,2089,Accessory
2,458,Accessory
15,1666,Accessory
10,1485,Accessory
53,2025,Accessory
58,2206,Accessory
64,1459,Core
41,2178,Accessory
81,2573,Accessory
15,1405,Accessory
6,1126,Accessory
10,1224,Accessory
57,2156,Accessory
4,642,Accessory
66,2426,Accessory
23,1886,Accessory
28,2090,Accessory
53,2286,Accessory
65,2376,Accessory
27,1774,Accessory
39,1864,Accessory
56,1416,Core
62,2556,Accessory
20,1558,Core
75,1383,Core
7,1677,Core
23,1625,Accessory
35,1994,Accessory
29,1538,Core
73,2596,Accessory
14,1355,Accessory
31,1845,Accessory
70,2515,Accessory
31,1482,Core
29,2140,Accessory
78,2534,Accessory
38,2139,Accessory
10,1544,Core
33,2211,Accessory
28,2072,Accessory
49,2179,Accessory
19,1524,Core
6,798,Accessory
59,2517,Accessory
4,885,Accessory
58,2449,Accessory
10,1242,Accessory
43,1971,Accessory
85,1397,Core
27,1510,Core
24,1918,Accessory
85,2461,Accessory
64,1402,Core
15,1648,Accessory
45,1510,Core
32,2161,Accessory
34,2008,Accessory
2,476,Accessory
60,2195,Accessory
49,2197,Accessory
25,1467,Core
58,2467,Accessory
43,1953,Accessory
53,2043,Accessory
70,2533,Accessory
29,2122,Accessory
23,1496,Core
42,2228,Accessory
16,1716,Accessory
57,2399,Accessory
14,1598,Accessory
40,2120,Accessory
9,1189,Accessory
62,1431,Core
24,1936,Accessory
61,2263,Accessory
57,2138,Accessory
12,1590,Core
20,1823,Accessory
23,1607,Accessory
27,1999,Accessory
44,2251,Accessory
74,1416,Core
3,719,Accessory
38,1491,Core
42,2246,Accessory
38,2157,Accessory
79,2602,Accessory
73,2371,Accessory
6,1144,Accessory
14,1391,Accessory
36,2031,Accessory
15,1901,Accessory
45,2084,Accessory
27,1738,Accessory
33,1453,Core
44,1431,Core
50,2466,Accessory
5,903,Accessory
77,1408,Core
13,1287,Accessory
81,2591,Accessory
14,1561,Core
77,2466,Accessory
32,2143,Accessory
61,2227,Accessory
50,2205,Accessory
10,1206,Accessory
15,1423,Accessory
7,1620,Core
10,1260,Accessory
19,1779,Accessory
9,1442,Accessory
48,2382,Accessory
28,1842,Accessory
26,2049,Accessory
36,2292,Accessory
66,2444,Accessory
30,1515,Core
18,1486,Accessory
39,1882,Accessory
54,2336,Accessory
24,1972,Accessory
54,1445,Core
19,1554,Accessory
67,2512,Accessory
22,1575,Accessory
60,2430,Accessory
53,2268,Accessory
24,1711,Accessory
58,1462,Core
61,2488,Accessory
69,1440,Core
73,2335,Accessory
