x,y,Category
5,135,Unique
67,1898,Accessory
52,475,Unique
11,396,Unique
31,355,Unique
26,1463,Accessory
6,555,Accessory
22,1332,Accessory
71,501,Unique
52,1709,Accessory
33,1390,Accessory
14,391,Unique
13,1062,Accessory
41,630,Unique
55,1800,Accessory
83,642,Unique
3,436,Unique
5,363,Unique
7,592,Unique
20,1558,Core
46,1530,Accessory
75,1383,Core
7,1677,Core
30,650,Unique
43,496,Unique
76,1907,Accessory
20,510,Unique
41,402,Unique
29,1538,Core
42,1660,Accessory
71,668,Unique
62,522,Unique
5,591,Unique
22,376,Unique
7,364,Unique
28,509,Unique
81,641,Unique
33,584,Unique
22,1079,Accessory
33,1372,Accessory
6,203,Unique
49,629,Unique
60,521,Unique
75,596,Unique
64,1402,Core
54,476,Unique
30,1299,Accessory
12,464,Unique
25,1467,Core
6,537,Accessory
16,392,Unique
23,1496,Core
63,1767,Accessory
17,1193,Accessory
4,504,Unique
3,664,Unique
73,595,Unique
12,1590,Core
26,1202,Accessory
31,657,Unique
38,649,Unique
44,1507,Accessory
46,1512,Accessory
8,660,Unique
17,757,Unique
54,1732,Accessory
13,847,Accessory
70,661,Unique
33,1453,Core
65,456,Unique
48,1638,Accessory
72,508,Unique
14,1561,Core
52,1727,Accessory
10,765,Unique
66,1840,Accessory
7,1620,Core
27,669,Unique
63,1749,Accessory
22,1350,Accessory
26,1445,Accessory
3,362,Unique
82,648,Unique
14,465,Unique
30,1515,Core
6,591,Accessory
54,1445,Core
41,495,Unique
13,1026,Accessory
22,1314,Accessory
21,1246,Accessory
67,685,Unique
16,1589,Core
23,672,Unique
10,309,Unique
31,1536,Core
6,598,Unique
27,372,Unique
39,1621,Accessory
52,549,Unique
9,729,Accessory
44,564,Unique
86,2015,Accessory
2,1768,Core
27,502,Unique
58,1845,Accessory
60,1722,Accessory
49,1575,Accessory
16,900,Accessory
78,665,Unique
9,667,Unique
37,414,Unique
26,1546,Core
55,1583,Accessory
19,1076,Accessory
45,1687,Accessory
70,1911,Accessory
54,606,Unique
61,1467,Core
65,1772,Accessory
28,1328,Accessory
19,1058,Accessory
44,1488,Core
13,304,Unique
48,1656,Accessory
65,1754,Accessory
13,865,Accessory
22,506,Unique
7,1548,Core
64,518,Unique
21,517,Unique
24,1215,Accessory
79,505,Unique
16,522,Unique
56,533,Unique
60,1740,Accessory
