x,y,Category
166,5931194,Accessory
154,514422,Core
54,3998438,Accessory
235,6425711,Accessory
112,5253419,Accessory
169,478820,Core
12,1024103,Core
114,5383709,Accessory
227,6393067,Accessory
86,4699781,Accessory
190,6046459,Accessory
177,474462,Core
206,6207571,Accessory
189,6116999,Accessory
49,682454,Core
194,458842,Core
236,6521328,Accessory
22,2797446,Accessory
200,6205357,Accessory
215,425821,Core
246,405076,Core
56,734199,Core
59,700060,Core
4,1211774,Accessory
147,5583754,Accessory
22,2919214,Accessory
90,607305,Core
184,6037300,Accessory
193,456521,Core
124,548983,Core
61,689617,Core
206,6378140,Accessory
42,752508,Core
171,494607,Core
31,3447125,Accessory
6,1233041,Core
183,5942982,Accessory
220,6361843,Accessory
88,611490,Core
246,6620531,Accessory
3,1001027,Accessory
170,5952645,Accessory
234,6457292,Accessory
162,472302,Core
68,662493,Core
113,564213,Core
17,968051,Core
177,455067,Core
8,1150489,Core
239,6525978,Accessory
137,5577911,Accessory
58,681902,Core
11,1041785,Core
60,674075,Core
19,3005970,Accessory
70,670581,Core
186,458236,Core
90,4880315,Accessory
11,1051289,Core
74,684959,Core
212,6363874,Accessory
52,766962,Core
146,5745164,Accessory
194,441825,Core
122,542723,Core
182,5998814,Accessory
125,5441083,Accessory
149,479372,Core
54,3877150,Accessory
165,477404,Core
59,4287041,Accessory
103,578827,Core
11,1051232,Core
162,5814782,Accessory
150,476864,Core
140,5703385,Accessory
151,5953139,Accessory
209,6249100,Accessory
170,6045917,Accessory
5,1345392,Accessory
90,613163,Core
141,5761172,Accessory
44,738090,Core
51,3944814,Accessory
42,3774292,Accessory
84,610315,Core
150,5904802,Accessory
139,510953,Core
72,4476858,Accessory
34,813096,Core
188,443629,Core
40,3850242,Accessory
164,5563015,Accessory
78,682098,Core
119,530509,Core
175,462103,Core
222,425652,Core
106,596760,Core
139,5565115,Accessory
88,621978,Core
219,6367088,Accessory
31,856067,Core
232,412953,Core
156,5855935,Accessory
206,444578,Core
78,646726,Core
76,634499,Core
243,412396,Core
156,5815631,Accessory
242,409185,Core
189,6173205,Accessory
199,6274112,Accessory
48,3722086,Accessory
88,596826,Core
8,1937091,Accessory
14,2401300,Accessory
200,6214180,Accessory
