x,y,Category
163,4328829,Accessory
112,1584218,Unique
200,4580431,Accessory
169,478820,Core
123,3934666,Accessory
12,1024103,Core
51,2735302,Accessory
175,1558920,Unique
118,3648475,Accessory
13,862623,Unique
165,4207909,Accessory
177,474462,Core
146,1622087,Unique
241,4831166,Accessory
150,4191122,Accessory
200,1636385,Unique
110,1619662,Unique
38,2451570,Accessory
227,1714430,Unique
194,458842,Core
100,1412687,Unique
139,1449270,Unique
31,972839,Unique
234,1750391,Unique
56,734199,Core
160,1719880,Unique
141,3853058,Accessory
43,1209178,Unique
226,4721067,Accessory
31,2171925,Accessory
90,607305,Core
191,4602878,Accessory
4,685173,Unique
124,548983,Core
42,752508,Core
152,3959510,Accessory
171,494607,Core
230,1738241,Unique
120,1491468,Unique
6,1233041,Core
90,3403980,Accessory
88,611490,Core
178,4277908,Accessory
162,472302,Core
160,1644634,Unique
53,2769906,Accessory
69,1224874,Unique
38,1032788,Unique
113,564213,Core
17,968051,Core
200,4564291,Accessory
58,681902,Core
62,1289281,Unique
70,670581,Core
125,1625418,Unique
186,458236,Core
19,662898,Unique
239,1747196,Unique
78,3118165,Accessory
110,1768527,Unique
75,1303815,Unique
14,1541969,Accessory
11,1051289,Core
118,1246429,Unique
74,684959,Core
146,3893305,Accessory
76,3156753,Accessory
52,766962,Core
149,479372,Core
116,1541614,Unique
4,643152,Accessory
165,477404,Core
103,578827,Core
88,3378510,Accessory
243,1775002,Unique
11,1051232,Core
173,1570303,Unique
135,4038807,Accessory
93,1769471,Unique
130,1467210,Unique
181,1596194,Unique
140,3940215,Accessory
34,2281138,Accessory
139,510953,Core
107,3684884,Accessory
34,813096,Core
188,443629,Core
198,4533832,Accessory
119,530509,Core
175,462103,Core
27,2164743,Accessory
238,1755616,Unique
184,4415251,Accessory
88,621978,Core
31,856067,Core
232,412953,Core
206,444578,Core
78,646726,Core
2,705880,Unique
76,634499,Core
243,412396,Core
93,3510745,Accessory
83,3291393,Accessory
121,3945109,Accessory
236,4749101,Accessory
8,1165785,Accessory
159,1628776,Unique
7,715707,Unique
15,905153,Unique
150,510162,Core
216,432624,Core
229,1792005,Unique
37,1194514,Unique
179,1558390,Unique
34,909996,Unique
69,3162187,Accessory
81,1388193,Unique
97,3387415,Accessory
111,1397417,Unique
