x,y,Category
50,1880,Accessory
159,2331,Accessory
204,2503,Accessory
67,1898,Accessory
112,1298,Core
215,2561,Accessory
50,1374,Core
107,2089,Accessory
67,1340,Core
116,2359,Accessory
26,1463,Accessory
22,1332,Accessory
127,2156,Accessory
128,2206,Accessory
15,1405,Accessory
52,1709,Accessory
33,1390,Accessory
4,642,Accessory
143,2353,Accessory
30,1552,Accessory
35,1733,Accessory
13,1062,Accessory
145,1293,Core
55,1800,Accessory
130,2195,Accessory
39,1864,Accessory
72,2042,Accessory
46,1530,Accessory
75,1383,Core
76,1907,Accessory
173,1304,Core
42,1660,Accessory
2,1470,Core
136,2426,Accessory
188,2415,Accessory
76,2191,Accessory
183,2477,Accessory
244,2645,Accessory
58,1881,Accessory
151,2330,Accessory
3,1603,Core
126,1326,Core
139,2246,Accessory
175,2510,Accessory
88,2020,Accessory
150,2280,Accessory
127,2399,Accessory
110,2381,Accessory
191,1304,Core
76,2173,Accessory
26,1481,Accessory
81,2059,Accessory
123,2286,Accessory
215,2543,Accessory
89,2078,Accessory
134,1312,Core
72,2060,Accessory
96,2240,Accessory
112,2228,Accessory
34,1683,Accessory
220,2447,Accessory
244,2627,Accessory
136,2408,Accessory
138,2196,Accessory
174,2460,Accessory
75,1308,Core
17,1193,Accessory
87,1947,Accessory
59,1931,Accessory
139,2264,Accessory
104,2008,Accessory
38,1416,Core
59,1354,Core
4,1498,Core
108,1326,Core
238,1288,Core
112,2246,Accessory
171,1333,Core
3,719,Accessory
14,1130,Accessory
114,2251,Accessory
187,2383,Accessory
169,1335,Core
57,1383,Core
99,2060,Accessory
208,2616,Accessory
34,1665,Accessory
81,2077,Accessory
143,2371,Accessory
95,1960,Accessory
108,2157,Accessory
60,1331,Core
4,660,Accessory
183,2459,Accessory
63,1323,Core
233,2605,Accessory
54,1732,Accessory
128,2224,Accessory
188,2433,Accessory
144,1326,Core
155,1304,Core
83,2082,Accessory
93,1308,Core
118,2382,Accessory
167,2533,Accessory
235,2610,Accessory
27,1738,Accessory
48,1638,Accessory
165,2528,Accessory
147,2466,Accessory
213,2538,Accessory
204,2521,Accessory
71,1969,Accessory
50,1862,Accessory
172,2455,Accessory
127,1293,Core
