x,y,Category,Metric
4,-24.80,Core,Average
4,112.63,Accessory,Average
4,10.78,Unique,Average
5,-13.92,Core,Average
5,88.28,Accessory,Average
5,3.91,Unique,Average
6,-9.38,Core,Average
6,76.74,Accessory,Average
6,-0.45,Unique,Average
7,-6.87,Core,Average
7,64.02,Accessory,Average
7,-1.47,Unique,Average
8,-5.26,Core,Average
8,54.94,Accessory,Average
8,-0.03,Unique,Average
9,-4.46,Core,Average
9,49.06,Accessory,Average
9,2.02,Unique,Average
10,-3.67,Core,Average
10,43.68,Accessory,Average
10,-0.37,Unique,Average
11,-3.27,Core,Average
11,40.26,Accessory,Average
11,-0.02,Unique,Average
12,-2.75,Core,Average
12,35.62,Accessory,Average
12,-0.27,Unique,Average
13,-2.71,Core,Average
13,33.08,Accessory,Average
13,0.10,Unique,Average
14,-2.60,Core,Average
14,30.32,Accessory,Average
14,2.92,Unique,Average
15,-2.22,Core,Average
15,27.26,Accessory,Average
15,0.45,Unique,Average
16,-2.14,Core,Average
16,26.25,Accessory,Average
16,1.51,Unique,Average
17,-1.87,Core,Average
17,24.02,Accessory,Average
17,1.08,Unique,Average
18,-2.04,Core,Average
18,23.35,Accessory,Average
18,2.91,Unique,Average
19,-1.76,Core,Average
19,21.45,Accessory,Average
19,1.86,Unique,Average
20,-1.86,Core,Average
20,20.61,Accessory,Average
20,2.15,Unique,Average
21,-1.64,Core,Average
21,19.12,Accessory,Average
21,2.40,Unique,Average
22,-1.55,Core,Average
22,18.32,Accessory,Average
22,2.70,Unique,Average
23,-1.72,Core,Average
23,18.13,Accessory,Average
23,2.46,Unique,Average
24,-1.56,Core,Average
24,16.93,Accessory,Average
24,3.59,Unique,Average
25,-1.58,Core,Average
25,15.47,Accessory,Average
25,1.87,Unique,Average
26,-1.30,Core,Average
26,16.54,Accessory,Average
26,1.09,Unique,Average
27,-1.24,Core,Average
27,15.52,Accessory,Average
27,0.58,Unique,Average
28,-1.37,Core,Average
28,14.23,Accessory,Average
28,2.10,Unique,Average
29,-1.31,Core,Average
29,14.04,Accessory,Average
29,2.22,Unique,Average
30,-1.36,Core,Average
30,13.75,Accessory,Average
30,1.23,Unique,Average
31,-1.34,Core,Average
31,13.19,Accessory,Average
31,2.81,Unique,Average
32,-1.25,Core,Average
32,12.63,Accessory,Average
32,1.35,Unique,Average
33,-1.26,Core,Average
33,12.65,Accessory,Average
33,2.43,Unique,Average
34,-1.14,Core,Average
34,12.46,Accessory,Average
34,1.26,Unique,Average
35,-1.14,Core,Average
35,11.91,Accessory,Average
35,2.83,Unique,Average
36,-1.05,Core,Average
36,11.68,Accessory,Average
36,1.00,Unique,Average
37,-1.13,Core,Average
37,11.57,Accessory,Average
37,2.16,Unique,Average
38,-1.07,Core,Average
38,11.05,Accessory,Average
38,2.20,Unique,Average
39,-1.21,Core,Average
39,11.01,Accessory,Average
39,2.41,Unique,Average
40,-1.07,Core,Average
40,10.45,Accessory,Average
40,1.61,Unique,Average
41,-1.02,Core,Average
41,10.67,Accessory,Average
41,1.94,Unique,Average
42,-0.99,Core,Average
42,9.90,Accessory,Average
42,1.31,Unique,Average
43,-0.98,Core,Average
43,10.26,Accessory,Average
43,2.30,Unique,Average
44,-0.91,Core,Average
44,9.59,Accessory,Average
44,1.77,Unique,Average
45,-0.97,Core,Average
45,8.99,Accessory,Average
45,2.75,Unique,Average
46,-0.83,Core,Average
46,9.01,Accessory,Average
46,2.39,Unique,Average
47,-0.83,Core,Average
47,8.90,Accessory,Average
47,2.21,Unique,Average
48,-0.81,Core,Average
48,8.68,Accessory,Average
48,2.16,Unique,Average
49,-0.81,Core,Average
49,8.68,Accessory,Average
49,1.72,Unique,Average
50,-0.72,Core,Average
50,8.44,Accessory,Average
50,0.94,Unique,Average
51,-0.94,Core,Average
51,9.16,Accessory,Average
51,1.94,Unique,Average
52,-0.86,Core,Average
52,8.82,Accessory,Average
52,1.01,Unique,Average
53,-0.70,Core,Average
53,8.05,Accessory,Average
53,0.66,Unique,Average
54,-0.78,Core,Average
54,8.71,Accessory,Average
54,1.71,Unique,Average
55,-0.86,Core,Average
55,8.33,Accessory,Average
55,2.02,Unique,Average
56,-0.75,Core,Average
56,8.11,Accessory,Average
56,1.92,Unique,Average
57,-0.77,Core,Average
57,7.75,Accessory,Average
57,1.60,Unique,Average
58,-0.72,Core,Average
58,8.02,Accessory,Average
58,1.81,Unique,Average
59,-0.85,Core,Average
59,7.63,Accessory,Average
59,1.63,Unique,Average
60,-0.88,Core,Average
60,7.70,Accessory,Average
60,0.96,Unique,Average
