x,y,Category
53,1001713,Accessory
45,1004026,Accessory
37,961491,Accessory
10,605743,Accessory
40,3832270,Core
11,649360,Accessory
40,3763588,Core
49,3704066,Core
2,47023,Accessory
8,4083206,Core
16,3922209,Core
6,354298,Accessory
24,3833068,Core
8,3977787,Core
4,241907,Accessory
37,1055549,Accessory
36,1046229,Accessory
16,655423,Accessory
19,789347,Accessory
17,679647,Accessory
39,965540,Accessory
18,929683,Accessory
23,3998263,Core
2,4215079,Core
53,1115763,Accessory
3,4057796,Core
30,3882518,Core
10,4044778,Core
18,3929569,Core
41,979099,Accessory
26,923409,Accessory
5,532565,Accessory
54,3697508,Core
48,3699975,Core
52,1085268,Accessory
22,671266,Accessory
24,942026,Accessory
5,369443,Accessory
14,674022,Accessory
21,815157,Accessory
22,870241,Accessory
19,3933839,Core
15,3979651,Core
29,3825754,Core
17,765915,Accessory
32,1015555,Accessory
28,3736659,Core
42,3760804,Core
26,3835525,Core
50,3698019,Core
21,817339,Accessory
37,3806740,Core
50,3759576,Core
26,822834,Accessory
36,1054031,Accessory
39,3711109,Core
38,971724,Accessory
41,3792592,Core
42,3702492,Core
42,833240,Accessory
9,4043535,Core
19,3863752,Core
49,1107828,Accessory
46,3750969,Core
48,3700459,Core
40,3703752,Core
17,725027,Accessory
23,674225,Accessory
39,3811044,Core
4,568218,Accessory
55,1113724,Accessory
8,596571,Accessory
25,3832113,Core
28,904776,Accessory
54,3736758,Core
19,692460,Accessory
4,562481,Accessory
45,1096367,Accessory
13,4042441,Core
32,834442,Accessory
29,952890,Accessory
38,3719764,Core
19,3809578,Core
40,3814273,Core
43,932745,Accessory
53,1113894,Accessory
42,3746966,Core
55,3698788,Core
22,930151,Accessory
45,3712164,Core
24,867076,Accessory
33,959007,Accessory
52,3737810,Core
47,1019017,Accessory
17,3989534,Core
4,4166237,Core
38,3818136,Core
43,3797677,Core
33,3827972,Core
22,3780185,Core
3,4206198,Core
26,773424,Accessory
25,1006184,Accessory
19,774535,Accessory
37,3778460,Core
32,3765914,Core
23,808967,Accessory
27,813958,Accessory
22,3949224,Core
12,786771,Accessory
2,4130416,Core
4,4084525,Core
15,732871,Accessory
15,809288,Accessory
50,1106647,Accessory
38,1043838,Accessory
12,790249,Accessory
47,3769950,Core
39,875237,Accessory
36,3848668,Core
45,1101037,Accessory
33,979912,Accessory
47,1101937,Accessory
16,699363,Accessory
26,911288,Accessory
54,1116238,Accessory
52,1108564,Accessory
40,3743991,Core
38,3707033,Core
25,3815417,Core
42,3838164,Core
19,803779,Accessory
14,584485,Accessory
28,801001,Accessory
10,4185194,Core
22,950152,Accessory
53,1117136,Accessory
42,3756007,Core
14,4020659,Core
10,582395,Accessory
55,1117193,Accessory
15,3853512,Core
49,3793681,Core
20,874059,Accessory
22,692550,Accessory
4,4257926,Core
41,3814669,Core
20,896416,Accessory
46,1105326,Accessory
50,1111940,Accessory
5,4118210,Core
6,536624,Accessory
39,1050803,Accessory
15,781572,Accessory
28,1029925,Accessory
15,790897,Accessory
9,748755,Accessory
35,983381,Accessory
40,3774070,Core
19,869441,Accessory
26,3885419,Core
11,3982784,Core
37,1024363,Accessory
50,3705799,Core
42,3791224,Core
26,3849777,Core
27,855602,Accessory
11,4045588,Core
36,984104,Accessory
3,292462,Accessory
39,1072925,Accessory
50,1109129,Accessory
9,3961803,Core
49,1007553,Accessory
43,3838980,Core
50,1107470,Accessory
46,3701730,Core
4,4101249,Core
5,545186,Accessory
37,981222,Accessory
36,3721415,Core
14,558997,Accessory
13,3891309,Core
25,921316,Accessory
6,546267,Accessory
18,645090,Accessory
4,4206544,Core
28,3727623,Core
32,3913324,Core
45,1105620,Accessory
27,3731079,Core
31,925402,Accessory
45,1062332,Accessory
17,629125,Accessory
6,4083014,Core
54,3697461,Core
52,3700355,Core
8,458685,Accessory
17,764364,Accessory
10,3983650,Core
45,3702215,Core
19,694955,Accessory
34,907187,Accessory
30,1025500,Accessory
31,3819036,Core
38,3704397,Core
32,3847845,Core
54,3697357,Core
50,3699945,Core
42,3763407,Core
40,995824,Accessory
7,669322,Accessory
