x,y,Category
55,977323,Accessory
33,756173,Accessory
36,800123,Accessory
41,798413,Accessory
45,963095,Accessory
49,972703,Accessory
52,131159,Unique
40,3763588,Core
39,144775,Unique
48,884011,Accessory
49,3704066,Core
8,4083206,Core
13,656562,Accessory
16,3922209,Core
21,805453,Accessory
50,968812,Accessory
41,147570,Unique
23,3998263,Core
3,4057796,Core
30,3882518,Core
10,4044778,Core
36,835414,Accessory
45,815974,Accessory
16,560170,Accessory
38,168938,Unique
23,654312,Accessory
15,3979651,Core
5,545770,Accessory
29,3825754,Core
34,747809,Accessory
4,383420,Accessory
19,800193,Accessory
28,759951,Accessory
4,105622,Unique
42,3760804,Core
7,70252,Unique
26,3835525,Core
50,3698019,Core
39,906359,Accessory
16,114373,Unique
14,137152,Unique
15,740871,Accessory
50,3759576,Core
39,3711109,Core
31,798490,Accessory
38,159938,Unique
52,911378,Accessory
41,3792592,Core
22,725288,Accessory
9,4043535,Core
48,875927,Accessory
19,3863752,Core
45,121255,Unique
31,676638,Accessory
40,3703752,Core
25,67466,Unique
18,626067,Accessory
5,126680,Unique
22,121101,Unique
52,979526,Accessory
10,508939,Accessory
33,841341,Accessory
49,132636,Unique
9,103885,Unique
19,28144,Unique
18,51479,Unique
8,617536,Accessory
35,112836,Unique
48,957655,Accessory
18,770145,Accessory
15,24529,Unique
38,3719764,Core
40,3814273,Core
11,635907,Accessory
54,981282,Accessory
24,736282,Accessory
17,3989534,Core
17,582751,Accessory
4,4166237,Core
43,3797677,Core
22,3780185,Core
5,366152,Accessory
22,794234,Accessory
7,576145,Accessory
38,869882,Accessory
22,115140,Unique
3,4206198,Core
32,814197,Accessory
19,616639,Accessory
21,97170,Unique
10,569824,Accessory
37,3778460,Core
44,935965,Accessory
32,3765914,Core
29,79524,Unique
33,121366,Unique
41,98038,Unique
26,753718,Accessory
36,3848668,Core
27,43127,Unique
38,3707033,Core
25,3815417,Core
8,65158,Unique
46,131084,Unique
13,575046,Accessory
24,726873,Accessory
10,4185194,Core
51,939457,Accessory
27,93604,Unique
13,683490,Accessory
49,950103,Accessory
16,599834,Accessory
44,954787,Accessory
42,3756007,Core
37,900920,Accessory
7,445403,Accessory
25,138966,Unique
45,865480,Accessory
49,3793681,Core
32,156579,Unique
4,4257926,Core
41,3814669,Core
13,19565,Unique
44,129087,Unique
43,121524,Unique
24,609435,Accessory
39,857384,Accessory
40,110520,Unique
21,152658,Unique
11,18277,Unique
26,3885419,Core
33,854257,Accessory
6,64758,Unique
13,50604,Unique
12,587170,Accessory
31,803419,Accessory
29,831295,Accessory
45,162806,Unique
45,127586,Unique
15,548368,Accessory
43,3838980,Core
7,557548,Accessory
21,70018,Unique
46,3701730,Core
4,4101249,Core
55,981889,Accessory
15,540231,Accessory
4,78985,Unique
54,152852,Unique
2,64825,Unique
41,84231,Unique
36,791123,Accessory
31,867622,Accessory
4,42283,Unique
37,130518,Unique
13,3891309,Core
4,4206544,Core
28,3727623,Core
32,3913324,Core
27,3731079,Core
36,846410,Accessory
6,4083014,Core
34,98332,Unique
52,978940,Accessory
27,56283,Unique
26,71440,Unique
27,894337,Accessory
10,3983650,Core
25,64427,Unique
9,472509,Accessory
50,911894,Accessory
11,78817,Unique
31,3819036,Core
4,169597,Unique
32,3847845,Core
54,3697357,Core
7,48773,Unique
50,3699945,Core
9,514307,Accessory
42,3763407,Core
25,715119,Accessory
27,827506,Accessory
23,740363,Accessory
11,4066928,Core
11,4035057,Core
9,4078452,Core
52,3698649,Core
14,644907,Accessory
54,133784,Unique
3,44252,Accessory
19,60265,Unique
34,143868,Unique
8,538716,Accessory
19,564774,Accessory
3,4128362,Core
38,65822,Unique
53,3698869,Core
8,532301,Accessory
34,756641,Accessory
48,3706258,Core
50,132392,Unique
16,4069471,Core
6,4106790,Core
52,133388,Unique
34,3780354,Core
36,95413,Unique
41,969091,Accessory
9,133301,Unique
17,31704,Unique
13,3964049,Core
29,3736915,Core
27,722817,Accessory
18,4028956,Core
6,4063377,Core
32,101955,Unique
50,879609,Accessory
51,979788,Accessory
27,794026,Accessory
31,836303,Accessory
9,51311,Unique
50,3755492,Core
39,853611,Accessory
40,126814,Unique
38,3798564,Core
12,520591,Accessory
40,68730,Unique
3,177118,Accessory
30,69693,Unique
14,4061334,Core
4,4297885,Core
31,84742,Unique
26,3916708,Core
21,3845477,Core
21,810962,Accessory
22,94688,Unique
5,61613,Unique
36,3845634,Core
34,3841099,Core
3,59736,Unique
26,3811801,Core
39,117547,Unique
43,912501,Accessory
53,977726,Accessory
31,828206,Accessory
