x,y,Category
7,3536,Core
10,673,Accessory
38,1310,Accessory
34,1169,Accessory
14,3477,Core
20,3417,Core
22,3463,Core
35,1219,Accessory
25,1170,Accessory
37,1260,Accessory
41,1096,Accessory
33,3369,Core
45,3426,Core
47,1309,Accessory
20,984,Accessory
4,3914,Core
44,3293,Core
21,1021,Accessory
29,1040,Accessory
19,839,Accessory
11,3539,Core
14,3420,Core
22,879,Accessory
23,3355,Core
47,1327,Accessory
2,215,Accessory
38,1057,Accessory
25,3326,Core
22,1079,Accessory
46,1259,Accessory
5,3806,Core
18,1000,Accessory
31,3341,Core
31,3398,Core
25,1152,Accessory
22,897,Accessory
19,857,Accessory
46,1277,Accessory
6,537,Accessory
3,381,Accessory
4,3673,Core
30,1038,Accessory
20,966,Accessory
17,926,Accessory
48,3364,Core
21,3571,Core
26,1202,Accessory
32,1061,Accessory
27,3426,Core
46,1295,Accessory
30,1056,Accessory
4,660,Accessory
13,847,Accessory
38,1075,Accessory
17,944,Accessory
20,948,Accessory
40,3276,Core
14,752,Accessory
13,3585,Core
5,3881,Core
12,821,Accessory
37,3386,Core
36,1192,Accessory
4,624,Accessory
28,3505,Core
6,591,Accessory
45,3372,Core
8,3615,Core
15,778,Accessory
29,1004,Accessory
2,3943,Core
26,3480,Core
36,3304,Core
3,3781,Core
3,4023,Core
9,3636,Core
26,976,Accessory
41,1078,Accessory
43,1214,Accessory
4,389,Accessory
20,3363,Core
21,3384,Core
50,1366,Accessory
41,3355,Core
34,1187,Accessory
37,1224,Accessory
8,703,Accessory
9,729,Accessory
40,1281,Accessory
27,1035,Accessory
10,3647,Core
35,1255,Accessory
17,3469,Core
16,900,Accessory
26,3405,Core
47,1363,Accessory
36,3494,Core
12,3618,Core
24,1066,Accessory
25,3455,Core
5,407,Accessory
12,3503,Core
36,1174,Accessory
18,813,Accessory
27,881,Accessory
39,3357,Core
33,3441,Core
39,1143,Accessory
7,3482,Core
5,668,Accessory
47,3285,Core
19,1076,Accessory
7,834,Accessory
47,3343,Core
52,1353,Accessory
11,699,Accessory
19,893,Accessory
48,1282,Accessory
38,1093,Accessory
49,1332,Accessory
19,1058,Accessory
41,3409,Core
6,3590,Core
32,1025,Accessory
13,865,Accessory
13,604,Accessory
40,1245,Accessory
16,3577,Core
39,3299,Core
6,3773,Core
30,3377,Core
51,3312,Core
49,1314,Accessory
34,3448,Core
39,1125,Accessory
43,1250,Accessory
32,965,Accessory
31,3470,Core
11,952,Accessory
22,1097,Accessory
47,1345,Accessory
18,3494,Core
7,3723,Core
17,3527,Core
3,512,Accessory
44,1300,Accessory
3,3706,Core
21,1003,Accessory
35,1237,Accessory
46,3318,Core
21,3438,Core
16,3520,Core
41,1331,Accessory
50,1384,Accessory
5,511,Accessory
21,3499,Core
7,685,Accessory
27,3372,Core
31,1142,Accessory
21,835,Accessory
27,1017,Accessory
8,721,Accessory
43,3326,Core
20,3492,Core
26,3347,Core
42,1164,Accessory
29,3472,Core
10,655,Accessory
11,3611,Core
33,1111,Accessory
28,1121,Accessory
34,3333,Core
37,1206,Accessory
14,734,Accessory
19,3569,Core
19,3386,Core
30,3316,Core
9,747,Accessory
9,851,Accessory
3,3648,Core
9,3582,Core
10,3518,Core
3,345,Accessory
26,994,Accessory
7,3665,Core
16,3635,Core
9,3765,Core
38,3350,Core
5,3565,Core
48,1178,Accessory
13,1044,Accessory
56,1398,Accessory
4,3788,Core
28,3447,Core
30,1160,Accessory
51,1267,Accessory
7,3719,Core
34,3319,Core
36,3433,Core
45,1358,Accessory
31,3456,Core
53,1335,Accessory
19,961,Accessory
4,250,Accessory
30,3391,Core
10,804,Accessory
29,1179,Accessory
31,3524,Core
20,3550,Core
23,3413,Core
6,3586,Core
26,1071,Accessory
4,3856,Core
9,3697,Core
3,3964,Core
53,3286,Core
7,3478,Core
42,3380,Core
11,785,Accessory
27,1103,Accessory
6,704,Accessory
12,735,Accessory
13,3470,Core
3,530,Accessory
21,3442,Core
14,648,Accessory
40,1227,Accessory
47,1196,Accessory
36,3365,Core
32,3348,Core
10,3589,Core
17,777,Accessory
36,1088,Accessory
12,717,Accessory
37,1156,Accessory
3,327,Accessory
35,3473,Core
38,3404,Core
53,1353,Accessory
8,3557,Core
11,749,Accessory
49,1264,Accessory
15,846,Accessory
5,3694,Core
17,759,Accessory
52,1335,Accessory
15,3498,Core
26,3476,Core
49,3314,Core
3,588,Accessory
15,909,Accessory
30,1142,Accessory
6,3702,Core
10,3464,Core
29,3339,Core
41,1245,Accessory
6,722,Accessory
32,3294,Core
24,1048,Accessory
13,640,Accessory
8,572,Accessory
27,1071,Accessory
24,3380,Core
37,1093,Accessory
49,1228,Accessory
35,1088,Accessory
16,3506,Core
39,3300,Core
28,3322,Core
25,846,Accessory
32,3362,Core
42,1250,Accessory
5,3867,Core
27,3311,Core
36,1156,Accessory
12,771,Accessory
31,1160,Accessory
43,3272,Core
25,1066,Accessory
28,1103,Accessory
14,977,Accessory
2,251,Accessory
4,3860,Core
42,1182,Accessory
22,3459,Core
45,1151,Accessory
5,3810,Core
18,3419,Core
54,1290,Accessory
14,716,Accessory
38,1125,Accessory
12,803,Accessory
4,457,Accessory
21,871,Accessory
20,3478,Core
32,1043,Accessory
2,129,Accessory
15,3614,Core
14,3481,Core
37,3444,Core
33,1043,Accessory
30,1074,Accessory
9,765,Accessory
35,1305,Accessory
44,1151,Accessory
19,907,Accessory
23,933,Accessory
2,400,Accessory
18,831,Accessory
19,875,Accessory
38,1242,Accessory
4,574,Accessory
33,1187,Accessory
8,3500,Core
15,3556,Core
48,1264,Accessory
41,1313,Accessory
42,3376,Core
6,519,Accessory
22,3402,Core
43,3340,Core
10,741,Accessory
7,442,Accessory
25,1134,Accessory
22,3449,Core
23,3409,Core
4,606,Accessory
44,3347,Core
31,1106,Accessory
20,3488,Core
4,313,Accessory
10,3705,Core
51,3308,Core
10,3532,Core
16,3448,Core
21,3510,Core
28,1179,Accessory
46,1327,Accessory
22,1021,Accessory
40,1096,Accessory
8,635,Accessory
27,3358,Core
38,3336,Core
11,934,Accessory
34,1219,Accessory
37,1242,Accessory
6,573,Accessory
49,1350,Accessory
32,3420,Core
8,518,Accessory
13,779,Accessory
33,3427,Core
8,779,Accessory
17,908,Accessory
25,932,Accessory
9,3507,Core
13,933,Accessory
6,3759,Core
3,3896,Core
33,3312,Core
19,3573,Core
22,3517,Core
15,3441,Core
15,3624,Core
17,962,Accessory
35,1273,Accessory
5,443,Accessory
45,1295,Accessory
39,1211,Accessory
16,832,Accessory
38,3278,Core
7,649,Accessory
21,3500,Core
23,870,Accessory
26,3351,Core
44,3405,Core
11,3607,Core
42,1128,Accessory
40,1159,Accessory
5,3820,Core
27,3368,Core
3,408,Accessory
3,431,Accessory
3,4009,Core
13,797,Accessory
10,705,Accessory
14,802,Accessory
16,715,Accessory
17,894,Accessory
14,3545,Core
48,1327,Accessory
43,1146,Accessory
9,679,Accessory
2,165,Accessory
11,3682,Core
20,1021,Accessory
32,1111,Accessory
37,1039,Accessory
51,1366,Accessory
27,944,Accessory
21,916,Accessory
36,1219,Accessory
36,1260,Accessory
17,3408,Core
13,3514,Core
4,3741,Core
7,3604,Core
24,1129,Accessory
16,976,Accessory
28,3389,Core
2,183,Accessory
35,1192,Accessory
7,748,Accessory
36,1237,Accessory
31,1061,Accessory
4,592,Accessory
36,3375,Core
17,3483,Core
28,3437,Core
35,1169,Accessory
45,3301,Core
28,1022,Accessory
9,3511,Core
20,1003,Accessory
43,3387,Core
50,3358,Core
22,947,Accessory
6,866,Accessory
27,1202,Accessory
45,1277,Accessory
16,994,Accessory
39,1062,Accessory
2,3939,Core
20,3560,Core
35,3290,Core
27,931,Accessory
15,945,Accessory
5,362,Accessory
39,1310,Accessory
3,444,Accessory
33,1169,Accessory
10,3651,Core
8,536,Accessory
24,1165,Accessory
48,1314,Accessory
8,797,Accessory
21,3557,Core
5,569,Accessory
25,3397,Core
17,876,Accessory
11,866,Accessory
51,1384,Accessory
7,510,Accessory
11,605,Accessory
6,3525,Core
23,1084,Accessory
26,1134,Accessory
30,1106,Accessory
46,1345,Accessory
5,3877,Core
6,605,Accessory
7,771,Accessory
18,912,Accessory
14,1026,Accessory
39,3425,Core
32,1142,Accessory
27,913,Accessory
25,3523,Core
3,638,Accessory
7,735,Accessory
31,3460,Core
42,1214,Accessory
20,898,Accessory
17,863,Accessory
24,3390,Core
17,3537,Core
7,3597,Core
6,641,Accessory
51,1353,Accessory
43,3397,Core
53,3290,Core
20,3421,Core
25,3387,Core
2,3929,Core
34,1237,Accessory
36,1206,Accessory
39,3289,Core
21,3428,Core
39,1287,Accessory
7,3733,Core
20,3431,Core
32,3358,Core
14,3596,Core
29,893,Accessory
33,1061,Accessory
47,3275,Core
20,799,Accessory
34,1111,Accessory
22,1003,Accessory
24,977,Accessory
10,3579,Core
34,3401,Core
28,993,Accessory
9,3521,Core
39,3415,Core
13,915,Accessory
22,1129,Accessory
6,492,Accessory
7,717,Accessory
49,1178,Accessory
38,3292,Core
18,3610,Core
29,1103,Accessory
24,995,Accessory
13,3460,Core
31,1092,Accessory
41,1281,Accessory
2,3885,Core
34,1088,Accessory
3,295,Accessory
26,1152,Accessory
32,3416,Core
39,1269,Accessory
38,3282,Core
18,763,Accessory
19,943,Accessory
4,538,Accessory
38,1260,Accessory
5,3748,Core
5,718,Accessory
35,3408,Core
38,1206,Accessory
18,3562,Core
29,3540,Core
10,3528,Core
27,3430,Core
11,835,Accessory
11,848,Accessory
4,331,Accessory
9,697,Accessory
25,3445,Core
47,3401,Core
41,1177,Accessory
39,1093,Accessory
42,3390,Core
18,1076,Accessory
7,541,Accessory
39,3367,Core
15,914,Accessory
45,3311,Core
38,3340,Core
10,718,Accessory
16,3462,Core
27,3440,Core
48,1345,Accessory
8,671,Accessory
8,567,Accessory
12,3445,Core
23,3423,Core
7,3655,Core
2,152,Accessory
