x,y,Category
7,3536,Core
45,195,Unique
14,770,Accessory
5,135,Unique
10,673,Accessory
4,202,Unique
26,733,Accessory
10,98,Unique
6,555,Accessory
23,142,Unique
22,636,Accessory
14,3477,Core
16,683,Accessory
51,314,Unique
32,288,Unique
11,168,Unique
20,3417,Core
10,235,Unique
22,3463,Core
52,247,Unique
41,267,Unique
32,929,Accessory
33,3369,Core
45,3426,Core
13,230,Unique
12,586,Accessory
41,997,Accessory
2,368,Unique
4,3914,Core
20,723,Accessory
24,820,Accessory
38,1039,Accessory
44,3293,Core
44,262,Unique
19,839,Accessory
20,147,Unique
43,268,Unique
11,3539,Core
14,3420,Core
22,879,Accessory
35,783,Accessory
50,246,Unique
23,3355,Core
33,282,Unique
25,3326,Core
5,3806,Core
6,203,Unique
12,162,Unique
8,486,Accessory
33,870,Accessory
3,86,Accessory
24,210,Unique
28,889,Accessory
45,330,Unique
31,3341,Core
22,148,Unique
31,3398,Core
32,947,Accessory
7,136,Unique
3,134,Unique
20,705,Accessory
38,957,Accessory
35,283,Unique
22,897,Accessory
19,857,Accessory
6,537,Accessory
43,920,Accessory
14,163,Unique
3,381,Accessory
4,3673,Core
41,979,Accessory
8,468,Accessory
12,568,Accessory
38,939,Accessory
46,1016,Accessory
48,3364,Core
21,3571,Core
53,315,Unique
3,120,Accessory
27,3426,Core
37,284,Unique
38,975,Accessory
15,231,Unique
20,741,Accessory
33,852,Accessory
34,878,Accessory
31,281,Unique
5,209,Unique
40,199,Unique
40,3276,Core
14,752,Accessory
19,614,Accessory
13,3585,Core
26,751,Accessory
23,216,Unique
46,1034,Accessory
52,970,Accessory
21,141,Unique
5,3881,Core
9,391,Accessory
37,3386,Core
5,294,Accessory
12,236,Unique
28,3505,Core
39,880,Accessory
7,460,Accessory
45,3372,Core
8,3615,Core
15,778,Accessory
2,3943,Core
26,3480,Core
42,335,Unique
36,3304,Core
3,3781,Core
3,4023,Core
9,3636,Core
4,389,Accessory
20,3363,Core
16,647,Accessory
28,682,Accessory
21,3384,Core
22,672,Accessory
26,715,Accessory
41,3355,Core
25,143,Unique
19,228,Unique
10,3647,Core
13,169,Unique
40,1020,Accessory
51,240,Unique
30,799,Accessory
48,264,Unique
19,632,Accessory
17,3469,Core
51,1060,Accessory
44,946,Accessory
23,784,Accessory
26,3405,Core
17,227,Unique
36,3494,Core
4,164,Accessory
12,3618,Core
25,3455,Core
5,407,Accessory
12,3503,Core
25,217,Unique
48,1021,Accessory
18,813,Accessory
29,201,Unique
28,212,Unique
27,881,Accessory
39,3357,Core
33,3441,Core
26,206,Unique
7,3482,Core
16,629,Accessory
47,3285,Core
18,165,Unique
47,3343,Core
33,834,Accessory
11,699,Accessory
47,326,Unique
39,341,Unique
28,207,Unique
41,3409,Core
6,3590,Core
29,943,Accessory
13,604,Accessory
17,232,Unique
19,154,Unique
37,913,Accessory
16,3577,Core
39,3299,Core
6,3773,Core
30,3377,Core
18,221,Unique
55,316,Unique
24,149,Unique
51,3312,Core
51,1042,Accessory
31,921,Accessory
44,1029,Accessory
48,259,Unique
45,269,Unique
18,709,Accessory
34,3448,Core
29,776,Accessory
29,925,Accessory
31,3470,Core
40,260,Unique
44,964,Accessory
18,3494,Core
7,3723,Core
15,553,Accessory
14,82,Unique
17,3527,Core
7,424,Accessory
16,164,Unique
3,3706,Core
26,299,Unique
46,3318,Core
21,3438,Core
16,3520,Core
47,989,Accessory
44,336,Unique
29,294,Unique
5,511,Accessory
21,3499,Core
39,862,Accessory
27,863,Accessory
2,373,Unique
48,320,Unique
31,817,Accessory
27,3372,Core
21,835,Accessory
36,351,Unique
25,864,Accessory
26,211,Unique
43,3326,Core
54,248,Unique
20,3492,Core
26,3347,Core
10,161,Unique
22,654,Accessory
29,3472,Core
10,655,Accessory
11,3611,Core
14,237,Unique
3,208,Unique
5,140,Unique
34,3333,Core
40,885,Accessory
14,734,Accessory
19,3569,Core
19,3386,Core
30,3316,Core
3,3648,Core
9,3582,Core
10,3518,Core
46,263,Unique
3,345,Accessory
46,1052,Accessory
27,759,Accessory
49,253,Unique
7,3665,Core
16,3635,Core
18,596,Accessory
38,993,Accessory
9,3765,Core
38,3350,Core
46,963,Accessory
37,279,Unique
8,130,Unique
27,144,Unique
5,3565,Core
21,785,Accessory
34,289,Unique
4,3788,Core
42,340,Unique
11,224,Unique
28,3447,Core
35,932,Accessory
31,835,Accessory
43,273,Unique
7,3719,Core
6,124,Unique
34,3319,Core
36,3433,Core
12,157,Unique
30,885,Accessory
37,845,Accessory
21,817,Accessory
31,3456,Core
51,1006,Accessory
42,256,Unique
5,63,Unique
4,250,Accessory
30,3391,Core
31,3524,Core
12,241,Unique
20,3550,Core
46,945,Accessory
42,848,Accessory
44,257,Unique
45,251,Unique
23,3413,Core
6,3586,Core
54,253,Unique
40,278,Unique
4,3856,Core
30,138,Unique
27,845,Accessory
9,3697,Core
40,917,Accessory
3,3964,Core
53,3286,Core
3,259,Accessory
15,571,Accessory
19,700,Accessory
7,3478,Core
42,3380,Core
13,151,Unique
8,125,Unique
2,447,Unique
22,297,Unique
9,540,Accessory
2,145,Unique
12,735,Accessory
13,3470,Core
11,524,Accessory
11,173,Unique
21,3442,Core
40,329,Unique
14,648,Accessory
15,152,Unique
36,3365,Core
43,189,Unique
38,800,Accessory
32,3348,Core
10,3589,Core
17,153,Unique
17,777,Accessory
34,294,Unique
12,717,Accessory
40,935,Accessory
13,174,Unique
3,327,Accessory
35,3473,Core
27,777,Accessory
38,3404,Core
53,259,Unique
8,3557,Core
11,749,Accessory
11,542,Accessory
52,326,Unique
23,291,Unique
5,3694,Core
17,759,Accessory
15,3498,Core
26,3476,Core
43,250,Unique
46,258,Unique
24,653,Accessory
41,903,Accessory
49,3314,Core
55,321,Unique
45,325,Unique
44,183,Unique
6,3702,Core
10,3464,Core
4,123,Unique
29,3339,Core
22,803,Accessory
41,272,Unique
52,1060,Accessory
32,3294,Core
4,182,Accessory
13,640,Accessory
8,572,Accessory
34,946,Accessory
36,877,Accessory
49,1003,Accessory
24,3380,Core
23,748,Accessory
26,155,Unique
19,307,Unique
31,871,Accessory
47,252,Unique
27,293,Unique
32,200,Unique
7,356,Accessory
16,3506,Core
39,3300,Core
28,3322,Core
37,809,Accessory
25,222,Unique
50,935,Accessory
25,846,Accessory
15,226,Unique
16,159,Unique
32,3362,Core
33,816,Accessory
5,3867,Core
41,323,Unique
10,179,Unique
2,24,Unique
3,85,Unique
18,745,Accessory
12,510,Accessory
27,3311,Core
43,3272,Core
16,238,Unique
18,682,Accessory
49,332,Unique
4,3860,Core
22,3459,Core
9,504,Accessory
5,3810,Core
18,3419,Core
14,716,Accessory
28,831,Accessory
4,457,Accessory
14,585,Accessory
21,871,Accessory
20,3478,Core
24,228,Unique
10,587,Accessory
35,1012,Accessory
38,296,Unique
40,971,Accessory
7,59,Unique
15,3614,Core
28,156,Unique
14,3481,Core
37,3444,Core
46,337,Unique
28,975,Accessory
37,931,Accessory
48,338,Unique
30,849,Accessory
19,875,Accessory
31,903,Accessory
47,931,Accessory
54,327,Unique
8,3500,Core
48,1003,Accessory
15,3556,Core
29,150,Unique
21,749,Accessory
42,3376,Core
6,519,Accessory
22,3402,Core
43,3340,Core
2,294,Unique
28,128,Unique
7,442,Accessory
8,204,Unique
10,619,Accessory
22,3449,Core
23,3409,Core
19,233,Unique
44,3347,Core
26,801,Accessory
20,3488,Core
4,313,Accessory
10,3705,Core
26,229,Unique
51,3308,Core
10,3532,Core
16,3448,Core
21,3510,Core
36,801,Accessory
43,902,Accessory
36,295,Unique
18,239,Unique
8,635,Accessory
22,740,Accessory
27,3358,Core
38,3336,Core
32,879,Accessory
39,290,Unique
6,573,Accessory
32,3420,Core
8,518,Accessory
33,3427,Core
13,225,Unique
17,306,Unique
34,1012,Accessory
9,137,Unique
25,932,Accessory
9,3507,Core
16,220,Unique
29,907,Accessory
29,961,Accessory
6,3759,Core
3,3896,Core
12,99,Unique
50,1037,Accessory
9,65,Unique
30,287,Unique
33,3312,Core
19,3573,Core
22,3517,Core
15,3441,Core
15,3624,Core
51,979,Accessory
21,215,Unique
24,802,Accessory
6,312,Accessory
5,443,Accessory
17,701,Accessory
36,267,Unique
53,241,Unique
45,1034,Accessory
10,240,Unique
16,832,Accessory
38,3278,Core
5,380,Accessory
3,129,Unique
25,292,Unique
14,158,Unique
21,3500,Core
23,870,Accessory
20,619,Accessory
26,3351,Core
44,3405,Core
11,3607,Core
27,223,Unique
5,3820,Core
27,3368,Core
43,324,Unique
7,505,Accessory
3,4009,Core
13,797,Accessory
2,452,Unique
16,715,Accessory
14,3545,Core
13,146,Unique
41,351,Unique
21,686,Accessory
41,318,Unique
42,284,Unique
13,536,Accessory
16,141,Unique
20,691,Accessory
46,240,Unique
11,3682,Core
23,847,Accessory
35,833,Accessory
39,930,Accessory
27,944,Accessory
17,3408,Core
13,3514,Core
4,3741,Core
24,126,Unique
25,120,Unique
7,3604,Core
42,970,Accessory
45,246,Unique
33,902,Accessory
28,3389,Core
12,185,Unique
11,252,Unique
40,283,Unique
25,765,Accessory
14,214,Unique
36,3375,Core
48,975,Accessory
17,3483,Core
28,3437,Core
5,339,Accessory
45,3301,Core
39,262,Unique
43,319,Unique
10,212,Unique
10,184,Unique
9,3511,Core
12,213,Unique
36,994,Accessory
43,3387,Core
16,733,Accessory
50,3358,Core
18,142,Unique
10,258,Unique
48,939,Accessory
48,962,Accessory
30,966,Accessory
42,177,Unique
7,220,Unique
39,1039,Accessory
5,158,Unique
29,875,Accessory
2,3939,Core
20,3560,Core
35,3290,Core
23,865,Accessory
36,976,Accessory
27,931,Accessory
11,145,Unique
37,335,Unique
51,997,Accessory
11,641,Accessory
5,362,Accessory
40,311,Unique
14,140,Unique
8,153,Unique
19,177,Unique
9,88,Unique
10,3651,Core
12,76,Unique
42,965,Accessory
8,536,Accessory
25,796,Accessory
