x,y,Category,Metric
4,-52.33,Core,Average
4,115.60,Accessory,Average
4,-28.75,Unique,Average
5,-36.66,Core,Average
5,71.02,Accessory,Average
5,-8.54,Unique,Average
6,-28.98,Core,Average
6,49.00,Accessory,Average
6,2.15,Unique,Average
7,-24.52,Core,Average
7,40.77,Accessory,Average
7,2.59,Unique,Average
8,-20.41,Core,Average
8,33.05,Accessory,Average
8,4.92,Unique,Average
9,-18.44,Core,Average
9,30.46,Accessory,Average
9,3.78,Unique,Average
10,-14.58,Core,Average
10,24.61,Accessory,Average
10,5.01,Unique,Average
11,-14.15,Core,Average
11,23.16,Accessory,Average
11,5.15,Unique,Average
12,-11.48,Core,Average
12,20.03,Accessory,Average
12,3.85,Unique,Average
13,-10.15,Core,Average
13,18.68,Accessory,Average
13,3.88,Unique,Average
14,-9.75,Core,Average
14,17.09,Accessory,Average
14,4.60,Unique,Average
15,-9.62,Core,Average
15,16.83,Accessory,Average
15,4.00,Unique,Average
16,-8.88,Core,Average
16,15.70,Accessory,Average
16,4.24,Unique,Average
17,-9.06,Core,Average
17,15.37,Accessory,Average
17,4.75,Unique,Average
18,-8.85,Core,Average
18,15.65,Accessory,Average
18,3.56,Unique,Average
19,-7.66,Core,Average
19,13.43,Accessory,Average
19,3.83,Unique,Average
20,-7.40,Core,Average
20,12.81,Accessory,Average
20,3.90,Unique,Average
21,-7.02,Core,Average
21,12.41,Accessory,Average
21,3.95,Unique,Average
22,-7.77,Core,Average
22,12.18,Accessory,Average
22,4.69,Unique,Average
23,-6.82,Core,Average
23,11.98,Accessory,Average
23,3.34,Unique,Average
24,-7.80,Core,Average
24,12.81,Accessory,Average
24,2.96,Unique,Average
25,-7.85,Core,Average
25,12.37,Accessory,Average
25,3.41,Unique,Average
26,-6.41,Core,Average
26,10.61,Accessory,Average
26,3.28,Unique,Average
27,-6.25,Core,Average
27,10.04,Accessory,Average
27,3.68,Unique,Average
28,-5.98,Core,Average
28,9.70,Accessory,Average
28,4.22,Unique,Average
29,-5.96,Core,Average
29,10.06,Accessory,Average
29,4.10,Unique,Average
30,-5.79,Core,Average
30,10.07,Accessory,Average
30,3.44,Unique,Average
31,-6.14,Core,Average
31,9.88,Accessory,Average
31,4.21,Unique,Average
32,-5.81,Core,Average
32,9.39,Accessory,Average
32,3.88,Unique,Average
33,-5.66,Core,Average
33,9.00,Accessory,Average
33,3.52,Unique,Average
34,-5.62,Core,Average
34,9.08,Accessory,Average
34,3.52,Unique,Average
35,-5.30,Core,Average
35,8.62,Accessory,Average
35,3.60,Unique,Average
36,-5.39,Core,Average
36,9.02,Accessory,Average
36,3.45,Unique,Average
37,-5.38,Core,Average
37,9.14,Accessory,Average
37,3.09,Unique,Average
38,-5.64,Core,Average
38,9.05,Accessory,Average
38,3.19,Unique,Average
39,-5.38,Core,Average
39,8.59,Accessory,Average
39,2.97,Unique,Average
40,-6.48,Core,Average
40,9.81,Accessory,Average
40,3.48,Unique,Average
41,-5.12,Core,Average
41,8.19,Accessory,Average
41,3.34,Unique,Average
42,-4.80,Core,Average
42,7.60,Accessory,Average
42,4.07,Unique,Average
43,-5.10,Core,Average
43,7.97,Accessory,Average
43,3.97,Unique,Average
44,-4.76,Core,Average
44,7.36,Accessory,Average
44,3.95,Unique,Average
45,-4.43,Core,Average
45,7.20,Accessory,Average
45,3.77,Unique,Average
46,-4.70,Core,Average
46,7.42,Accessory,Average
46,3.42,Unique,Average
47,-4.25,Core,Average
47,7.07,Accessory,Average
47,3.24,Unique,Average
48,-5.00,Core,Average
48,7.49,Accessory,Average
48,3.89,Unique,Average
49,-4.03,Core,Average
49,6.52,Accessory,Average
49,3.79,Unique,Average
50,-3.91,Core,Average
50,6.31,Accessory,Average
50,3.62,Unique,Average
51,-4.20,Core,Average
51,6.33,Accessory,Average
51,4.18,Unique,Average
52,-4.87,Core,Average
52,7.02,Accessory,Average
52,3.85,Unique,Average
53,-4.10,Core,Average
53,6.09,Accessory,Average
53,4.01,Unique,Average
54,-3.44,Core,Average
54,5.31,Accessory,Average
54,3.72,Unique,Average
55,-4.33,Core,Average
55,6.41,Accessory,Average
55,3.58,Unique,Average
56,-4.09,Core,Average
56,5.73,Accessory,Average
56,4.67,Unique,Average
