x,y,Category,Metric
4,-27.00,Core,Median
4,101.00,Accessory,Median
4,-15.00,Unique,Median
5,-15.00,Core,Median
5,52.00,Accessory,Median
5,-1.00,Unique,Median
6,-8.00,Core,Median
6,33.00,Accessory,Median
6,3.00,Unique,Median
7,-7.00,Core,Median
7,25.00,Accessory,Median
7,3.00,Unique,Median
8,-4.00,Core,Median
8,19.00,Accessory,Median
8,4.00,Unique,Median
9,-4.00,Core,Median
9,18.00,Accessory,Median
9,4.00,Unique,Median
10,-3.00,Core,Median
10,13.00,Accessory,Median
10,3.00,Unique,Median
11,-2.00,Core,Median
11,12.00,Accessory,Median
11,4.00,Unique,Median
12,-2.00,Core,Median
12,9.00,Accessory,Median
12,3.00,Unique,Median
13,-2.00,Core,Median
13,9.00,Accessory,Median
13,3.00,Unique,Median
14,-1.00,Core,Median
14,7.00,Accessory,Median
14,3.00,Unique,Median
15,-1.00,Core,Median
15,7.00,Accessory,Median
15,3.00,Unique,Median
16,-1.00,Core,Median
16,7.00,Accessory,Median
16,3.00,Unique,Median
17,-1.00,Core,Median
17,7.00,Accessory,Median
17,3.00,Unique,Median
18,-1.00,Core,Median
18,7.00,Accessory,Median
18,3.00,Unique,Median
19,-1.00,Core,Median
19,5.00,Accessory,Median
19,3.00,Unique,Median
20,-1.00,Core,Median
20,5.00,Accessory,Median
20,3.00,Unique,Median
21,-1.00,Core,Median
21,5.00,Accessory,Median
21,3.00,Unique,Median
22,-1.00,Core,Median
22,4.00,Accessory,Median
22,3.00,Unique,Median
23,-1.00,Core,Median
23,4.00,Accessory,Median
23,3.00,Unique,Median
24,-1.00,Core,Median
24,4.00,Accessory,Median
24,2.00,Unique,Median
25,-1.00,Core,Median
25,4.00,Accessory,Median
25,2.00,Unique,Median
26,-1.00,Core,Median
26,4.00,Accessory,Median
26,3.00,Unique,Median
27,-1.00,Core,Median
27,4.00,Accessory,Median
27,2.00,Unique,Median
28,-1.00,Core,Median
28,4.00,Accessory,Median
28,3.00,Unique,Median
29,-1.00,Core,Median
29,3.00,Accessory,Median
29,3.00,Unique,Median
30,-1.00,Core,Median
30,3.00,Accessory,Median
30,3.00,Unique,Median
31,-1.00,Core,Median
31,3.00,Accessory,Median
31,3.00,Unique,Median
32,-1.00,Core,Median
32,3.00,Accessory,Median
32,2.00,Unique,Median
33,-1.00,Core,Median
33,3.00,Accessory,Median
33,2.00,Unique,Median
34,-1.00,Core,Median
34,3.00,Accessory,Median
34,2.00,Unique,Median
35,-1.00,Core,Median
35,3.00,Accessory,Median
35,2.00,Unique,Median
36,-1.00,Core,Median
36,3.00,Accessory,Median
36,3.00,Unique,Median
37,-1.00,Core,Median
37,3.00,Accessory,Median
37,2.00,Unique,Median
38,-1.00,Core,Median
38,3.00,Accessory,Median
38,3.00,Unique,Median
39,0.00,Core,Median
39,3.00,Accessory,Median
39,2.00,Unique,Median
40,-1.00,Core,Median
40,3.00,Accessory,Median
40,2.00,Unique,Median
41,-1.00,Core,Median
41,3.00,Accessory,Median
41,3.00,Unique,Median
42,0.00,Core,Median
42,3.00,Accessory,Median
42,3.00,Unique,Median
43,-1.00,Core,Median
43,3.00,Accessory,Median
43,2.00,Unique,Median
44,0.00,Core,Median
44,2.00,Accessory,Median
44,2.00,Unique,Median
45,0.00,Core,Median
45,2.00,Accessory,Median
45,3.00,Unique,Median
46,0.00,Core,Median
46,2.00,Accessory,Median
46,2.00,Unique,Median
47,0.00,Core,Median
47,2.00,Accessory,Median
47,2.00,Unique,Median
48,0.00,Core,Median
48,2.00,Accessory,Median
48,3.00,Unique,Median
49,0.00,Core,Median
49,2.00,Accessory,Median
49,3.00,Unique,Median
50,0.00,Core,Median
50,2.00,Accessory,Median
50,3.00,Unique,Median
51,0.00,Core,Median
51,2.00,Accessory,Median
51,2.00,Unique,Median
52,0.00,Core,Median
52,2.00,Accessory,Median
52,2.00,Unique,Median
53,0.00,Core,Median
53,2.00,Accessory,Median
53,3.00,Unique,Median
54,0.00,Core,Median
54,2.00,Accessory,Median
54,2.00,Unique,Median
55,0.00,Core,Median
55,2.00,Accessory,Median
55,3.00,Unique,Median
56,0.00,Core,Median
56,2.00,Accessory,Median
56,3.00,Unique,Median
