"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_900474775.1_41800_G02_genomic.fna","FASTA","DNA",1,1744145,1744145,1744145,1744145,1744145,1744145,1744145,0,1744145,0,0,38.57
"GCF_002355175.1_ASM235517v1_genomic.fna","FASTA","DNA",1,1893821,1893821,1893821,1893821,1893821,1893821,1893821,0,1893821,0,0,38.54
"GCF_001014285.1_ASM101428v1_genomic.fna","FASTA","DNA",1,1811968,1811968,1811968,1811968,1811968,1811968,1811968,0,1811968,0,0,38.63
"GCF_019342965.1_ASM1934296v1_genomic.fna","FASTA","DNA",1,1823813,1823813,1823813,1823813,1823813,1823813,1823813,0,1823813,0,0,38.54
"GCF_004010875.1_ASM401087v1_genomic.fna","FASTA","DNA",1,1851471,1851471,1851471,1851471,1851471,1851471,1851471,0,1851471,0,0,38.34
"GCF_005164305.1_ASM516430v1_genomic.fna","FASTA","DNA",1,1806314,1806314,1806314,1806314,1806314,1806314,1806314,0,1806314,0,0,38.54
"GCF_900475075.1_42290_F02_genomic.fna","FASTA","DNA",1,1898595,1898595,1898595,1898595,1898595,1898595,1898595,0,1898595,0,0,38.59
"GCF_000732425.1_ASM73242v1_genomic.fna","FASTA","DNA",1,1892124,1892124,1892124,1892124,1892124,1892124,1892124,0,1892124,0,0,38.55
"GCF_001638845.2_ASM163884v2_genomic.fna","FASTA","DNA",1,1765123,1765123,1765123,1765123,1765123,1765123,1765123,0,1765123,0,0,38.42
"GCF_900475985.1_47297_C01_genomic.fna","FASTA","DNA",1,1891258,1891258,1891258,1891258,1891258,1891258,1891258,0,1891258,0,0,38.6
"GCF_001014305.1_ASM101430v1_genomic.fna","FASTA","DNA",1,1811968,1811968,1811968,1811968,1811968,1811968,1811968,0,1811968,0,0,38.63
"GCF_005165045.1_ASM516504v1_genomic.fna","FASTA","DNA",1,1758778,1758778,1758778,1758778,1758778,1758778,1758778,0,1758778,0,0,38.48
"GCF_014192005.1_ASM1419200v1_genomic.fna","FASTA","DNA",1,1854597,1854597,1854597,1854597,1854597,1854597,1854597,0,1854597,0,0,38.54
"GCF_019448315.1_ASM1944831v1_genomic.fna","FASTA","DNA",1,1860158,1860158,1860158,1860158,1860158,1860158,1860158,0,1860158,0,0,38.51
"GCF_900475765.1_46931_G01_genomic.fna","FASTA","DNA",1,1913208,1913208,1913208,1913208,1913208,1913208,1913208,0,1913208,0,0,38.57
"GCF_020827115.1_ASM2082711v1_genomic.fna","FASTA","DNA",1,1827693,1827693,1827693,1827693,1827693,1827693,1827693,0,1827693,0,0,38.46
"GCF_900608505.1_Chr_1_genomic.fna","FASTA","DNA",1,1877450,1877450,1877450,1877450,1877450,1877450,1877450,0,1877450,0,0,38.55
"GCF_000011285.1_ASM1128v1_genomic.fna","FASTA","DNA",1,1894275,1894275,1894275,1894275,1894275,1894275,1894275,0,1894275,0,0,38.55
"GCF_016549355.1_ASM1654935v1_genomic.fna","FASTA","DNA",1,1897124,1897124,1897124,1897124,1897124,1897124,1897124,0,1897124,0,0,38.6
"GCF_000011665.1_ASM1166v1_genomic.fna","FASTA","DNA",1,1899877,1899877,1899877,1899877,1899877,1899877,1899877,0,1899877,0,0,38.69
"GCF_005163565.1_ASM516356v1_genomic.fna","FASTA","DNA",1,1809631,1809631,1809631,1809631,1809631,1809631,1809631,0,1809631,0,0,38.58
"GCF_900474885.1_41851_E01_genomic.fna","FASTA","DNA",1,1875632,1875632,1875632,1875632,1875632,1875632,1875632,0,1875632,0,0,38.56
"GCF_002355815.1_ASM235581v1_genomic.fna","FASTA","DNA",1,1741982,1741982,1741982,1741982,1741982,1741982,1741982,0,1741982,0,0,38.52
"GCF_004153945.1_ASM415394v1_genomic.fna","FASTA","DNA",1,1833822,1833822,1833822,1833822,1833822,1833822,1833822,0,1833822,0,0,38.42
"GCF_004154125.1_ASM415412v1_genomic.fna","FASTA","DNA",1,1905059,1905059,1905059,1905059,1905059,1905059,1905059,0,1905059,0,0,38.34
"GCF_004124115.1_ASM412411v1_genomic.fna","FASTA","DNA",1,1801696,1801696,1801696,1801696,1801696,1801696,1801696,0,1801696,0,0,38.69
"GCF_006364235.1_ASM636423v1_genomic.fna","FASTA","DNA",1,1914862,1914862,1914862,1914862,1914862,1914862,1914862,0,1914862,0,0,38.5
"GCF_005160565.1_ASM516056v1_genomic.fna","FASTA","DNA",1,1861037,1861037,1861037,1861037,1861037,1861037,1861037,0,1861037,0,0,38.47
"GCF_000743015.1_ASM74301v1_genomic.fna","FASTA","DNA",1,1844804,1844804,1844804,1844804,1844804,1844804,1844804,0,1844804,0,0,38.48
"GCF_900475795.1_46514_A02_genomic.fna","FASTA","DNA",1,1790372,1790372,1790372,1790372,1790372,1790372,1790372,0,1790372,0,0,38.56
"GCF_900474835.1_41800_H02_genomic.fna","FASTA","DNA",1,1808407,1808407,1808407,1808407,1808407,1808407,1808407,0,1808407,0,0,38.53
"GCF_003609955.1_ASM360995v1_genomic.fna","FASTA","DNA",1,1900008,1900008,1900008,1900008,1900008,1900008,1900008,0,1900008,0,0,38.58
"GCF_004154165.1_ASM415416v1_genomic.fna","FASTA","DNA",1,1893263,1893263,1893263,1893263,1893263,1893263,1893263,0,1893263,0,0,38.35
"GCF_014192175.1_ASM1419217v1_genomic.fna","FASTA","DNA",1,1747400,1747400,1747400,1747400,1747400,1747400,1747400,0,1747400,0,0,38.56
"GCF_019342925.1_ASM1934292v1_genomic.fna","FASTA","DNA",1,1931322,1931322,1931322,1931322,1931322,1931322,1931322,0,1931322,0,0,38.49
"GCF_005161825.1_ASM516182v1_genomic.fna","FASTA","DNA",1,1790668,1790668,1790668,1790668,1790668,1790668,1790668,0,1790668,0,0,38.5
"GCF_900474955.1_41800_H01_genomic.fna","FASTA","DNA",1,1921449,1921449,1921449,1921449,1921449,1921449,1921449,0,1921449,0,0,38.56
"GCF_004193935.1_ASM419393v1_genomic.fna","FASTA","DNA",1,1878827,1878827,1878827,1878827,1878827,1878827,1878827,0,1878827,0,0,38.53
"GCF_017132795.1_ASM1713279v1_genomic.fna","FASTA","DNA",1,1831274,1831274,1831274,1831274,1831274,1831274,1831274,0,1831274,0,0,38.5
"GCF_020827075.1_ASM2082707v1_genomic.fna","FASTA","DNA",1,1890384,1890384,1890384,1890384,1890384,1890384,1890384,0,1890384,0,0,38.44
"GCF_014218015.1_ASM1421801v1_genomic.fna","FASTA","DNA",1,1918725,1918725,1918725,1918725,1918725,1918725,1918725,0,1918725,0,0,38.51
