Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9,Genome 10,Genome 11,Genome 12,Genome 13
105187,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
105188,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207383,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207384,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207388,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207389,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207390,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207391,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207392,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207394,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207402,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207404,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207405,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207406,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207407,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207408,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207409,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207410,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207411,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207412,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207413,core,1,1,1,2,1,1,1,1,1,1,1,1,1
207414,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207415,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207416,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207418,core,1,1,1,1,1,1,1,1,1,2,1,1,1
207420,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207421,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207422,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207423,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207424,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207425,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207426,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207427,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207428,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207429,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207430,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207431,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207432,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207433,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207434,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207435,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207436,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207438,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207439,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207440,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207441,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207443,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207444,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207445,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207446,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207447,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207449,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207450,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207454,core,1,1,1,1,1,1,1,1,1,1,1,1,2
207455,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207459,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207460,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207461,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207462,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207463,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207464,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207465,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207466,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207467,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207468,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207469,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207470,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207471,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
207472,core & single copy orthologous,1,1,1,1,1,1,1,1,1,1,1,1,1
