"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_000524575.1_ASM52457v1_genomic.fna","FASTA","DNA",1,1881193,1881193,1881193,1881193,1881193,1881193,1881193,0,1881193,0,0,32.19
"GCF_003955775.1_ASM395577v1_genomic.fna","FASTA","DNA",1,1892855,1892855,1892855,1892855,1892855,1892855,1892855,0,1892855,0,0,32.16
"GCF_000833335.1_ASM83333v1_genomic.fna","FASTA","DNA",1,1892177,1892177,1892177,1892177,1892177,1892177,1892177,0,1892177,0,0,32.15
"GCF_010233165.1_ASM1023316v1_genomic.fna","FASTA","DNA",1,1893151,1893151,1893151,1893151,1893151,1893151,1893151,0,1893151,0,0,32.15
"GCF_019469545.1_ASM1946954v1_genomic.fna","FASTA","DNA",1,1891025,1891025,1891025,1891025,1891025,1891025,1891025,0,1891025,0,0,32.16
"GCF_019469505.1_ASM1946950v1_genomic.fna","FASTA","DNA",1,1894156,1894156,1894156,1894156,1894156,1894156,1894156,0,1894156,0,0,32.15
"GCF_000023305.1_ASM2330v1_genomic.fna","FASTA","DNA",1,1892681,1892681,1892681,1892681,1892681,1892681,1892681,0,1892681,0,0,32.26
"GCF_000978785.2_ASM97878v2_genomic.fna","FASTA","DNA",2,1888434,10408,944217,1878026,10408,944217,1878026,0,1878026,0,0,32.3
"GCF_000833355.1_ASM83335v1_genomic.fna","FASTA","DNA",1,1870206,1870206,1870206,1870206,1870206,1870206,1870206,0,1870206,0,0,32.48
"GCF_019134815.1_ASM1913481v1_genomic.fna","FASTA","DNA",1,1892232,1892232,1892232,1892232,1892232,1892232,1892232,0,1892232,0,0,32.28
"GCF_001880205.1_ASM188020v1_genomic.fna","FASTA","DNA",1,1916455,1916455,1916455,1916455,1916455,1916455,1916455,0,1916455,0,0,32.4
"GCF_019134795.1_ASM1913479v1_genomic.fna","FASTA","DNA",1,1890509,1890509,1890509,1890509,1890509,1890509,1890509,0,1890509,0,0,32.18
"GCF_000833165.1_ASM83316v1_genomic.fna","FASTA","DNA",2,1927240,3978,963620,1923262,3978,963620,1923262,0,1923262,0,0,32.38
"GCF_003955815.1_ASM395581v1_genomic.fna","FASTA","DNA",1,1894185,1894185,1894185,1894185,1894185,1894185,1894185,0,1894185,0,0,32.15
"GCF_019469565.1_ASM1946956v1_genomic.fna","FASTA","DNA",1,1892784,1892784,1892784,1892784,1892784,1892784,1892784,0,1892784,0,0,32.26
"GCF_019134735.1_ASM1913473v1_genomic.fna","FASTA","DNA",1,1885192,1885192,1885192,1885192,1885192,1885192,1885192,0,1885192,0,0,32.22
"GCF_000009245.1_ASM924v1_genomic.fna","FASTA","DNA",1,1895994,1895994,1895994,1895994,1895994,1895994,1895994,0,1895994,0,0,32.15
"GCF_000833495.1_ASM83349v1_genomic.fna","FASTA","DNA",1,1893733,1893733,1893733,1893733,1893733,1893733,1893733,0,1893733,0,0,32.16
"GCF_000833375.1_ASM83337v1_genomic.fna","FASTA","DNA",1,1910592,1910592,1910592,1910592,1910592,1910592,1910592,0,1910592,0,0,32.48
"GCF_001011135.1_ASM101113v1_genomic.fna","FASTA","DNA",1,1899252,1899252,1899252,1899252,1899252,1899252,1899252,0,1899252,0,0,32.26
"GCF_000016105.1_ASM1610v1_genomic.fna","FASTA","DNA",1,1898476,1898476,1898476,1898476,1898476,1898476,1898476,0,1898476,0,0,32.27
"GCF_019134835.1_ASM1913483v1_genomic.fna","FASTA","DNA",1,1892723,1892723,1892723,1892723,1892723,1892723,1892723,0,1892723,0,0,32.26
"GCF_010232785.1_ASM1023278v1_genomic.fna","FASTA","DNA",1,1892749,1892749,1892749,1892749,1892749,1892749,1892749,0,1892749,0,0,32.15
