#Genomes with additional copies compared to other genomes
#Homology group identifier, number of additional copies compared to the lowest number in a homology group (at least 1).

#Genome 1
Core
 207489, 5
 207499, 4
 207544, 2
 207617, 1
 207869, 1
 207944, 1
 207961, 1
 207963, 1
 207964, 1
 207966, 1
 207967, 1
 207970, 1
 207971, 2
 207972, 1
 208293, 1
 208294, 2
 208295, 1
 208296, 1
 208362, 1
 209180, 1
 209251, 1
 209323, 1

Accessory
 207385, 2
 207500, 5
 207541, 1
 207542, 1
 207543, 1
 208053, 1
 208220, 1
 209252, 1
 209364, 1

#Genome 2
Core
 207489, 5
 207499, 10
 207617, 1
 207869, 1
 208362, 1
 209180, 1
 209323, 1

Accessory
 207385, 1
 208053, 1
 208220, 1
 209364, 1

#Genome 3
Core
 207489, 89
 207499, 90
 207617, 1
 207869, 1
 207985, 1
 207986, 1
 207987, 1
 207988, 1
 207989, 1
 207990, 1
 208083, 1
 208250, 1
 208280, 1
 208362, 1
 208636, 1
 208913, 1
 209186, 1
 209305, 1
 209543, 1

Accessory
 207386, 2
 207456, 1
 207490, 9
 207751, 1
 207991, 1
 208672, 1
 209093, 1
 209221, 1

#Genome 4
Core
 207413, 1
 207489, 33
 207499, 34
 207617, 1
 207869, 1
 208083, 1
 208362, 1
 208754, 1
 208800, 1
 208938, 1
 209543, 1

Accessory
 207385, 4
 207456, 1
 207751, 1
 207866, 1
 207900, 1
 207917, 1
 208005, 1
 208506, 1
 208631, 1
 208775, 1
 208843, 1
 208914, 1

#Genome 5
Core
 207489, 6
 207499, 5
 207617, 1
 207869, 1
 207932, 2
 207986, 1
 208083, 1
 208362, 1
 208636, 1
 209323, 1
 209405, 1
 209543, 1

Accessory
 207751, 1
 207863, 1
 208061, 1
 208672, 1
 208981, 1
 209093, 1
 209221, 1
 209550, 1

#Genome 6
Core
 207489, 34
 207499, 34
 207718, 1
 207928, 1
 208072, 1
 208074, 1
 208170, 1
 208323, 1
 208407, 1
 208440, 1
 208625, 1
 208772, 1
 209031, 1

Accessory
 207386, 2
 207643, 1
 208053, 1
 209329, 1
 209432, 1
 209962, 1

#Genome 7
Core
 207489, 5
 207499, 10
 207617, 1
 207869, 1
 208362, 1
 209180, 1
 209323, 1

Accessory
 207385, 1
 209364, 1

#Genome 8
Core
 207489, 90
 207499, 88
 207617, 1
 207869, 1
 207985, 1
 207986, 1
 207987, 1
 207988, 1
 207989, 1
 207990, 1
 208083, 1
 208362, 1
 208636, 1
 208887, 1
 209186, 1
 209543, 1

Accessory
 207386, 2
 207490, 7
 207498, 3
 207508, 2
 207751, 1
 208663, 1
 208672, 1
 209093, 1
 209634, 1

#Genome 9
Core
 207489, 34
 207499, 34
 207672, 1
 207928, 1
 208072, 1
 208074, 1
 208407, 1
 208625, 1
 208772, 1
 208970, 1
 209031, 1

Accessory
 207386, 2
 207643, 1
 208006, 1
 208135, 1
 209371, 1
 209415, 1
 209432, 1
 209962, 1

#Genome 10
Core
 207418, 1
 207489, 13
 207499, 19
 207672, 1
 207840, 1
 208028, 1
 208029, 1
 208035, 1
 208036, 1
 208063, 1
 208143, 1
 208250, 1
 208362, 1
 208374, 1
 208513, 1
 208564, 1
 208605, 1
 208734, 1
 208800, 1
 208802, 1
 208905, 1
 208954, 1
 209031, 1
 209336, 1
 209393, 1
 209450, 1

Accessory
 207385, 1
 207656, 1
 208051, 1
 208056, 1
 208130, 1
 208479, 1
 208632, 1
 208666, 1
 208750, 1
 208942, 2
 209296, 1
 209329, 1
 209821, 1
 209963, 1

#Genome 11
Core
 207489, 5
 207499, 10
 207617, 1
 207869, 1
 208362, 1
 209180, 1
 209323, 1

Accessory
 207385, 1
 208053, 1
 209364, 1

#Genome 12
Core
 207489, 9
 207499, 10
 207617, 1
 207869, 1
 208362, 1
 209180, 1
 209323, 1

Accessory
 207385, 1
 207492, 4
 208053, 1
 208260, 10
 209364, 1

#Genome 13
Core
 207454, 1
 207681, 1
 208028, 1
 208035, 1
 208177, 1
 208362, 1
 208374, 1
 208736, 1

Accessory
 207385, 7
 207386, 4
 207491, 4
 208484, 1
 209582, 1
 209843, 1
