Gene_name GCF_000007765.2_ASM776v2_genomic.gff GCF_000017105.1_ASM1710v1_genomic.gff GCF_000018745.1_ASM1874v1_genomic.gff GCF_000019865.1_ASM1986v1_genomic.gff GCF_000019885.1_ASM1988v1_genomic.gff GCF_000168875.3_ASM16887v3_genomic.gff GCF_000367725.2_Z3055_genomic.gff GCF_001572745.1_ASM157274v1_genomic.gff GCF_002094935.1_ASM209493v1_genomic.gff GCF_002109345.1_ASM210934v1_genomic.gff GCF_004006195.1_ASM400619v1_genomic.gff GCF_004087735.1_ASM408773v1_genomic.gff GCF_005280755.1_ASM528075v1_genomic.gff
dnaA 1 1 1 1 1 1 1 1 1 1 1 1 1
dnaN 1 1 1 1 1 1 1 1 1 1 1 1 1
recF 1 1 1 1 1 1 1 1 1 1 1 1 1
gyrB 1 1 1 1 1 1 1 1 1 1 1 1 1
dacB 1 1 1 0 1 1 1 1 1 1 1 1 1
aroE 1 1 1 1 1 1 1 1 1 1 1 1 1
xapA 1 1 1 1 1 1 1 1 1 1 1 1 1
deoC 1 1 1 1 1 1 1 1 1 1 1 1 1
csrA_1 1 1 1 1 1 1 1 1 1 1 1 1 1
rpiA 1 1 1 1 1 1 1 1 1 1 1 1 1
yihG_1 1 1 1 1 1 1 1 1 1 1 1 1 1
aas 1 0 1 1 1 1 1 1 1 1 1 1 1
acpP_1 1 1 1 1 1 1 1 1 1 1 1 1 1
fabB 1 1 1 1 1 1 1 1 1 1 1 1 1
fabZ_1 1 1 1 1 1 1 1 1 1 1 1 1 1
fabA 1 1 1 1 1 1 1 1 1 1 1 1 1
fabH 1 1 1 1 0 0 1 1 1 1 1 1 1
prlC 1 1 1 1 1 1 1 1 1 1 1 1 1
hemH 1 1 1 1 1 1 1 1 1 1 1 1 1
ybhR 1 1 1 1 1 1 1 1 1 1 1 1 1
ybhS 1 0 1 1 0 0 1 1 1 1 1 1 1
ybhF_1 1 0 0 0 0 0 0 0 1 1 0 1 1
ybhF_2 1 0 0 0 0 0 0 0 1 1 0 1 1
ubiC 1 1 1 1 1 1 1 1 1 1 1 1 1
ubiA 1 1 1 1 1 1 1 1 1 1 1 1 1
damX_1 1 1 1 1 0 0 1 1 1 1 1 1 1
waaA 1 1 1 1 1 1 1 1 1 1 1 1 1
parE 1 1 1 1 1 1 1 1 1 1 1 1 1
zapA 1 1 1 1 1 1 1 1 1 1 1 1 1
ubiH 1 1 1 1 1 1 1 1 1 1 1 1 1
ubiI 1 1 1 1 1 1 1 1 1 1 1 1 1
proS 1 1 1 1 1 1 1 1 1 1 1 1 1
yejM_1 1 1 1 1 1 1 1 1 1 1 1 1 1
pmdD 1 1 1 1 1 1 1 1 1 1 1 1 1
yejM_2 1 1 1 1 1 1 1 1 1 1 1 1 1
tolB 1 1 1 1 1 1 1 1 1 1 1 1 1
pal 1 1 1 1 0 0 1 0 1 1 0 1 1
cpoB 1 1 1 1 1 1 1 1 1 1 1 1 1
queE 1 1 1 1 1 1 1 1 1 1 1 1 1
clpB 1 1 1 1 1 1 1 1 1 1 1 1 1
yrbG 1 1 1 1 1 1 1 1 1 1 1 1 1
cls 1 1 1 1 1 1 1 1 1 1 1 1 1
nadC 1 1 1 1 1 1 1 1 1 1 1 1 1
