"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_001293415.1_ASM129341v1_genomic.fna","FASTA","DNA",3,4722852,70305,1574284,4556337,83257.5,96210,2326273.5,0,4556337,0,0,47.6
"GCF_000186725.1_ASM18672v1_genomic.fna","FASTA","DNA",4,4709501,9600,1177375.3,4532063,39076,83919,2315674.5,0,4532063,0,0,47.6
"GCF_000013805.1_ASM1380v1_genomic.fna","FASTA","DNA",3,4646286,10778,1548762,4534590,55848,100918,2317754,0,4534590,0,0,47.64
"GCF_009295985.1_ASM929598v1_genomic.fna","FASTA","DNA",5,4783760,5400,956752,4596548,9611,70503,101698,0,4596548,0,0,47.68
"GCF_000834825.1_ASM83482v1_genomic.fna","FASTA","DNA",4,4884396,9609,1221099,4708024,39949.5,83381.5,2402248.5,0,4708024,0,0,47.71
"GCF_015337825.2_ASM1533782v2_genomic.fna","FASTA","DNA",1,4612530,4612530,4612530,4612530,4612530,4612530,4612530,0,4612530,0,0,47.66
"GCF_001188695.1_ASM118869v1_genomic.fna","FASTA","DNA",3,4733482,71522,1577827.3,4524943,104269.5,137017,2330980,0,4524943,0,0,47.71
"GCF_000022845.1_ASM2284v1_genomic.fna","FASTA","DNA",4,4725788,9609,1181447,4553586,38975.5,81296.5,2323918.5,0,4553586,0,0,47.68
"GCF_003798225.1_ASM379822v1_genomic.fna","FASTA","DNA",4,4930959,19216,1232739.8,4708493,44758,101625,2420721.5,0,4708493,0,0,47.69
"GCF_000834235.1_ASM83423v1_genomic.fna","FASTA","DNA",4,4861517,9610,1215379.3,4685423,39949,83242,2390809.5,0,4685423,0,0,47.64
"GCF_000007885.1_ASM788v1_genomic.fna","FASTA","DNA",5,4803217,9609,960643.4,4595065,21742,70159,106642,0,4595065,0,0,47.67
"GCF_000013825.1_ASM1382v1_genomic.fna","FASTA","DNA",4,4879836,10777,1219959,4702289,40538,83385,2399380,0,4702289,0,0,47.71
"GCF_009295945.1_ASM929594v1_genomic.fna","FASTA","DNA",5,4759144,9610,951828.8,4546217,33990,68343,100984,0,4546217,0,0,47.61
"GCF_015336695.1_ASM1533669v1_genomic.fna","FASTA","DNA",1,4617857,4617857,4617857,4617857,4617857,4617857,4617857,0,4617857,0,0,47.66
"GCF_000834495.1_ASM83449v1_genomic.fna","FASTA","DNA",4,4838262,8150,1209565.5,4662886,39227.5,83613,2379903.5,0,4662886,0,0,47.64
"GCF_000018805.1_ASM1880v1_genomic.fna","FASTA","DNA",3,4687014,68190,1562338,4504254,91380,114570,2309412,0,4504254,0,0,47.61
"GCF_000016445.1_ASM1644v1_genomic.fna","FASTA","DNA",3,4725862,71507,1575287.3,4517345,104258.5,137010,2327177.5,0,4517345,0,0,47.73
"GCF_001693595.1_ASM169359v1_genomic.fna","FASTA","DNA",4,4778555,9612,1194638.8,4602429,39958,83257,2349319.5,0,4602429,0,0,47.59
"GCF_000834315.1_ASM83431v1_genomic.fna","FASTA","DNA",3,4728318,71507,1576106,4519828,104245,136983,2328405.5,0,4519828,0,0,47.73
"GCF_000006645.1_ASM664v1_genomic.fna","FASTA","DNA",2,4701745,100990,2350872.5,4600755,100990,2350872.5,4600755,0,4600755,0,0,47.7
"GCF_015338205.1_ASM1533820v1_genomic.fna","FASTA","DNA",1,4501826,4501826,4501826,4501826,4501826,4501826,4501826,0,4501826,0,0,47.63
"GCF_015159615.2_ASM1515961v2_genomic.fna","FASTA","DNA",1,4601712,4601712,4601712,4601712,4601712,4601712,4601712,0,4601712,0,0,47.64
"GCF_001188775.1_ASM118877v1_genomic.fna","FASTA","DNA",3,4735667,71523,1578555.7,4523206,106230.5,140938,2332072,0,4523206,0,0,47.72
"GCF_000834925.1_ASM83492v1_genomic.fna","FASTA","DNA",4,4794427,9606,1198606.8,4607660,39887.5,88580.5,2357326,0,4607660,0,0,47.66
