#This file contains six matrices: shared distinct genes (1), unshared distinct genes (2), shared informative distinct genes (3), unshared informative distinct genes (4), total shared genes (5) and total unshared genes (6).

#shared distinct genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
1,590,5,18,10,18,18,14,17,2,2,2,10,2,16,18,17,17,10,13,11,4,18,13,9,17,18,1,17,12,12,10,3,17,2,11,
2,5,547,5,4,5,5,4,4,2,2,2,3,2,4,4,4,4,4,5,4,3,5,5,4,4,4,1,5,4,5,3,4,4,2,5,
3,18,5,592,14,592,592,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,591,16,11,26,29,1,26,12,13,11,3,25,2,12,
4,10,4,14,600,14,14,15,17,2,2,2,18,2,14,17,17,17,597,13,98,3,14,13,17,17,18,1,17,16,15,18,3,18,2,16,
5,18,5,592,14,593,592,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,592,16,11,26,29,1,26,12,13,11,3,25,2,12,
6,18,5,592,14,592,593,16,29,2,2,2,11,2,21,30,29,29,14,16,15,3,591,16,11,26,29,1,26,12,13,11,3,25,2,12,
7,14,4,16,15,16,16,575,16,2,2,2,12,2,15,17,16,16,15,14,15,3,15,14,13,16,17,1,15,15,12,12,3,17,2,11,
8,17,4,29,17,29,29,16,579,2,2,2,13,2,23,577,579,574,17,19,18,3,30,19,13,52,59,1,58,16,13,13,3,57,2,12,
9,2,2,2,2,2,2,2,2,385,2,5,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
10,2,2,2,2,2,2,2,2,2,384,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,
11,2,2,2,2,2,2,2,2,5,1,374,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
12,10,3,11,18,11,11,12,13,2,2,2,586,2,12,13,13,13,19,10,19,3,11,12,71,15,14,1,13,17,45,584,3,14,2,45,
13,2,2,2,2,2,2,2,2,6,1,8,2,382,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,
14,16,4,21,14,21,21,15,23,2,2,2,12,2,586,23,23,23,14,17,15,3,21,17,11,25,23,1,22,14,11,12,3,22,2,11,
