"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_001587035.1_ASM158703v1_genomic.fna","FASTA","DNA",2,1801450,119543,900725,1681907,119543,900725,1681907,0,1681907,0,0,30.3
"GCF_001506365.1_ASM150636v1_genomic.fna","FASTA","DNA",1,1668335,1668335,1668335,1668335,1668335,1668335,1668335,0,1668335,0,0,30.7
"GCF_002028305.1_ASM202830v1_genomic.fna","FASTA","DNA",1,1618194,1618194,1618194,1618194,1618194,1618194,1618194,0,1618194,0,0,30.64
"GCF_001507045.1_ASM150704v1_genomic.fna","FASTA","DNA",1,1642497,1642497,1642497,1642497,1642497,1642497,1642497,0,1642497,0,0,30.29
"GCF_017356905.1_ASM1735690v1_genomic.fna","FASTA","DNA",1,1625802,1625802,1625802,1625802,1625802,1625802,1625802,0,1625802,0,0,30.56
"GCF_003060745.1_ASM306074v1_genomic.fna","FASTA","DNA",1,1684042,1684042,1684042,1684042,1684042,1684042,1684042,0,1684042,0,0,30.48
"GCF_019754215.1_ASM1975421v1_genomic.fna","FASTA","DNA",1,1634782,1634782,1634782,1634782,1634782,1634782,1634782,0,1634782,0,0,30.52
"GCF_001506885.1_ASM150688v1_genomic.fna","FASTA","DNA",1,1640646,1640646,1640646,1640646,1640646,1640646,1640646,0,1640646,0,0,30.3
"GCF_001314285.1_ASM131428v1_genomic.fna","FASTA","DNA",1,1635803,1635803,1635803,1635803,1635803,1635803,1635803,0,1635803,0,0,30.54
"GCF_900638175.1_56527_F01_genomic.fna","FASTA","DNA",1,1664663,1664663,1664663,1664663,1664663,1664663,1664663,0,1664663,0,0,30.59
"GCF_001506545.1_ASM150654v1_genomic.fna","FASTA","DNA",1,1644975,1644975,1644975,1644975,1644975,1644975,1644975,0,1644975,0,0,30.28
"GCF_001507005.1_ASM150700v1_genomic.fna","FASTA","DNA",1,1642694,1642694,1642694,1642694,1642694,1642694,1642694,0,1642694,0,0,30.29
"GCF_003368185.1_ASM336818v1_genomic.fna","FASTA","DNA",1,1747565,1747565,1747565,1747565,1747565,1747565,1747565,0,1747565,0,0,30.18
"GCF_000148705.1_ASM14870v1_genomic.fna","FASTA","DNA",1,1616648,1616648,1616648,1616648,1616648,1616648,1616648,0,1616648,0,0,30.6
"GCF_008727435.1_ASM872743v1_genomic.fna","FASTA","DNA",1,1714574,1714574,1714574,1714574,1714574,1714574,1714574,0,1714574,0,0,30.36
"GCF_012224905.1_ASM1222490v1_genomic.fna","FASTA","DNA",1,1652365,1652365,1652365,1652365,1652365,1652365,1652365,0,1652365,0,0,30.61
"GCF_002209045.1_ASM220904v1_genomic.fna","FASTA","DNA",2,1696130,46746,848065,1649384,46746,848065,1649384,0,1649384,0,0,30.48
"GCF_001507085.1_ASM150708v1_genomic.fna","FASTA","DNA",1,1624545,1624545,1624545,1624545,1624545,1624545,1624545,0,1624545,0,0,30.41
"GCF_001506965.1_ASM150696v1_genomic.fna","FASTA","DNA",1,1635237,1635237,1635237,1635237,1635237,1635237,1635237,0,1635237,0,0,30.37
"GCF_001506745.1_ASM150674v1_genomic.fna","FASTA","DNA",1,1635627,1635627,1635627,1635627,1635627,1635627,1635627,0,1635627,0,0,30.37
"GCF_001506305.1_ASM150630v1_genomic.fna","FASTA","DNA",1,1667602,1667602,1667602,1667602,1667602,1667602,1667602,0,1667602,0,0,30.3
"GCF_016458845.1_ASM1645884v1_genomic.fna","FASTA","DNA",2,1694669,28218,847334.5,1666451,28218,847334.5,1666451,0,1666451,0,0,30.53
"GCF_001686905.1_ASM168690v1_genomic.fna","FASTA","DNA",1,1675112,1675112,1675112,1675112,1675112,1675112,1675112,0,1675112,0,0,30.52
"GCF_001506445.1_ASM150644v1_genomic.fna","FASTA","DNA",1,1632718,1632718,1632718,1632718,1632718,1632718,1632718,0,1632718,0,0,30.38
"GCF_001507205.1_ASM150720v1_genomic.fna","FASTA","DNA",1,1637207,1637207,1637207,1637207,1637207,1637207,1637207,0,1637207,0,0,30.37
"GCF_002209065.1_ASM220906v1_genomic.fna","FASTA","DNA",1,1620455,1620455,1620455,1620455,1620455,1620455,1620455,0,1620455,0,0,30.55
"GCF_020719015.1_ASM2071901v1_genomic.fna","FASTA","DNA",1,1701560,1701560,1701560,1701560,1701560,1701560,1701560,0,1701560,0,0,30.34
"GCF_014152305.1_ASM1415230v1_genomic.fna","FASTA","DNA",1,1629059,1629059,1629059,1629059,1629059,1629059,1629059,0,1629059,0,0,30.49
"GCF_001506345.1_ASM150634v1_genomic.fna","FASTA","DNA",1,1665175,1665175,1665175,1665175,1665175,1665175,1665175,0,1665175,0,0,30.31
