#This file contains six matrices: shared distinct genes (1), unshared distinct genes (2), shared informative distinct genes (3), unshared informative distinct genes (4), total shared genes (5) and total unshared genes (6).

#shared distinct genes
Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,
1,5662,2945,3470,4279,2985,3739,2991,2940,2944,2935,5654,2912,4357,4282,2950,2926,2977,4623,5654,3457,4336,3732,2975,3052,2949,4255,4286,4258,2990,3030,2955,4205,2945,2931,5649,4291,2923,2969,3723,4280,4259,3025,2980,2944,2964,2971,2976,3692,2936,3685,4492,2986,2988,4616,2974,2922,3035,3640,4280,4620,4281,2928,2926,3473,3035,2941,3032,4888,2974,3694,2921,2916,3030,2912,2932,3637,2980,2982,2973,2941,4313,2974,3630,
2,2945,5234,2879,2929,4265,3018,4507,4449,4775,4251,2944,4334,2944,2929,4250,4284,4521,2951,2944,2882,2925,2895,4194,4344,4250,2876,2922,2896,4530,4487,4629,2922,4525,4704,2946,2922,4105,4456,2993,2900,2876,4493,4247,4980,4480,4236,4445,2901,4337,2918,2940,4263,4263,2949,4532,4370,4462,2986,2900,2951,2901,4097,4139,2878,4458,4344,4459,2938,4620,2904,4759,4336,4487,4331,4747,2987,4456,4267,4626,4931,2925,4532,3005,
3,3470,2879,5379,3527,2922,3621,2887,2859,2880,2871,3470,2915,3455,3528,2875,2884,2898,3480,3470,4208,3488,3751,2874,2885,2879,3528,3544,3426,2893,2963,2886,3510,2884,2868,3471,3547,2840,2875,3604,3512,3531,2916,2927,2879,2880,2877,2886,3829,2892,3820,3514,2919,2920,3479,2892,2864,2947,3607,3512,3480,3513,2856,2861,4383,2945,2903,2954,3546,2999,3829,2862,2853,2964,2918,2881,3608,2893,2915,2906,2875,3502,2894,3604,
4,4279,2929,3527,6082,2999,3731,2971,2921,2926,2923,4279,2971,4156,6049,2926,2917,2971,4278,4278,3473,4395,3671,2994,2982,2944,4699,4167,4880,2942,2994,2940,4105,2924,2922,4279,4166,2913,2964,3643,4825,4703,3029,2962,2932,2942,2932,2932,3680,2899,3653,4346,3000,3001,4275,2932,2916,3011,3613,4826,4278,4824,2943,2931,3491,3008,2901,3008,4307,2971,3677,2916,2910,2995,2968,2925,3609,2941,2953,2936,2925,4281,2932,3600,
5,2985,4265,2922,2999,5911,3024,4280,4174,4246,4514,2984,4245,2944,2998,4548,4528,4439,2972,2983,2881,2942,2933,4187,4207,4592,2939,2960,2931,4243,4229,4212,2983,4266,4213,2985,2961,4190,4200,3042,2952,2940,4370,4947,4246,4205,4520,4180,2940,4141,2946,3013,5889,5890,2970,4302,4154,4229,3030,2952,2971,2952,4169,4215,2901,4225,4162,4226,2990,4238,2942,4216,4153,4232,4243,4231,3030,4191,4564,4244,4252,2979,4305,3029,
6,3739,3018,3621,3731,3024,5279,3027,2995,3003,3018,3738,2971,3648,3735,3016,2996,3021,3786,3738,3520,3726,3791,2986,3029,3025,3661,3730,3688,3028,3039,3031,3781,2986,3000,3739,3731,2952,2994,4502,3696,3662,3053,3023,3014,3018,3023,3011,3816,2982,3817,3756,3023,3024,3782,3017,2982,3002,4220,3696,3782,3696,2982,2981,3561,2994,2980,2996,3744,3018,3811,2983,2971,3037,2971,3008,4215,3020,3031,3046,3008,3756,3018,4240,
7,2991,4507,2887,2971,4280,3027,5624,4604,4467,4190,2990,4245,3006,2971,4255,4294,4590,2994,2990,2907,2993,2946,4191,4378,4269,2916,2975,2943,4642,4877,4466,2967,4571,4441,2992,2977,4082,4754,3039,2944,2916,4643,4289,4490,4645,4244,4814,2977,4273,2965,3002,4280,4280,2992,4630,4285,4760,2977,2944,2993,2945,4072,4124,2872,4757,4269,4757,2987,4474,2981,4431,4282,4883,4246,4463,2976,4825,4269,4539,4497,2989,4632,3000,
8,2940,4449,2859,2921,4174,2995,4604,5462,4412,4158,2939,4186,2959,2921,4219,4227,4548,2942,2939,2852,2911,2900,4116,4323,4208,2891,2917,2901,4685,4664,4415,2923,4510,4402,2941,2919,4058,4594,3014,2898,2891,4548,4209,4445,5316,4217,4647,2930,4215,2934,2953,4176,4177,2940,4542,4208,4607,2945,2897,2941,2898,4011,4054,2837,4599,4210,4598,2932,4437,2931,4376,4191,4669,4181,4403,2946,4657,4191,4479,4454,2938,4547,2982,
9,2944,4775,2880,2926,4246,3003,4467,4412,5278,4211,2943,4317,2927,2926,4230,4252,4489,2945,2943,2885,2914,2902,4183,4315,4231,2880,2936,2900,4481,4440,4637,2922,4508,4835,2945,2939,4085,4432,2986,2914,2880,4474,4244,4861,4442,4197,4449,2910,4327,2922,2937,4246,4246,2944,4508,4351,4438,2979,2914,2945,2915,4107,4121,2886,4433,4328,4436,2929,4648,2914,4819,4334,4448,4314,4871,2980,4422,4243,4612,4838,2918,4509,2995,
10,2935,4251,2871,2923,4514,3018,4190,4158,4211,5728,2934,4115,2908,2923,4536,4477,4228,2940,2934,2848,2920,2891,4014,4069,4544,2895,2901,2897,4231,4196,4177,2913,4221,4179,2936,2903,4110,4148,2998,2898,2895,4194,4506,4227,4191,4560,4184,2883,4111,2903,2955,4509,4509,2939,4238,4109,4152,2998,2899,2940,2900,4122,4128,2866,4150,4096,4149,2931,4182,2887,4197,4111,4197,4115,4200,2997,4177,4703,4197,4226,2928,4241,3009,
