"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_002952515.1_ASM295251v1_genomic.fna","FASTA","DNA",1,1674018,1674018,1674018,1674018,1674018,1674018,1674018,0,1674018,0,0,38.79
"GCF_900120335.1_HE147_09_genomic.fna","FASTA","DNA",1,1667712,1667712,1667712,1667712,1667712,1667712,1667712,0,1667712,0,0,39.11
"GCF_006338285.1_ASM633828v1_genomic.fna","FASTA","DNA",1,1599658,1599658,1599658,1599658,1599658,1599658,1599658,0,1599658,0,0,39.11
"GCF_000148875.1_ASM14887v1_genomic.fna","FASTA","DNA",2,1638269,8712,819134.5,1629557,8712,819134.5,1629557,0,1629557,0,0,38.91
"GCF_000277405.1_ASM27740v1_genomic.fna","FASTA","DNA",1,1663456,1663456,1663456,1663456,1663456,1663456,1663456,0,1663456,0,0,38.77
"GCF_019670505.1_ASM1967050v1_genomic.fna","FASTA","DNA",1,1591853,1591853,1591853,1591853,1591853,1591853,1591853,0,1591853,0,0,38.79
"GCF_011462375.1_ASM1146237v1_genomic.fna","FASTA","DNA",1,1563280,1563280,1563280,1563280,1563280,1563280,1563280,0,1563280,0,0,38.95
"GCF_000185225.1_ASM18522v1_genomic.fna","FASTA","DNA",2,1640673,16029,820336.5,1624644,16029,820336.5,1624644,0,1624644,0,0,38.87
"GCF_900120185.1_HE134_09_genomic.fna","FASTA","DNA",1,1667858,1667858,1667858,1667858,1667858,1667858,1667858,0,1667858,0,0,39.1
"GCF_004295525.1_HPATCC43504_01_genomic.fna","FASTA","DNA",1,1680829,1680829,1680829,1680829,1680829,1680829,1680829,0,1680829,0,0,38.83
"GCF_016748265.1_ASM1674826v1_genomic.fna","FASTA","DNA",1,1615144,1615144,1615144,1615144,1615144,1615144,1615144,0,1615144,0,0,38.98
"GCF_000315955.1_ASM31595v1_genomic.fna","FASTA","DNA",3,1636125,2891,545375,1614447,10839,18787,816617,0,1614447,0,0,38.73
"GCF_900119955.1_HE171_09_genomic.fna","FASTA","DNA",1,1667625,1667625,1667625,1667625,1667625,1667625,1667625,0,1667625,0,0,39.11
"GCF_002983705.1_ASM298370v1_genomic.fna","FASTA","DNA",1,1645738,1645738,1645738,1645738,1645738,1645738,1645738,0,1645738,0,0,39.18
"GCF_011462575.1_ASM1146257v1_genomic.fna","FASTA","DNA",1,1562072,1562072,1562072,1562072,1562072,1562072,1562072,0,1562072,0,0,38.95
"GCF_017821655.1_ASM1782165v1_genomic.fna","FASTA","DNA",1,1660636,1660636,1660636,1660636,1660636,1660636,1660636,0,1660636,0,0,39.1
"GCF_000185245.1_ASM18524v1_genomic.fna","FASTA","DNA",2,1679829,25916,839914.5,1653913,25916,839914.5,1653913,0,1653913,0,0,38.42
"GCF_007843535.1_ASM784353v1_genomic.fna","FASTA","DNA",1,1631093,1631093,1631093,1631093,1631093,1631093,1631093,0,1631093,0,0,38.9
"GCF_900176185.1_HE93_10_genomic.fna","FASTA","DNA",1,1682800,1682800,1682800,1682800,1682800,1682800,1682800,0,1682800,0,0,39.09
"GCF_000307795.1_ASM30779v1_genomic.fna","FASTA","DNA",1,1667892,1667892,1667892,1667892,1667892,1667892,1667892,0,1667892,0,0,38.87
"GCF_019973875.1_ASM1997387v1_genomic.fna","FASTA","DNA",1,1608283,1608283,1608283,1608283,1608283,1608283,1608283,0,1608283,0,0,38.73
"GCF_002951975.1_ASM295197v1_genomic.fna","FASTA","DNA",1,1674002,1674002,1674002,1674002,1674002,1674002,1674002,0,1674002,0,0,38.79
"GCF_001653435.1_ASM165343v1_genomic.fna","FASTA","DNA",1,1510564,1510564,1510564,1510564,1510564,1510564,1510564,0,1510564,0,0,38.95
"GCF_016757595.1_ASM1675759v1_genomic.fna","FASTA","DNA",1,1675471,1675471,1675471,1675471,1675471,1675471,1675471,0,1675471,0,0,38.76
"GCF_017821615.1_ASM1782161v1_genomic.fna","FASTA","DNA",1,1622324,1622324,1622324,1622324,1622324,1622324,1622324,0,1622324,0,0,39.21
"GCF_000148895.1_ASM14889v1_genomic.fna","FASTA","DNA",1,1635449,1635449,1635449,1635449,1635449,1635449,1635449,0,1635449,0,0,38.86
"GCF_900638475.1_57685_G01_genomic.fna","FASTA","DNA",1,1644315,1644315,1644315,1644315,1644315,1644315,1644315,0,1644315,0,0,38.98
"GCF_000270065.1_ASM27006v1_genomic.fna","FASTA","DNA",1,1609006,1609006,1609006,1609006,1609006,1609006,1609006,0,1609006,0,0,38.73
"GCF_000829095.1_ASM82909v1_genomic.fna","FASTA","DNA",1,1667638,1667638,1667638,1667638,1667638,1667638,1667638,0,1667638,0,0,38.87
"GCF_004088075.1_ASM408807v1_genomic.fna","FASTA","DNA",1,1514674,1514674,1514674,1514674,1514674,1514674,1514674,0,1514674,0,0,38.96
"GCF_011463055.1_ASM1146305v1_genomic.fna","FASTA","DNA",1,1563260,1563260,1563260,1563260,1563260,1563260,1563260,0,1563260,0,0,38.95
"GCF_019974055.1_ASM1997405v1_genomic.fna","FASTA","DNA",1,1668167,1668167,1668167,1668167,1668167,1668167,1668167,0,1668167,0,0,38.78
"GCF_000277365.1_ASM27736v1_genomic.fna","FASTA","DNA",1,1665719,1665719,1665719,1665719,1665719,1665719,1665719,0,1665719,0,0,38.77
"GCF_000600045.1_ASM60004v1_genomic.fna","FASTA","DNA",1,1633212,1633212,1633212,1633212,1633212,1633212,1633212,0,1633212,0,0,38.81
"GCF_000270005.1_ASM27000v1_genomic.fna","FASTA","DNA",1,1575399,1575399,1575399,1575399,1575399,1575399,1575399,0,1575399,0,0,38.88
"GCF_006338815.1_ASM633881v1_genomic.fna","FASTA","DNA",1,1601381,1601381,1601381,1601381,1601381,1601381,1601381,0,1601381,0,0,39
"GCF_016749815.1_ASM1674981v1_genomic.fna","FASTA","DNA",1,1628378,1628378,1628378,1628378,1628378,1628378,1628378,0,1628378,0,0,38.83
"GCF_016757535.1_ASM1675753v1_genomic.fna","FASTA","DNA",1,1615900,1615900,1615900,1615900,1615900,1615900,1615900,0,1615900,0,0,38.95
"GCF_000685745.1_ASM68574v1_genomic.fna","FASTA","DNA",1,1604212,1604212,1604212,1604212,1604212,1604212,1604212,0,1604212,0,0,38.96
"GCF_016748925.1_ASM1674892v1_genomic.fna","FASTA","DNA",1,1651043,1651043,1651043,1651043,1651043,1651043,1651043,0,1651043,0,0,38.77
"GCF_000021165.1_ASM2116v1_genomic.fna","FASTA","DNA",2,1663013,10031,831506.5,1652982,10031,831506.5,1652982,0,1652982,0,0,38.87
"GCF_017821275.1_ASM1782127v1_genomic.fna","FASTA","DNA",1,1667928,1667928,1667928,1667928,1667928,1667928,1667928,0,1667928,0,0,39.09
"GCF_007844055.1_ASM784405v1_genomic.fna","FASTA","DNA",1,1646042,1646042,1646042,1646042,1646042,1646042,1646042,0,1646042,0,0,38.87
"GCF_017821235.1_ASM1782123v1_genomic.fna","FASTA","DNA",2,1633985,5909,816992.5,1628076,5909,816992.5,1628076,0,1628076,0,0,39.02
"GCF_006337365.1_ASM633736v1_genomic.fna","FASTA","DNA",1,1540135,1540135,1540135,1540135,1540135,1540135,1540135,0,1540135,0,0,39.15
"GCF_000600165.1_ASM60016v1_genomic.fna","FASTA","DNA",1,1634852,1634852,1634852,1634852,1634852,1634852,1634852,0,1634852,0,0,38.83
"GCF_000685705.1_ASM68570v1_genomic.fna","FASTA","DNA",1,1659060,1659060,1659060,1659060,1659060,1659060,1659060,0,1659060,0,0,38.88
"GCF_020906585.1_ASM2090658v1_genomic.fna","FASTA","DNA",1,1637585,1637585,1637585,1637585,1637585,1637585,1637585,0,1637585,0,0,38.72
"GCF_006338545.1_ASM633854v1_genomic.fna","FASTA","DNA",1,1619300,1619300,1619300,1619300,1619300,1619300,1619300,0,1619300,0,0,39.07
"GCF_013122115.1_ASM1312211v1_genomic.fna","FASTA","DNA",2,1674805,11054,837402.5,1663751,11054,837402.5,1663751,0,1663751,0,0,38.64
"GCF_000600145.1_ASM60014v1_genomic.fna","FASTA","DNA",1,1599700,1599700,1599700,1599700,1599700,1599700,1599700,0,1599700,0,0,38.8
"GCF_002906495.1_ASM290649v1_genomic.fna","FASTA","DNA",1,1670779,1670779,1670779,1670779,1670779,1670779,1670779,0,1670779,0,0,38.89
"GCF_019973855.1_ASM1997385v1_genomic.fna","FASTA","DNA",1,1585790,1585790,1585790,1585790,1585790,1585790,1585790,0,1585790,0,0,38.84
"GCF_000600125.1_ASM60012v1_genomic.fna","FASTA","DNA",1,1553826,1553826,1553826,1553826,1553826,1553826,1553826,0,1553826,0,0,38.97
"GCF_013122035.1_ASM1312203v1_genomic.fna","FASTA","DNA",2,1673425,11054,836712.5,1662371,11054,836712.5,1662371,0,1662371,0,0,38.64
"GCF_000196755.1_ASM19675v1_genomic.fna","FASTA","DNA",2,1680029,6032,840014.5,1673997,6032,840014.5,1673997,0,1673997,0,0,38.78
"GCF_000307835.1_ASM30783v1_genomic.fna","FASTA","DNA",1,1667890,1667890,1667890,1667890,1667890,1667890,1667890,0,1667890,0,0,38.87
"GCF_002222575.1_ASM222257v1_genomic.fna","FASTA","DNA",2,1584869,8736,792434.5,1576133,8736,792434.5,1576133,0,1576133,0,0,38.84
"GCF_019973995.1_ASM1997399v1_genomic.fna","FASTA","DNA",1,1630060,1630060,1630060,1630060,1630060,1630060,1630060,0,1630060,0,0,38.69
"GCF_000008785.1_ASM878v1_genomic.fna","FASTA","DNA",1,1643831,1643831,1643831,1643831,1643831,1643831,1643831,0,1643831,0,0,39.19
