Gene_name GCF_000007925.1_ASM792v1_genomic.gff GCF_000011465.1_ASM1146v1_genomic.gff GCF_000012465.1_ASM1246v1_genomic.gff GCF_000012645.1_ASM1264v1_genomic.gff GCF_000015645.1_ASM1564v1_genomic.gff GCF_000015665.1_ASM1566v1_genomic.gff GCF_000015685.1_ASM1568v1_genomic.gff GCF_000015965.1_ASM1596v1_genomic.gff GCF_000018065.1_ASM1806v1_genomic.gff
dnaN 1 1 1 1 1 1 1 1 1
purL 1 1 1 1 1 1 1 1 1
purF 1 1 1 1 1 1 1 1 1
gyrA_1 1 1 1 1 1 1 1 1 1
bepA 1 1 0 0 1 0 1 0 0
queG 1 1 1 1 1 1 1 1 1
nusB 1 1 1 1 1 1 1 1 1
ftsY 1 1 1 1 1 1 1 1 1
argH 1 1 1 1 1 1 1 1 1
dusA 1 1 1 1 1 1 1 1 1
msrB 1 1 1 1 1 1 1 1 1
grpE 1 1 1 1 1 1 1 1 1
dnaJ_1 1 1 1 1 1 1 1 1 1
rsgA 1 1 1 1 1 1 1 1 1
murB 1 1 1 1 1 1 1 1 1
murC 1 1 1 1 1 1 1 1 1
gap2 1 1 1 1 1 1 1 1 1
thiL 1 1 1 1 1 1 1 0 1
efp 1 1 1 1 1 1 1 1 1
accB 1 1 1 1 1 1 1 1 1
pdxA2 1 1 1 1 1 1 1 1 1
cbiD 1 1 1 1 1 1 1 1 1
guaA 1 1 1 1 1 1 1 1 1
mrdA 1 1 1 1 1 1 1 1 1
dfa3_1 1 0 1 0 0 0 1 0 0
dfa1 1 1 1 0 1 1 1 0 1
rapA 1 0 0 0 0 0 0 0 0
alaS 1 1 1 1 1 1 1 1 1
speA_1 1 1 1 1 1 1 1 1 1
ndk 1 1 1 1 1 1 1 1 1
dadA 1 0 1 0 0 0 1 0 0
gatB 1 1 1 1 1 1 1 1 1
coaE 1 1 1 1 1 1 1 1 1
argJ 1 1 1 1 1 1 1 1 1
pglK_1 1 0 0 0 1 0 0 0 1
asnB 1 0 0 1 0 0 0 0 0
arnT_1 1 1 1 1 1 1 1 1 0
arnC_1 1 0 0 0 0 1 0 0 0
gmd 1 1 0 1 1 0 0 1 1
fcl_1 1 0 0 0 1 1 0 0 0
ssrA 1 1 1 1 1 1 1 1 1
rlmL 1 1 1 1 1 1 1 1 1
smc 1 1 1 1 1 1 1 1 1
lpxB_1 1 1 1 1 1 1 1 1 0
accC 1 1 1 1 1 1 1 1 1
psbX 1 1 1 1 1 1 1 1 1
def 1 1 1 1 1 1 1 1 1
csd 1 1 0 1 1 1 0 1 1
sufD 1 0 1 0 0 0 1 0 0
sufC 1 1 1 1 1 1 1 1 1
sufB 1 1 1 1 1 1 1 1 1
pgm 1 1 1 1 1 1 1 1 1
rarA 1 0 0 0 1 0 0 1 0
bcp 1 1 0 1 0 1 0 0 0
coaX 1 1 1 1 1 1 1 1 1
cysH 1 1 1 1 1 1 1 1 1
ndbB 1 1 1 1 1 1 1 1 1
ktrB 1 1 1 1 1 1 1 1 1
ktrA 1 1 1 1 1 1 1 1 1
anmK 1 0 1 0 0 0 1 0 0
yheS 1 1 1 1 1 1 1 1 1
hhoA_1 1 1 1 1 1 1 1 1 1
xseA 1 0 1 0 0 0 1 0 0
xseB 1 0 1 0 0 0 1 0 0
cysQ_1 1 1 0 1 1 1 1 0 0
nadB 1 1 1 1 1 1 1 1 1
rimO 1 1 0 1 1 1 0 1 1
aroK 1 1 1 1 1 1 1 1 1
rbfA 1 1 1 1 1 1 1 1 1
nagZ 1 0 1 0 0 0 1 0 0
pds_1 1 1 1 1 1 1 1 1 1
ndhO 1 1 1 1 1 1 1 1 1
dnaJ_2 1 1 1 1 1 1 1 1 1
cysK1 1 1 1 1 1 1 1 1 1
ecfA3 1 0 1 0 0 0 1 0 0
phoP_1 1 0 0 0 0 0 0 0 0
tmk 1 1 1 1 1 1 1 1 1
copA 1 0 1 1 1 0 1 1 1
ycf3 1 1 0 1 1 1 1 1 1
radA 1 1 1 1 1 1 1 1 1
czcR 1 0 0 0 0 0 0 0 0
plsX 1 1 1 1 1 1 1 1 1
fabH 1 1 1 1 1 1 1 1 1
fabD 1 1 1 1 1 1 1 1 1
crtB 1 1 1 1 1 1 1 1 1
pds_2 1 1 1 1 1 1 1 1 1
ndhM 1 1 1 1 1 1 1 1 1
cmpR 1 1 1 1 1 1 1 1 1
nuoL 1 1 1 1 1 1 1 1 1
ndhD1_1 1 1 1 1 1 1 1 1 1
cugP_1 1 1 0 0 1 0 0 1 1
yitJ 1 1 1 1 1 1 1 1 1
nadK_1 1 1 1 1 1 1 1 1 1
nuoK 1 1 1 1 1 1 1 1 1
ndhI_1 1 0 0 0 0 0 0 0 0
ndhA 1 1 1 1 1 1 1 1 1
gltA 1 1 1 1 1 1 1 1 1
glpE 1 0 1 0 0 0 1 0 0
trpB 1 1 1 1 1 1 1 1 1
yciH 1 0 0 0 0 0 0 0 0
cysC 1 1 1 1 1 1 1 1 1
purE 1 1 1 1 1 1 1 1 1
chlM 1 1 1 1 1 1 1 1 1
