Gene_name GCF_000013365.1_ASM1336v1_genomic.gff GCF_000020445.1_ASM2044v1_genomic.gff GCF_000195775.1_ASM19577v1_genomic.gff GCF_003031245.1_ASM303124v1_genomic.gff GCF_003031265.1_ASM303126v1_genomic.gff GCF_007005445.1_ASM700544v1_genomic.gff GCF_013415845.1_ASM1341584v1_genomic.gff GCF_016584445.1_ASM1658444v1_genomic.gff
dnaA 1 0 1 1 1 1 1 1
dnaN 1 1 1 1 0 1 1 1
recF 1 1 1 1 1 1 1 1
gyrB 1 1 1 0 0 1 1 1
decR_1 1 1 1 1 1 1 1 1
copA 1 0 1 1 1 1 1 1
fixP 1 1 1 1 1 1 1 1
fixN 1 1 1 1 1 1 1 1
panE_1 1 1 1 1 0 0 1 1
nsaD_1 1 1 1 1 1 1 1 1
hcaB_1 1 1 1 1 1 1 1 1
nit1 1 1 1 1 1 1 1 1
grxC 1 1 1 1 1 1 1 1
nudG 1 1 1 1 1 1 1 1
argJ 1 1 1 1 1 1 1 1
glnD 1 1 1 1 1 1 1 1
rcsC_1 1 1 1 1 1 1 1 1
mtgA_1 1 1 1 1 1 1 1 1
rpmI 1 1 1 1 1 1 1 1
rplT 1 1 1 1 1 1 1 1
pheS 1 1 1 1 1 1 1 1
pheT 1 1 1 1 1 1 1 1
mepA 1 1 1 0 1 0 0 1
nhaP 1 1 0 0 0 0 0 0
map 1 1 1 1 1 1 1 1
regA_1 1 0 0 0 0 0 0 0
regB_1 1 0 0 0 0 0 0 0
rbbA_1 1 1 1 1 1 1 1 1
infC 1 1 1 1 1 1 1 1
gloB_1 1 1 1 1 1 1 1 1
prmC_1 1 0 0 1 0 0 0 0
prfA 1 1 1 1 1 1 1 1
ptsP 1 1 1 1 1 1 1 1
lysC 1 1 1 1 1 1 1 1
ubiG 1 1 1 1 1 1 1 1
ggt 1 1 0 1 0 1 1 0
purH 1 1 1 1 1 1 1 1
fzlC 1 1 1 1 1 1 1 1
rsmB_1 1 1 1 1 1 1 1 1
argG 1 1 1 1 1 1 1 1
rlmN 1 1 1 1 1 1 1 1
adhT_1 1 1 1 1 1 1 1 1
phhB 1 1 1 1 1 1 1 1
fhuA_1 1 1 1 1 1 1 1 1
typA 1 1 1 1 1 1 1 1
ppa 1 1 1 1 1 1 1 1
dapE_1 1 1 1 1 1 1 1 1
folD 1 1 1 1 1 1 1 1
menB 1 1 0 0 0 1 1 0
ptlI 1 0 0 0 0 0 0 0
entS_1 1 1 1 1 1 1 1 1
flgC_1 1 1 1 1 1 1 1 1
nicS_1 1 0 0 0 0 0 0 0
amiC_1 1 1 1 1 1 1 1 1
tsaM1_1 1 0 0 0 0 0 0 0
btuD_1 1 1 1 1 1 1 1 1
oppD_1 1 1 1 1 1 1 1 1
ddpC_1 1 1 1 1 1 1 1 1
dppB_1 1 1 1 1 1 1 1 1
appA_1 1 0 0 1 1 1 0 0
nfdA_1 1 1 1 1 1 1 1 1
tauR_1 1 0 0 0 0 0 0 0
betB 1 1 1 1 1 1 1 1
puuB_1 1 1 1 1 1 0 1 1
cynR 1 0 0 0 1 0 1 0
braC_1 1 1 1 1 1 1 1 1
livH_1 1 1 1 1 1 1 1 1
lptB_1 1 1 1 1 1 1 1 1
livF_1 1 1 1 1 1 1 1 1
cnbZ 1 0 0 0 0 0 0 0
nadX_1 1 0 0 0 0 0 0 0
ndhB_1 1 1 1 1 1 1 1 1
mnhC1 1 1 1 1 1 0 1 1
mrpD 1 1 1 1 1 0 1 1
mnhE1 1 0 0 1 1 0 0 0
mrpF 1 1 1 1 1 0 1 1
ctaC_1 1 0 0 1 1 1 0 0
hutX 1 1 1 1 1 1 1 1
isdG 1 1 1 1 1 1 1 1
hxuC 1 0 0 1 0 1 1 0
chuW 1 1 1 1 1 1 1 1
btuF 1 1 1 1 1 1 1 1
btuC 1 0 0 0 0 0 0 0
hmuV 1 1 1 1 1 1 1 1
yhhJ 1 1 0 1 1 1 1 0
rbbA_2 1 1 1 1 1 1 1 1
cpdA_1 1 1 1 1 1 1 1 1
cpdA_2 1 1 1 1 1 1 1 1
ugpB_1 1 1 1 1 1 1 1 1
araQ 1 1 1 1 1 1 1 1
lacF_1 1 0 0 0 0 1 0 0
ugpC_1 1 1 1 1 1 1 1 1
cysL_1 1 0 0 0 0 1 0 0
deaD 1 1 1 1 1 1 1 1
rhaR_1 1 1 1 1 1 1 1 1
todT_1 1 1 1 1 1 1 1 1
tmoT_1 1 1 1 1 1 0 1 1
sasA_1 1 1 1 1 1 1 1 1
cpo_1 1 1 1 0 1 0 0 1
nfdA_2 1 1 1 1 1 1 1 1
ycaC 1 1 1 1 1 1 1 1
entS_2 1 1 1 1 1 1 1 1
rhaR_2 1 1 1 1 1 1 1 1
cpo_2 1 1 1 0 1 0 0 1
dps_1 1 1 0 0 0 0 0 0
rpoH_1 1 1 0 1 1 0 0 0
oxdC 1 0 0 1 1 0 0 0
crcB_1 1 1 0 1 1 1 0 0
crcB_2 1 1 0 1 1 1 0 0
poxB 1 1 0 1 1 0 0 0
ydeP_1 1 1 0 1 1 0 0 0
appC 1 1 0 1 1 0 0 0
cydB_1 1 1 1 1 1 1 0 1
emrA_1 1 1 1 1 1 0 1 1
emrB_1 1 1 1 1 1 1 1 1
rhaR_3 1 1 1 1 1 1 1 1
tmoT_2 1 1 1 1 1 0 1 1
todT_2 1 1 1 1 1 1 1 1
sasA_2 1 1 1 1 1 1 1 1
sasA_3 1 1 1 1 1 1 1 1
guaC 1 1 1 1 1 1 1 1
panE_2 1 1 1 1 0 0 1 1
oppD_2 1 1 1 1 1 1 1 1
gatA_1 1 1 1 1 1 1 1 1
btuD_2 1 1 1 1 1 1 1 1
gsiD_1 1 1 1 1 1 1 1 1
nikB 1 1 1 1 1 1 1 1
hbpA_1 1 0 0 0 0 0 0 0
hbpA_2 1 0 0 0 0 0 0 0
accA_1 1 1 1 1 1 1 1 1
fadD_1 1 1 1 1 1 1 1 1
gsiD_2 1 1 1 1 1 1 1 1
gsiC_1 1 1 1 1 1 1 1 1
gsiB_1 1 1 1 1 1 0 1 1
oppF 1 0 0 0 0 0 0 0
oppD_3 1 1 1 1 1 1 1 1
regA_2 1 0 0 0 0 0 0 0
regB_2 1 0 0 0 0 0 0 0
cyoD 1 0 0 0 0 0 0 0
cyoC 1 0 0 1 1 0 0 0
cyoB 1 0 0 1 1 0 0 0
yhjE_1 1 0 0 0 0 0 0 0
rplU 1 1 1 1 1 1 1 1
rpmA 1 1 1 1 1 1 1 1
cntI 1 1 1 1 1 0 1 1
cgtA 1 1 1 1 1 1 1 1
proB 1 1 1 1 1 1 1 1
proA_1 1 1 1 1 1 1 1 1
nadD 1 1 1 1 1 1 1 1
rsfS 1 1 1 1 1 1 1 1
rlmH 1 1 1 1 1 1 1 1
envC 1 1 0 0 0 1 1 0
ctpA 1 0 0 0 0 0 0 0
rppH_1 1 1 1 1 1 1 1 1
rppH_2 1 1 1 1 1 1 1 1
atpC 1 0 1 1 1 1 1 1
atpD 1 0 1 1 1 1 1 1
atpG_1 1 1 1 1 1 1 1 1
atpA 1 0 1 1 1 1 1 1
atpH 1 0 1 1 1 1 1 1
rlpA_1 1 1 1 1 1 1 1 1
priA 1 1 1 1 1 1 1 1
xerC_1 1 1 1 0 0 1 1 1
lpd3 1 1 1 1 1 1 1 1
ygfF 1 1 1 1 1 1 1 1
sucB 1 1 1 1 1 1 1 1
sucA 1 1 1 1 1 1 1 1
sucD 1 1 1 1 1 1 1 1
sucC 1 1 1 1 1 1 1 1
mdh_1 1 0 0 0 0 0 0 0
zapE 1 1 1 1 1 1 1 1
ytlP 1 0 0 0 0 0 0 0
tesA 1 1 1 1 1 1 1 1
ybhL 1 0 1 1 1 1 1 1
pitA 1 0 1 0 1 0 0 1
acnA 1 1 1 1 1 1 1 1
ccmA 1 1 1 1 1 1 1 1
ccmB 1 1 1 1 1 1 1 1
lon2 1 1 1 1 1 1 1 1
cnoX 1 1 1 1 1 1 1 1
rlp2 1 1 1 1 1 1 1 1
rhdA 1 0 0 0 1 1 0 0
btuD_3 1 1 1 1 1 1 1 1
patA 1 0 0 0 0 0 0 0
tsaD 1 1 1 1 1 1 1 1
gpsA 1 1 1 1 1 1 1 1
acsA_1 1 1 1 1 1 1 1 1
pal_1 1 1 1 1 1 1 1 1
sdhB 1 1 1 1 1 1 1 1
sdhA 1 1 1 1 1 1 1 1
