Gene_name GCF_000007825.1_ASM782v1_genomic.gff GCF_000008005.1_ASM800v1_genomic.gff GCF_000011625.1_ASM1162v1_genomic.gff GCF_000013065.1_ASM1306v1_genomic.gff GCF_000021205.1_ASM2120v1_genomic.gff GCF_000021225.1_ASM2122v1_genomic.gff GCF_000021305.1_ASM2130v1_genomic.gff GCF_000021785.1_ASM2178v1_genomic.gff GCF_000022505.1_ASM2250v1_genomic.gff GCF_000143605.1_ASM14360v1_genomic.gff GCF_000239195.1_ASM23919v1_genomic.gff GCF_000283675.1_ASM28367v1_genomic.gff GCF_000292415.1_ASM29241v1_genomic.gff GCF_000635895.2_ASM63589v2_genomic.gff GCF_000789315.1_ASM78931v1_genomic.gff GCF_000832385.1_ASM83238v1_genomic.gff GCF_000832405.1_ASM83240v1_genomic.gff GCF_000832525.1_ASM83252v1_genomic.gff GCF_000832765.1_ASM83276v1_genomic.gff GCF_000832805.1_ASM83280v1_genomic.gff GCF_000832845.1_ASM83284v1_genomic.gff GCF_000832865.1_ASM83286v1_genomic.gff GCF_000833045.1_ASM83304v1_genomic.gff GCF_000835185.1_ASM83518v1_genomic.gff GCF_000978375.1_ASM97837v1_genomic.gff GCF_001277915.1_ASM127791v1_genomic.gff GCF_001518875.1_ASM151887v1_genomic.gff GCF_001635915.1_ASM163591v1_genomic.gff GCF_001635955.1_ASM163595v1_genomic.gff GCF_001635995.1_ASM163599v1_genomic.gff GCF_001721145.1_ASM172114v1_genomic.gff GCF_001880305.1_ASM188030v1_genomic.gff GCF_001941885.1_ASM194188v1_genomic.gff GCF_001941905.1_ASM194190v1_genomic.gff GCF_001941925.1_ASM194192v1_genomic.gff GCF_002000005.1_ASM200000v1_genomic.gff GCF_002214705.1_ASM221470v1_genomic.gff GCF_002214725.1_ASM221472v1_genomic.gff GCF_002214765.1_ASM221476v1_genomic.gff GCF_002215175.1_ASM221517v1_genomic.gff GCF_002216125.1_ASM221612v1_genomic.gff GCF_002220285.1_ASM222028v1_genomic.gff GCF_002224345.1_ASM222434v1_genomic.gff GCF_002290105.1_ASM229010v1_genomic.gff GCF_002813875.1_ASM281387v1_genomic.gff GCF_003013315.1_ASM301331v1_genomic.gff GCF_003020845.1_ASM302084v1_genomic.gff GCF_003568565.1_ASM356856v1_genomic.gff GCF_004006495.1_ASM400649v1_genomic.gff GCF_004771155.1_ASM477115v1_genomic.gff GCF_004801195.1_ASM480119v1_genomic.gff GCF_005707595.1_ASM570759v1_genomic.gff GCF_006094295.1_ASM609429v1_genomic.gff GCF_006349715.2_ASM634971v2_genomic.gff GCF_006349735.2_ASM634973v2_genomic.gff GCF_006384875.1_ASM638487v1_genomic.gff GCF_008041975.1_ASM804197v1_genomic.gff GCF_009497015.2_ASM949701v2_genomic.gff GCF_009739925.1_ASM973992v1_genomic.gff GCF_009739965.1_ASM973996v1_genomic.gff GCF_009739985.1_ASM973998v1_genomic.gff GCF_013112375.1_ASM1311237v1_genomic.gff GCF_013177495.2_ASM1317749v2_genomic.gff GCF_013267235.1_ASM1326723v1_genomic.gff GCF_013267255.1_ASM1326725v1_genomic.gff GCF_013267275.1_ASM1326727v1_genomic.gff GCF_013267455.1_ASM1326745v1_genomic.gff GCF_013267475.1_ASM1326747v1_genomic.gff GCF_013267775.1_ASM1326777v1_genomic.gff GCF_013284455.2_ASM1328445v2_genomic.gff GCF_013284505.2_ASM1328450v2_genomic.gff GCF_013394245.1_ASM1339424v1_genomic.gff GCF_016027015.1_ASM1602701v1_genomic.gff GCF_016727405.1_ASM1672740v1_genomic.gff GCF_016774535.1_ASM1677453v1_genomic.gff GCF_016774555.1_ASM1677455v1_genomic.gff GCF_016774575.1_ASM1677457v1_genomic.gff GCF_016917795.1_ASM1691779v1_genomic.gff GCF_018309125.1_ASM1830912v1_genomic.gff GCF_018309145.1_ASM1830914v1_genomic.gff GCF_018309165.1_ASM1830916v1_genomic.gff GCF_018884185.1_ASM1888418v1_genomic.gff GCF_019704155.1_ASM1970415v1_genomic.gff
dnaA 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1
dnaN_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
recF 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 0
gyrB 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
gyrA 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
guaB 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dacA_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
pdxS 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
pdxT 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
serS 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dck_1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
