"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_001457635.1_NCTC7465_genomic.fna","FASTA","DNA",1,2110968,2110968,2110968,2110968,2110968,2110968,2110968,0,2110968,0,0,39.73
"GCF_000299015.1_ASM29901v1_genomic.fna","FASTA","DNA",1,2064154,2064154,2064154,2064154,2064154,2064154,2064154,0,2064154,0,0,39.81
"GCF_000210955.1_ASM21095v1_genomic.fna","FASTA","DNA",1,2036867,2036867,2036867,2036867,2036867,2036867,2036867,0,2036867,0,0,39.81
"GCF_900618545.1_4496_genomic.fna","FASTA","DNA",1,2169270,2169270,2169270,2169270,2169270,2169270,2169270,0,2169270,0,0,39.62
"GCF_019454385.1_ASM1945438v1_genomic.fna","FASTA","DNA",1,2039955,2039955,2039955,2039955,2039955,2039955,2039955,0,2039955,0,0,39.72
"GCF_015839035.1_ASM1583903v1_genomic.fna","FASTA","DNA",1,2180123,2180123,2180123,2180123,2180123,2180123,2180123,0,2180123,0,0,39.5
"GCF_003966485.1_ASM396648v1_genomic.fna","FASTA","DNA",1,2096423,2096423,2096423,2096423,2096423,2096423,2096423,0,2096423,0,0,39.67
"GCF_900636585.1_43058_B01_genomic.fna","FASTA","DNA",1,2115408,2115408,2115408,2115408,2115408,2115408,2115408,0,2115408,0,0,39.66
"GCF_900476505.1_55312_C02_genomic.fna","FASTA","DNA",1,2200529,2200529,2200529,2200529,2200529,2200529,2200529,0,2200529,0,0,39.71
"GCF_011694695.1_ASM1169469v1_genomic.fna","FASTA","DNA",2,2145834,2149,1072917,2143685,2149,1072917,2143685,0,2143685,0,0,39.57
"GCF_900618575.1_180-2_genomic.fna","FASTA","DNA",1,2038006,2038006,2038006,2038006,2038006,2038006,2038006,0,2038006,0,0,39.81
"GCF_000251085.2_ASM25108v2_genomic.fna","FASTA","DNA",1,2150813,2150813,2150813,2150813,2150813,2150813,2150813,0,2150813,0,0,39.74
"GCF_019915285.1_ASM1991528v1_genomic.fna","FASTA","DNA",1,2098200,2098200,2098200,2098200,2098200,2098200,2098200,0,2098200,0,0,39.72
"GCF_002813955.1_ASM281395v1_genomic.fna","FASTA","DNA",1,2079194,2079194,2079194,2079194,2079194,2079194,2079194,0,2079194,0,0,39.81
"GCF_019456615.1_ASM1945661v1_genomic.fna","FASTA","DNA",1,2030186,2030186,2030186,2030186,2030186,2030186,2030186,0,2030186,0,0,39.72
"GCF_003354825.1_ASM335482v1_genomic.fna","FASTA","DNA",1,2057144,2057144,2057144,2057144,2057144,2057144,2057144,0,2057144,0,0,39.83
"GCF_000019985.1_ASM1998v1_genomic.fna","FASTA","DNA",1,2209198,2209198,2209198,2209198,2209198,2209198,2209198,0,2209198,0,0,39.46
"GCF_000146975.1_ASM14697v1_genomic.fna","FASTA","DNA",1,2130580,2130580,2130580,2130580,2130580,2130580,2130580,0,2130580,0,0,39.51
"GCF_015839235.1_ASM1583923v1_genomic.fna","FASTA","DNA",1,2141347,2141347,2141347,2141347,2141347,2141347,2141347,0,2141347,0,0,39.51
"GCF_000026665.1_ASM2666v1_genomic.fna","FASTA","DNA",1,2221315,2221315,2221315,2221315,2221315,2221315,2221315,0,2221315,0,0,39.49
"GCF_900693075.1_19084_8_183-2_genomic.fna","FASTA","DNA",1,2066251,2066251,2066251,2066251,2066251,2066251,2066251,0,2066251,0,0,39.51
"GCF_000180515.1_ASM18051v2_genomic.fna","FASTA","DNA",1,2129934,2129934,2129934,2129934,2129934,2129934,2129934,0,2129934,0,0,39.79
"GCF_000210935.1_ASM21093v1_genomic.fna","FASTA","DNA",1,2093317,2093317,2093317,2093317,2093317,2093317,2093317,0,2093317,0,0,39.62
"GCF_015838875.1_ASM1583887v1_genomic.fna","FASTA","DNA",1,2121469,2121469,2121469,2121469,2121469,2121469,2121469,0,2121469,0,0,39.51
"GCF_001255215.1_S_pneumo_A66_v1_genomic.fna","FASTA","DNA",1,1983415,1983415,1983415,1983415,1983415,1983415,1983415,0,1983415,0,0,39.69
"GCF_001896065.1_ASM189606v1_genomic.fna","FASTA","DNA",1,2071812,2071812,2071812,2071812,2071812,2071812,2071812,0,2071812,0,0,39.85
"GCF_000014365.2_ASM1436v2_genomic.fna","FASTA","DNA",1,2046116,2046116,2046116,2046116,2046116,2046116,2046116,0,2046116,0,0,39.71
"GCF_900475515.1_42731_F01_genomic.fna","FASTA","DNA",1,2039982,2039982,2039982,2039982,2039982,2039982,2039982,0,2039982,0,0,39.72
