#Genomes with additional copies compared to other genomes
#Homology group identifier, number of additional copies compared to the lowest number in a homology group (at least 1).

#Genome 1
Core
 1099524, 6
 1099687, 1
 1100353, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101499, 1
 1101881, 1
 1102110, 1
 1102296, 1
 1102765, 1
 1105093, 62

Accessory
 1099527, 1
 1099701, 31
 1099702, 28
 1099831, 1
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1

#Genome 2
Core
 1099524, 5
 1099687, 1
 1099812, 1
 1099814, 1
 1099944, 1
 1100449, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100651, 1
 1100653, 1
 1100699, 1
 1100778, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101169, 1
 1101210, 1
 1101226, 1
 1101389, 1
 1101493, 1
 1101545, 1
 1101572, 1
 1101595, 1
 1101881, 1
 1102311, 1
 1102375, 1
 1102620, 1
 1102679, 1
 1103073, 1
 1105093, 10

Accessory
 1099701, 32
 1099702, 23
 1100211, 1
 1100236, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1101232, 1
 1102494, 1
 1102500, 1
 1103477, 1

#Genome 3
Core
 1099524, 9
 1099687, 1
 1099794, 1
 1099814, 1
 1099853, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1101020, 1
 1101021, 4
 1101795, 1
 1102110, 1
 1102375, 1
 1105093, 13

Accessory
 1099527, 2
 1099701, 32
 1099702, 24
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1
 1103782, 1

#Genome 4
Core
 1099524, 5
 1099687, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100822, 1
 1100999, 1
 1101020, 1
 1101021, 3
 1102110, 1
 1102375, 1
 1103052, 1
 1105093, 43

Accessory
 1099701, 25
 1099702, 25
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1
 1103477, 1

#Genome 5
Core
 1099524, 6
 1099687, 1
 1100550, 1
 1100641, 1
 1100700, 1
 1100775, 1
 1100822, 1
 1101020, 2
 1101021, 3
 1101499, 1
 1101506, 1
 1101687, 1
 1101881, 1
 1102110, 1
 1102375, 1
 1102425, 1
 1102765, 1
 1103417, 1
 1105093, 138

Accessory
 1099508, 1
 1099527, 2
 1099529, 1
 1099652, 1
 1099701, 26
 1099702, 28
 1101274, 1
 1101305, 1
 1101434, 1
 1102108, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103945, 1

#Genome 6
Core
 1099687, 1
 1100478, 1
 1100550, 2
 1100551, 1
 1100641, 1
 1100822, 1
 1101021, 4
 1101405, 1
 1101506, 1
 1102110, 1
 1102375, 1
 1103052, 1
 1103055, 1
 1103367, 1
 1105093, 30

Accessory
 1099527, 1
 1099701, 29
 1099702, 18
 1099996, 1
 1100552, 1
 1100556, 1
 1100558, 1
 1102494, 1
 1102655, 1

#Genome 7
Core
 1099524, 8
 1099854, 1
 1100550, 1
 1100551, 1
 1101021, 3
 1101439, 1
 1101911, 1
 1101980, 1
 1102433, 1
 1103381, 1
 1105093, 5

Accessory
 1099701, 25
 1099703, 23
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103488, 1

#Genome 8
Core
 1099524, 6
 1099687, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1101286, 1
 1101499, 1
 1102765, 1
 1103286, 1
 1105093, 10

Accessory
 1099701, 30
 1099702, 27
 1099996, 1
 1101274, 1
 1101390, 1
 1102494, 1
 1102655, 1

#Genome 9
Core
 1099524, 7
 1099687, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100700, 1
 1100822, 1
 1101020, 2
 1101021, 4
 1101499, 1
 1101506, 1
 1102110, 1
 1102375, 1
 1102425, 1
 1102765, 1
 1103417, 1
 1105093, 109

Accessory
 1099508, 1
 1099652, 1
 1099701, 27
 1099702, 31
 1101274, 1
 1101305, 1
 1101434, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103555, 1
 1103556, 1
 1103557, 1
 1103558, 1
 1103562, 1
 1103563, 1
 1103564, 1
 1103565, 2
 1103566, 1
 1103567, 1
 1103568, 1
 1103569, 1
 1103571, 1
 1103574, 1
 1103646, 1
 1103647, 1
 1103649, 1
 1103650, 1
 1103782, 1
 1103783, 1
 1103784, 1
 1103785, 1
 1103786, 1
 1103787, 1
 1103788, 1
 1103945, 1
 1103989, 1

#Genome 10
Core
 1099524, 6
 1099687, 1
 1100353, 1
 1100547, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1100999, 1
 1101020, 1
 1101021, 2
 1101499, 1
 1101881, 1
 1102110, 1
 1102406, 1
 1102765, 1
 1105093, 80

Accessory
 1099511, 1
 1099527, 5
 1099702, 17
 1099703, 3
 1099704, 33
 1099714, 1
 1099825, 1
 1099826, 1
 1099827, 1
 1099830, 1
 1099831, 1
 1099833, 1
 1099834, 1
 1099835, 1
 1099836, 1
 1099837, 1
 1099838, 1
 1099839, 1
 1099996, 1
 1100556, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103958, 1
 1104231, 1
 1104263, 1

#Genome 11
Core
 1099524, 8
 1099687, 1
 1100541, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1101275, 1
 1101831, 1
 1102375, 1
 1103041, 1
 1103135, 1
 1103443, 1
 1105093, 17

Accessory
 1099701, 22
 1099702, 18
 1102494, 1
 1102655, 1
 1102979, 1
 1103477, 1
 1104126, 1

#Genome 12
Core
 1099524, 6
 1099687, 1
 1100168, 1
 1100550, 1
 1100551, 1
 1100641, 1
 1100700, 1
 1100822, 1
 1101020, 2
 1101021, 4
 1101499, 1
 1101506, 1
 1102110, 1
 1102375, 1
 1102425, 1
 1102765, 1
 1103367, 1
 1103417, 1
 1105093, 97

Accessory
 1099508, 1
 1099652, 1
 1099701, 27
 1099702, 30
 1100236, 1
 1101274, 1
 1101305, 1
 1101434, 1
 1102494, 1
 1102655, 1
 1103477, 1
 1103556, 1
 1103782, 1
 1103945, 1

#Genome 13
Core
 1099524, 8
 1099687, 1
 1100550, 1
 1100551, 1
 1100822, 1
 1101020, 1
 1101021, 3
 1101713, 1
 1102110, 1
 1102375, 1
 1105093, 7

Accessory
 1099701, 29
 1099702, 26
 1099996, 1
 1101274, 1
 1102494, 1
 1102655, 1
 1103477, 1

#Genome 14
Core
 1099524, 3
 1099568, 1
 1099687, 1
 1099890, 1
 1100478, 1
 1100550, 1
 1100551, 1
