Gene_name GCF_000007365.1_ASM736v1_genomic.gff GCF_000007725.1_ASM772v1_genomic.gff GCF_000009605.1_ASM960v1_genomic.gff GCF_000021065.1_ASM2106v1_genomic.gff GCF_000021085.1_ASM2108v1_genomic.gff GCF_000090965.1_ASM9096v1_genomic.gff GCF_000183285.1_ASM18328v1_genomic.gff GCF_000225445.1_ASM22544v1_genomic.gff GCF_000225465.1_ASM22546v1_genomic.gff GCF_000521525.1_ASM52152v1_genomic.gff GCF_000521545.1_ASM52154v1_genomic.gff GCF_000521565.1_ASM52156v1_genomic.gff GCF_000521585.1_ASM52158v1_genomic.gff GCF_001280225.1_ASM128022v1_genomic.gff GCF_001648115.1_ASM164811v1_genomic.gff GCF_001700895.1_ASM170089v1_genomic.gff GCF_003096055.1_ASM309605v1_genomic.gff GCF_003099975.1_ASM309997v1_genomic.gff GCF_003671935.1_ASM367193v1_genomic.gff GCF_005080705.1_ASM508070v1_genomic.gff GCF_005080865.1_ASM508086v1_genomic.gff GCF_005080965.1_ASM508096v1_genomic.gff GCF_005081445.1_ASM508144v1_genomic.gff GCF_005082145.1_ASM508214v1_genomic.gff GCF_005082585.1_ASM508258v1_genomic.gff GCF_005083845.1_ASM508384v1_genomic.gff GCF_005237295.1_ASM523729v1_genomic.gff GCF_006741185.1_BucNmo_1.0_genomic.gff GCF_011035165.1_ASM1103516v1_genomic.gff GCF_013394915.1_ASM1339491v1_genomic.gff GCF_013487785.1_ASM1348778v1_genomic.gff GCF_900016785.1_BTsPazieg1.0_genomic.gff GCF_900128595.1_BCipseudotaxifoliae_v1.0_genomic.gff GCF_900128725.1_BCifornacula_v1.0_genomic.gff GCF_900128735.1_BCiconfinis_v1.0_genomic.gff
mnmG 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
atpB 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
atpE 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
atpF 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
atpH 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
atpA 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
atpG 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
atpD 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
atpC 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
gyrB 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dnaN 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
