"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_005081445.1_ASM508144v1_genomic.fna","FASTA","DNA",3,644774,3201,214924.7,633867,5453.5,7706,320786.5,0,633867,0,0,27.03
"GCF_001648115.1_ASM164811v1_genomic.fna","FASTA","DNA",1,607835,607835,607835,607835,607835,607835,607835,0,607835,0,0,25.79
"GCF_000521525.1_ASM52152v1_genomic.fna","FASTA","DNA",2,651306,7802,325653,643504,7802,325653,643504,0,643504,0,0,25.45
"GCF_000007365.1_ASM736v1_genomic.fna","FASTA","DNA",1,641454,641454,641454,641454,641454,641454,641454,0,641454,0,0,25.33
"GCF_000521585.1_ASM52158v1_genomic.fna","FASTA","DNA",2,651310,7800,325655,643510,7800,325655,643510,0,643510,0,0,25.45
"GCF_000521545.1_ASM52154v1_genomic.fna","FASTA","DNA",2,651304,7802,325652,643502,7802,325652,643502,0,643502,0,0,25.45
"GCF_005080865.1_ASM508086v1_genomic.fna","FASTA","DNA",3,630615,3670,210205,619238,5688.5,7707,313472.5,0,619238,0,0,25.76
"GCF_000021065.1_ASM2106v1_genomic.fna","FASTA","DNA",1,641895,641895,641895,641895,641895,641895,641895,0,641895,0,0,26.29
"GCF_900128595.1_BCipseudotaxifoliae_v1.0_genomic.fna","FASTA","DNA",3,455403,2780,151801,446627,4388,5996,226311.5,0,446627,0,0,24.2
"GCF_900016785.1_BTsPazieg1.0_genomic.fna","FASTA","DNA",3,430464,2509,143488,421426,4519,6529,213977.5,0,421426,0,0,21.63
"GCF_000090965.1_ASM9096v1_genomic.fna","FASTA","DNA",2,422434,6054,211217,416380,6054,211217,416380,0,416380,0,0,20.2
"GCF_005082145.1_ASM508214v1_genomic.fna","FASTA","DNA",3,641853,2971,213951,632742,4555.5,6140,319441,0,632742,0,0,24.43
"GCF_900128725.1_BCifornacula_v1.0_genomic.fna","FASTA","DNA",3,456703,2904,152234.3,447673,4515,6126,226899.5,0,447673,0,0,28.25
"GCF_001700895.1_ASM170089v1_genomic.fna","FASTA","DNA",1,636266,636266,636266,636266,636266,636266,636266,0,636266,0,0,25.47
"GCF_000009605.1_ASM960v1_genomic.fna","FASTA","DNA",3,655725,7258,218575,640681,7522,7786,324233.5,0,640681,0,0,26.36
"GCF_000021085.1_ASM2108v1_genomic.fna","FASTA","DNA",1,642122,642122,642122,642122,642122,642122,642122,0,642122,0,0,26.29
"GCF_000183285.1_ASM18328v1_genomic.fna","FASTA","DNA",1,641716,641716,641716,641716,641716,641716,641716,0,641716,0,0,26.29
"GCF_003099975.1_ASM309997v1_genomic.fna","FASTA","DNA",3,653353,3629,217784.3,641689,5832,8035,324862,0,641689,0,0,25.35
"GCF_000225465.1_ASM22546v1_genomic.fna","FASTA","DNA",3,627953,4884,209317.7,615380,6286.5,7689,311534.5,0,615380,0,0,24.18
"GCF_003671935.1_ASM367193v1_genomic.fna","FASTA","DNA",1,642929,642929,642929,642929,642929,642929,642929,0,642929,0,0,25.3
"GCF_900128735.1_BCiconfinis_v1.0_genomic.fna","FASTA","DNA",2,451961,8214,225980.5,443747,8214,225980.5,443747,0,443747,0,0,24.01
"GCF_000521565.1_ASM52156v1_genomic.fna","FASTA","DNA",2,651316,7799,325658,643517,7799,325658,643517,0,643517,0,0,25.45
"GCF_011035165.1_ASM1103516v1_genomic.fna","FASTA","DNA",1,614349,614349,614349,614349,614349,614349,614349,0,614349,0,0,24.32
"GCF_005083845.1_ASM508384v1_genomic.fna","FASTA","DNA",3,645010,3199,215003.3,634211,5399.5,7600,320905.5,0,634211,0,0,24.14
"GCF_005082585.1_ASM508258v1_genomic.fna","FASTA","DNA",3,647564,3671,215854.7,636177,5693.5,7716,321946.5,0,636177,0,0,25.98
"GCF_000225445.1_ASM22544v1_genomic.fna","FASTA","DNA",3,653223,3645,217741,641794,5714.5,7784,324789,0,641794,0,0,25.67
"GCF_005080705.1_ASM508070v1_genomic.fna","FASTA","DNA",1,419293,419293,419293,419293,419293,419293,419293,0,419293,0,0,20.2
"GCF_005237295.1_ASM523729v1_genomic.fna","FASTA","DNA",1,645334,645334,645334,645334,645334,645334,645334,0,645334,0,0,25.55
"GCF_003096055.1_ASM309605v1_genomic.fna","FASTA","DNA",3,637486,3666,212495.3,626137,5674.5,7683,316910,0,626137,0,0,25.34
"GCF_001280225.1_ASM128022v1_genomic.fna","FASTA","DNA",3,638851,3048,212950.3,628164,5343.5,7639,317901.5,0,628164,0,0,25.62
"GCF_013487785.1_ASM1348778v1_genomic.fna","FASTA","DNA",3,643359,2970,214453,632731,5314,7658,320194.5,0,632731,0,0,24.42
"GCF_000007725.1_ASM772v1_genomic.fna","FASTA","DNA",2,618379,2399,309189.5,615980,2399,309189.5,615980,0,615980,0,0,25.34
"GCF_005080965.1_ASM508096v1_genomic.fna","FASTA","DNA",3,654448,3169,218149.3,643561,5443.5,7718,325639.5,0,643561,0,0,25.88
"GCF_006741185.1_BucNmo_1.0_genomic.fna","FASTA","DNA",3,599733,1526,199911,587781,5976,10426,299103.5,0,587781,0,0,22.33
"GCF_013394915.1_ASM1339491v1_genomic.fna","FASTA","DNA",1,628098,628098,628098,628098,628098,628098,628098,0,628098,0,0,25.4
