Gene_name GCF_000006885.1_ASM688v1_genomic.gff GCF_000007045.1_ASM704v1_genomic.gff GCF_000014365.2_ASM1436v2_genomic.gff GCF_000018965.1_ASM1896v1_genomic.gff GCF_000018985.1_ASM1898v1_genomic.gff GCF_000019005.1_ASM1900v1_genomic.gff GCF_000019025.1_ASM1902v1_genomic.gff GCF_000019265.1_ASM1926v1_genomic.gff GCF_000019825.1_ASM1982v1_genomic.gff GCF_000019985.1_ASM1998v1_genomic.gff GCF_000026665.1_ASM2666v1_genomic.gff GCF_000146975.1_ASM14697v1_genomic.gff GCF_000147095.1_ASM14709v1_genomic.gff GCF_000180515.1_ASM18051v2_genomic.gff GCF_000196595.1_ASM19659v1_genomic.gff GCF_000210935.1_ASM21093v1_genomic.gff GCF_000210955.1_ASM21095v1_genomic.gff GCF_000210975.1_ASM21097v1_genomic.gff GCF_000210995.1_ASM21099v1_genomic.gff GCF_000211015.1_ASM21101v1_genomic.gff GCF_000211035.1_ASM21103v2_genomic.gff GCF_000211055.1_ASM21105v2_genomic.gff GCF_000211075.1_ASM21107v1_genomic.gff GCF_000251085.2_ASM25108v2_genomic.gff GCF_000299015.1_ASM29901v1_genomic.gff GCF_000817005.1_ASM81700v1_genomic.gff GCF_001255215.1_S_pneumo_A66_v1_genomic.gff GCF_001457635.1_NCTC7465_genomic.gff GCF_001896045.1_ASM189604v1_genomic.gff GCF_001896065.1_ASM189606v1_genomic.gff GCF_001896085.1_ASM189608v1_genomic.gff GCF_001902455.1_ASM190245v1_genomic.gff GCF_002357995.1_ASM235799v1_genomic.gff GCF_002813535.1_ASM281353v1_genomic.gff GCF_002813955.1_ASM281395v1_genomic.gff GCF_002843545.1_ASM284354v1_genomic.gff GCF_002947575.1_ASM294757v1_genomic.gff GCF_003003495.1_ASM300349v1_genomic.gff GCF_003351525.1_ASM335152v1_genomic.gff GCF_003351645.1_ASM335164v1_genomic.gff GCF_003351705.1_ASM335170v1_genomic.gff GCF_003351725.1_ASM335172v1_genomic.gff GCF_003354825.1_ASM335482v1_genomic.gff GCF_003609935.1_ASM360993v1_genomic.gff GCF_003966485.1_ASM396648v1_genomic.gff GCF_003966505.1_ASM396650v1_genomic.gff GCF_003966525.1_ASM396652v1_genomic.gff GCF_003967155.2_ASM396715v2_genomic.gff GCF_003994915.1_ASM399491v1_genomic.gff GCF_004291255.1_ASM429125v1_genomic.gff GCF_008253725.1_ASM825372v1_genomic.gff GCF_009664475.1_ASM966447v1_genomic.gff GCF_011694695.1_ASM1169469v1_genomic.gff GCF_013047165.1_ASM1304716v1_genomic.gff GCF_015838875.1_ASM1583887v1_genomic.gff GCF_015839035.1_ASM1583903v1_genomic.gff GCF_015839235.1_ASM1583923v1_genomic.gff GCF_015839415.1_ASM1583941v1_genomic.gff GCF_015839575.1_ASM1583957v1_genomic.gff GCF_015839775.1_ASM1583977v1_genomic.gff GCF_015839915.1_ASM1583991v1_genomic.gff GCF_015840115.1_ASM1584011v1_genomic.gff GCF_017569245.1_ASM1756924v1_genomic.gff GCF_018336875.1_ASM1833687v1_genomic.gff GCF_019454385.1_ASM1945438v1_genomic.gff GCF_019456615.1_ASM1945661v1_genomic.gff GCF_019915285.1_ASM1991528v1_genomic.gff GCF_020008085.1_ASM2000808v1_genomic.gff GCF_020097335.1_ASM2009733v1_genomic.gff GCF_900475305.1_43721_E02_genomic.gff GCF_900475515.1_42731_F01_genomic.gff GCF_900475805.1_46514_B03_genomic.gff GCF_900476445.1_55312_D02_genomic.gff GCF_900476455.1_55312_E02_genomic.gff GCF_900476465.1_55312_F02_genomic.gff GCF_900476475.1_49768_F01_genomic.gff GCF_900476505.1_55312_C02_genomic.gff GCF_900618545.1_4496_genomic.gff GCF_900618555.1_947_genomic.gff GCF_900618575.1_180-2_genomic.gff GCF_900618585.1_180-15_genomic.gff GCF_900622505.2_Spn4559_genomic.gff GCF_900636585.1_43058_B01_genomic.gff GCF_900692935.1_18090_1_84-2_genomic.gff GCF_900693025.1_19341_2_86-2_genomic.gff GCF_900693055.1_19084_8_150-2_genomic.gff GCF_900693075.1_19084_8_183-2_genomic.gff GCF_900795205.1_22841_2_22-5_genomic.gff
dnaA 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dnaN 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ychF 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
pth 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
mfd 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tilS 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
hpt 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsH 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
purA 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tadA_1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dut 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
