#Genomes with additional copies compared to other genomes
#Homology group identifier, number of additional copies compared to the lowest number in a homology group (at least 1).

#Genome 1
Core
 839816, 1
 839854, 1
 839874, 1
 840013, 1
 840067, 1
 840281, 1
 840328, 1
 840444, 1
 840586, 1
 840724, 1
 840850, 1
 840901, 1
 840909, 1
 841056, 1
 841088, 1
 841119, 1
 841347, 1
 841403, 1
 841469, 1
 841498, 1
 841515, 1
 841572, 1
 841790, 1
 841831, 1
 841873, 1
 841927, 1

Accessory
 839630, 13
 839632, 13
 839647, 2
 839735, 1
 839742, 1
 839744, 1
 839746, 1
 839747, 1
 839749, 1
 839751, 1
 839753, 1
 839754, 1
 839755, 1
 839756, 1
 839758, 1
 839760, 1
 839761, 1
 839763, 1
 839764, 1
 839766, 1
 839767, 1
 839769, 2
 839927, 1
 840003, 1
 840005, 1
 840076, 1
 840079, 1
 840198, 1
 840199, 1
 840301, 1
 840834, 1
 841839, 1
 841926, 1
 843391, 117

#Genome 2
Core
 839705, 1
 839796, 1
 839985, 1
 840373, 1
 840550, 1
 840724, 1
 840850, 1
 840909, 1

Accessory
 839630, 25
 839735, 1
 839742, 1
 839744, 1
 839746, 1
 839747, 1
 839749, 1
 839751, 1
 839753, 1
 839754, 1
 839755, 1
 839756, 1
 839758, 1
 839760, 1
 839761, 2
 839763, 1
 839764, 1
 839766, 1
 839767, 1
 839927, 2
 840003, 1
 840199, 1
 840205, 1
 840500, 1
 840689, 1
 840834, 1
 840876, 1
 841141, 1
 841478, 1
 841715, 1
 841827, 1
 841922, 1
 843391, 114

#Genome 3
Core
 839705, 1
 839966, 1
 839985, 1
 840373, 1
 840550, 1
 840586, 1
 840724, 1
 840850, 1
 840909, 1
 841469, 1

Accessory
 839630, 27
 839735, 1
 839742, 1
 839744, 1
 839746, 1
 839747, 1
 839749, 1
 839751, 1
 839753, 1
 839754, 1
 839755, 1
 839756, 1
 839758, 1
 839760, 1
 839761, 1
 839763, 1
 839764, 1
 839766, 1
 839767, 1
 839927, 2
 840003, 1
 840199, 1
 840205, 1
 840500, 1
 840804, 1
 840834, 1
 841157, 1
 841674, 1
 841827, 1
 841922, 1
 843391, 114

#Genome 4
Core
 839705, 1
 839985, 1
 840373, 1
 840550, 1
 840586, 1
 840724, 1
 840909, 1
 841429, 1
 841848, 1

Accessory
 839630, 25
 839735, 1
 839744, 1
 839746, 1
 839747, 1
 839749, 1
 839751, 1
 839753, 1
 839754, 1
 839755, 1
 839756, 1
 839758, 1
 839760, 1
 839761, 1
 839763, 1
 839764, 1
 839766, 1
 839767, 1
 839770, 1
 839927, 2
 840003, 1
 840174, 1
 840199, 1
 840205, 1
 840500, 1
 840804, 1
 840834, 1
 840876, 1
 841827, 1
 841922, 1
 843391, 114

#Genome 5
Core
 839705, 1
 839985, 1
 840328, 1
 840329, 2
 840373, 1
 840550, 1
 840586, 1
 840724, 1
 840850, 1
 840909, 1
 841043, 1
 841070, 1
 841429, 1
 841461, 1
 841848, 1

Accessory
 839630, 21
 839632, 5
 839735, 1
 839742, 1
 839744, 1
 839746, 2
 839747, 1
 839749, 2
 839751, 1
 839754, 1
 839755, 1
 839758, 1
 839760, 1
 839761, 2
 839763, 1
 839764, 1
 839765, 2
 839767, 3
 839770, 1
 839928, 2
 840003, 1
 840199, 1
 840205, 1
 840431, 1
 840500, 1
 840804, 1
 840834, 1
 841827, 1
 842062, 2
 843391, 116

#Genome 6
Core
 839705, 1
 839985, 1
 840373, 1
 840550, 1
 840586, 1
 840724, 1
 840850, 1
 840909, 1
 841469, 1

Accessory
 839630, 27
 839735, 1
 839742, 1
 839744, 1
 839746, 1
 839747, 1
 839749, 1
 839751, 1
 839753, 1
 839754, 1
 839755, 1
 839756, 1
 839758, 1
 839760, 1
 839761, 1
 839763, 1
 839764, 1
 839766, 1
 839767, 1
 839927, 2
 839953, 1
 840003, 1
 840199, 1
 840205, 1
 840500, 1
 840804, 1
 841674, 1
 841827, 1
 841922, 1
 843391, 113

#Genome 7
Core
 840550, 1
 841051, 1

Accessory
 839631, 13
 839634, 1
 839736, 1
 839744, 1
 839746, 1
 839747, 1
 839749, 1
 839751, 1
 839753, 1
 839754, 1
 839755, 1
 839756, 1
 839758, 1
 839760, 1
 839761, 1
 839763, 1
 839764, 1
 839766, 1
 839767, 1
 839927, 2
 840076, 1
 840526, 1
 840834, 1
 840836, 1
 841254, 1
 841267, 1
 841398, 1
 841474, 1
 841514, 1
 841827, 1
 841915, 1
 841947, 1
 842161, 1
 842162, 1
 842163, 1
 843391, 96

#Genome 8
Core
 839727, 1
 839776, 1
 840104, 1
 840179, 1
 840344, 1
 840488, 1
 840542, 1
 840550, 1
 841051, 1
 841111, 1
 841168, 1
 841389, 1
 841390, 2
 841411, 1
 841512, 1
 841594, 1
 841598, 1
 841643, 1
 841645, 1

Accessory
 839631, 13
 839634, 1
 839736, 1
 839744, 1
 839746, 1
 839747, 1
 839749, 1
 839767, 2
 839927, 2
 840076, 1
 840526, 1
 840834, 1
 840836, 1
 841254, 1
 841267, 1
 841392, 1
 841394, 1
 841398, 2
 841412, 1
 841413, 1
 841417, 1
 841474, 1
 841514, 1
 841827, 1
 841915, 1
 841947, 1
 842140, 1
 842161, 1
 842162, 1
 842163, 1
 843391, 98

#Genome 9
Core
 841835, 1

Accessory
 839631, 3
 841609, 1
 841610, 1
 842235, 1
 842285, 1
 843391, 1

#Genome 10
Core
 839886, 1
 839998, 1
 840057, 1
 840290, 1
 840389, 1
 840550, 1
 840571, 1
 840655, 1
 840702, 1
 841051, 1
 841088, 1
 841138, 1
 841199, 1
 841341, 1
 841363, 1
 841381, 1
 841389, 1
 841446, 1
 841498, 1
 841501, 1
 841530, 1
 841649, 1
 841719, 1
 841788, 1
 841831, 1
 841848, 1

Accessory
 378936, 1
 839616, 1
 839631, 24
 839634, 1
 839736, 1
 839744, 1
 839746, 1
 839747, 1
