Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8
2561387,core & single copy orthologous,1,1,1,1,1,1,1,1
2561398,core & single copy orthologous,1,1,1,1,1,1,1,1
2561405,core & single copy orthologous,1,1,1,1,1,1,1,1
2561420,core & single copy orthologous,1,1,1,1,1,1,1,1
2561421,core & single copy orthologous,1,1,1,1,1,1,1,1
2561427,core & single copy orthologous,1,1,1,1,1,1,1,1
2561479,core & single copy orthologous,1,1,1,1,1,1,1,1
2561483,core & single copy orthologous,1,1,1,1,1,1,1,1
2561490,core & single copy orthologous,1,1,1,1,1,1,1,1
2561494,core & single copy orthologous,1,1,1,1,1,1,1,1
2561511,core & single copy orthologous,1,1,1,1,1,1,1,1
2561517,core & single copy orthologous,1,1,1,1,1,1,1,1
2561518,core & single copy orthologous,1,1,1,1,1,1,1,1
2561540,core & single copy orthologous,1,1,1,1,1,1,1,1
2561542,core & single copy orthologous,1,1,1,1,1,1,1,1
2561563,core & single copy orthologous,1,1,1,1,1,1,1,1
2561630,core & single copy orthologous,1,1,1,1,1,1,1,1
2561642,core & single copy orthologous,1,1,1,1,1,1,1,1
2561647,core & single copy orthologous,1,1,1,1,1,1,1,1
2561663,core & single copy orthologous,1,1,1,1,1,1,1,1
2561687,core & single copy orthologous,1,1,1,1,1,1,1,1
2561688,core & single copy orthologous,1,1,1,1,1,1,1,1
2561691,core & single copy orthologous,1,1,1,1,1,1,1,1
2561695,core & single copy orthologous,1,1,1,1,1,1,1,1
2561717,core & single copy orthologous,1,1,1,1,1,1,1,1
2561723,core & single copy orthologous,1,1,1,1,1,1,1,1
2561727,core & single copy orthologous,1,1,1,1,1,1,1,1
2561728,core & single copy orthologous,1,1,1,1,1,1,1,1
2561737,core & single copy orthologous,1,1,1,1,1,1,1,1
2561738,core & single copy orthologous,1,1,1,1,1,1,1,1
2561746,core & single copy orthologous,1,1,1,1,1,1,1,1
2561770,core & single copy orthologous,1,1,1,1,1,1,1,1
2561772,core & single copy orthologous,1,1,1,1,1,1,1,1
2561782,core & single copy orthologous,1,1,1,1,1,1,1,1
2561799,core & single copy orthologous,1,1,1,1,1,1,1,1
2561814,core & single copy orthologous,1,1,1,1,1,1,1,1
2561825,core & single copy orthologous,1,1,1,1,1,1,1,1
2561828,core & single copy orthologous,1,1,1,1,1,1,1,1
2561831,core & single copy orthologous,1,1,1,1,1,1,1,1
2561844,core & single copy orthologous,1,1,1,1,1,1,1,1
2561845,core & single copy orthologous,1,1,1,1,1,1,1,1
2561847,core & single copy orthologous,1,1,1,1,1,1,1,1
2561849,core & single copy orthologous,1,1,1,1,1,1,1,1
2561857,core & single copy orthologous,1,1,1,1,1,1,1,1
2561861,core & single copy orthologous,1,1,1,1,1,1,1,1
2561871,core & single copy orthologous,1,1,1,1,1,1,1,1
2561895,core & single copy orthologous,1,1,1,1,1,1,1,1
2561989,core & single copy orthologous,1,1,1,1,1,1,1,1
2561990,core & single copy orthologous,1,1,1,1,1,1,1,1
2562005,core & single copy orthologous,1,1,1,1,1,1,1,1
2562007,core,2,2,2,2,2,2,1,3
2562024,core & single copy orthologous,1,1,1,1,1,1,1,1
2562045,core & single copy orthologous,1,1,1,1,1,1,1,1
2562047,core & single copy orthologous,1,1,1,1,1,1,1,1
2562048,core & single copy orthologous,1,1,1,1,1,1,1,1
2562064,core & single copy orthologous,1,1,1,1,1,1,1,1
2562073,core & single copy orthologous,1,1,1,1,1,1,1,1
2562078,core & single copy orthologous,1,1,1,1,1,1,1,1
2562082,core & single copy orthologous,1,1,1,1,1,1,1,1
2562112,core & single copy orthologous,1,1,1,1,1,1,1,1
2562123,core & single copy orthologous,1,1,1,1,1,1,1,1
2562126,core & single copy orthologous,1,1,1,1,1,1,1,1
2562130,core & single copy orthologous,1,1,1,1,1,1,1,1
2562135,core & single copy orthologous,1,1,1,1,1,1,1,1
2562136,core & single copy orthologous,1,1,1,1,1,1,1,1
2562138,core & single copy orthologous,1,1,1,1,1,1,1,1
2562154,core & single copy orthologous,1,1,1,1,1,1,1,1
2562157,core,1,1,1,1,2,1,1,1
2562215,core & single copy orthologous,1,1,1,1,1,1,1,1
2562224,core & single copy orthologous,1,1,1,1,1,1,1,1
2562227,core & single copy orthologous,1,1,1,1,1,1,1,1
2562255,core & single copy orthologous,1,1,1,1,1,1,1,1
2562262,core & single copy orthologous,1,1,1,1,1,1,1,1
2562263,core & single copy orthologous,1,1,1,1,1,1,1,1
2562264,core & single copy orthologous,1,1,1,1,1,1,1,1
2562269,core & single copy orthologous,1,1,1,1,1,1,1,1
