"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_000835185.1_ASM83518v1_genomic.fna","FASTA","DNA",4,5642468,7300,1410617,5271178,29406,181995,2791828,0,5271178,0,0,35.31
"GCF_002214705.1_ASM221470v1_genomic.fna","FASTA","DNA",1,5369104,5369104,5369104,5369104,5369104,5369104,5369104,0,5369104,0,0,35.29
"GCF_000292415.1_ASM29241v1_genomic.fna","FASTA","DNA",5,5382319,3091,1076463.8,5083176,36273,40993,218786,0,5083176,0,0,35.46
"GCF_000832865.1_ASM83286v1_genomic.fna","FASTA","DNA",8,6068729,4898,758591.1,5342933,26133.5,73870.5,260445,0,5342933,0,0,34.95
"GCF_016774535.1_ASM1677453v1_genomic.fna","FASTA","DNA",2,6098577,591136,3049288.5,5507441,591136,3049288.5,5507441,0,5507441,0,0,34.92
"GCF_000832845.1_ASM83284v1_genomic.fna","FASTA","DNA",2,5306298,36802,2653149,5269496,36802,2653149,5269496,0,5269496,0,0,35.42
"GCF_001518875.1_ASM151887v1_genomic.fna","FASTA","DNA",2,5678662,259749,2839331,5418913,259749,2839331,5418913,0,5418913,0,0,35.15
"GCF_000007825.1_ASM782v1_genomic.fna","FASTA","DNA",2,5427083,15274,2713541.5,5411809,15274,2713541.5,5411809,0,5411809,0,0,35.29
"GCF_002214765.1_ASM221476v1_genomic.fna","FASTA","DNA",1,5358595,5358595,5358595,5358595,5358595,5358595,5358595,0,5358595,0,0,35.27
"GCF_002813875.1_ASM281387v1_genomic.fna","FASTA","DNA",4,5947010,102005,1486752.5,5561815,113332,141595,2860173,0,5561815,0,0,35.36
"GCF_013267455.1_ASM1326745v1_genomic.fna","FASTA","DNA",4,5642335,7300,1410583.8,5271029,29414,182003,2791753.5,0,5271029,0,0,35.31
"GCF_013267255.1_ASM1326725v1_genomic.fna","FASTA","DNA",3,6189771,328123,2063257,5381556,404107.5,480092,2930824,0,5381556,0,0,34.98
"GCF_004801195.1_ASM480119v1_genomic.fna","FASTA","DNA",1,5247580,5247580,5247580,5247580,5247580,5247580,5247580,0,5247580,0,0,35.4
