Gene_name GCF_000006785.2_ASM678v2_genomic.gff GCF_000007285.1_ASM728v1_genomic.gff GCF_000007425.1_ASM742v1_genomic.gff GCF_000009385.1_ASM938v1_genomic.gff GCF_000011285.1_ASM1128v1_genomic.gff GCF_000011665.1_ASM1166v1_genomic.gff GCF_000011765.3_ASM1176v2_genomic.gff GCF_000012165.2_ASM1216v2_genomic.gff GCF_000013485.1_ASM1348v1_genomic.gff GCF_000013505.1_ASM1350v1_genomic.gff GCF_000013545.1_ASM1354v1_genomic.gff GCF_000018125.1_ASM1812v1_genomic.gff GCF_000167435.2_ASM16743v2_genomic.gff GCF_000230295.1_ASM23029v1_genomic.gff GCF_000250905.1_ASM25090v1_genomic.gff GCF_000250925.1_ASM25092v1_genomic.gff GCF_000307535.1_ASM30753v1_genomic.gff GCF_000349925.2_ASM34992v2_genomic.gff GCF_000422045.1_ASM42204v1_genomic.gff GCF_000732425.1_ASM73242v1_genomic.gff GCF_000743015.1_ASM74301v1_genomic.gff GCF_000756485.1_ASM75648v1_genomic.gff GCF_000767505.1_ASM76750v1_genomic.gff GCF_000772185.1_ASM77218v1_genomic.gff GCF_000772245.1_ASM77224v1_genomic.gff GCF_000993765.1_ASM99376v1_genomic.gff GCF_001014285.1_ASM101428v1_genomic.gff GCF_001014305.1_ASM101430v1_genomic.gff GCF_001019635.1_ASM101963v1_genomic.gff GCF_001019675.1_ASM101967v1_genomic.gff GCF_001019695.1_ASM101969v1_genomic.gff GCF_001020185.2_ASM102018v2_genomic.gff GCF_001021955.1_ASM102195v1_genomic.gff GCF_001023495.1_ASM102349v1_genomic.gff GCF_001039695.1_emm89-1_genomic.gff GCF_001051095.1_ASM105109v1_genomic.gff GCF_001267805.1_ASM126780v1_genomic.gff GCF_001267845.1_ASM126784v1_genomic.gff GCF_001535565.1_ASM153556v1_genomic.gff GCF_001547715.1_ASM154771v1_genomic.gff GCF_001547835.1_ASM154783v1_genomic.gff GCF_001559175.2_ASM155917v2_genomic.gff GCF_001620285.1_ASM162028v1_genomic.gff GCF_001635895.1_ASM163589v1_genomic.gff GCF_001635935.1_ASM163593v1_genomic.gff GCF_001635975.1_ASM163597v1_genomic.gff GCF_001638845.2_ASM163884v2_genomic.gff GCF_001678885.1_ASM167888v1_genomic.gff GCF_002055535.1_NCTC8198_genomic.gff GCF_002163545.1_ASM216354v1_genomic.gff GCF_002236855.1_ASM223685v1_genomic.gff GCF_002236875.1_ASM223687v1_genomic.gff GCF_002238295.1_ASM223829v1_genomic.gff GCF_002238315.1_ASM223831v1_genomic.gff GCF_002355175.1_ASM235517v1_genomic.gff GCF_002355815.1_ASM235581v1_genomic.gff GCF_002557755.1_ASM255775v1_genomic.gff GCF_002844355.1_ASM284435v1_genomic.gff GCF_003025365.1_ASM302536v1_genomic.gff GCF_003203475.1_ASM320347v1_genomic.gff GCF_003352145.1_ASM335214v1_genomic.gff GCF_003609955.1_ASM360995v1_genomic.gff GCF_003640605.1_ASM364060v1_genomic.gff GCF_003698205.1_ASM369820v1_genomic.gff GCF_003812645.1_ASM381264v1_genomic.gff GCF_003812725.1_ASM381272v1_genomic.gff GCF_003814365.1_ASM381436v1_genomic.gff GCF_003814385.1_ASM381438v1_genomic.gff GCF_004010855.1_ASM401085v1_genomic.gff GCF_004010875.1_ASM401087v1_genomic.gff GCF_004028355.1_ASM402835v1_genomic.gff GCF_004123995.1_ASM412399v1_genomic.gff GCF_004124015.1_ASM412401v1_genomic.gff GCF_004124075.1_ASM412407v1_genomic.gff GCF_004124115.1_ASM412411v1_genomic.gff GCF_004124135.1_ASM412413v1_genomic.gff GCF_004135875.1_ASM413587v1_genomic.gff GCF_004153945.1_ASM415394v1_genomic.gff GCF_004153965.1_ASM415396v1_genomic.gff GCF_004153985.1_ASM415398v1_genomic.gff GCF_004154005.1_ASM415400v1_genomic.gff GCF_004154025.1_ASM415402v1_genomic.gff GCF_004154045.1_ASM415404v1_genomic.gff GCF_004154065.1_ASM415406v1_genomic.gff GCF_004154085.1_ASM415408v1_genomic.gff GCF_004154105.1_ASM415410v1_genomic.gff GCF_004154125.1_ASM415412v1_genomic.gff GCF_004154145.1_ASM415414v1_genomic.gff GCF_004154165.1_ASM415416v1_genomic.gff GCF_004154185.1_ASM415418v1_genomic.gff GCF_004154205.1_ASM415420v1_genomic.gff GCF_004154225.1_ASM415422v1_genomic.gff GCF_004154245.1_ASM415424v1_genomic.gff GCF_004154265.1_ASM415426v1_genomic.gff GCF_004154285.1_ASM415428v1_genomic.gff GCF_004154305.1_ASM415430v1_genomic.gff GCF_004154325.1_ASM415432v1_genomic.gff GCF_004154345.1_ASM415434v1_genomic.gff GCF_004154365.1_ASM415436v1_genomic.gff GCF_004154385.1_ASM415438v1_genomic.gff GCF_004154405.1_ASM415440v1_genomic.gff GCF_004193935.1_ASM419393v1_genomic.gff GCF_005160445.1_ASM516044v1_genomic.gff GCF_005160565.1_ASM516056v1_genomic.gff GCF_005160785.1_ASM516078v1_genomic.gff GCF_005160925.1_ASM516092v1_genomic.gff GCF_005161125.1_ASM516112v1_genomic.gff GCF_005161325.1_ASM516132v1_genomic.gff GCF_005161465.1_ASM516146v1_genomic.gff GCF_005161605.1_ASM516160v1_genomic.gff GCF_005161825.1_ASM516182v1_genomic.gff GCF_005161985.1_ASM516198v1_genomic.gff GCF_005162245.1_ASM516224v1_genomic.gff GCF_005162405.1_ASM516240v1_genomic.gff GCF_005162565.1_ASM516256v1_genomic.gff GCF_005162725.1_ASM516272v1_genomic.gff GCF_005162865.1_ASM516286v1_genomic.gff GCF_005163085.1_ASM516308v1_genomic.gff GCF_005163245.1_ASM516324v1_genomic.gff GCF_005163385.1_ASM516338v1_genomic.gff GCF_005163565.1_ASM516356v1_genomic.gff GCF_005163705.1_ASM516370v1_genomic.gff GCF_005163865.1_ASM516386v1_genomic.gff GCF_005164025.1_ASM516402v1_genomic.gff GCF_005164305.1_ASM516430v1_genomic.gff GCF_005164585.1_ASM516458v1_genomic.gff GCF_005164705.1_ASM516470v1_genomic.gff GCF_005164885.1_ASM516488v1_genomic.gff GCF_005165045.1_ASM516504v1_genomic.gff GCF_005165265.1_ASM516526v1_genomic.gff GCF_005165385.1_ASM516538v1_genomic.gff GCF_005222545.1_ASM522254v1_genomic.gff GCF_006364235.1_ASM636423v1_genomic.gff GCF_006740645.1_ASM674064v2_genomic.gff GCF_008694005.1_ASM869400v1_genomic.gff GCF_009664495.1_ASM966449v1_genomic.gff GCF_009738475.1_ASM973847v1_genomic.gff GCF_009738495.1_ASM973849v1_genomic.gff GCF_009832845.1_ASM983284v1_genomic.gff GCF_011290565.1_ASM1129056v1_genomic.gff GCF_012572265.1_ASM1257226v1_genomic.gff GCF_013306985.1_ASM1330698v1_genomic.gff GCF_014191695.1_ASM1419169v1_genomic.gff GCF_014191835.1_ASM1419183v1_genomic.gff GCF_014192005.1_ASM1419200v1_genomic.gff GCF_014192175.1_ASM1419217v1_genomic.gff GCF_014218015.1_ASM1421801v1_genomic.gff GCF_014495925.1_ASM1449592v1_genomic.gff GCF_014495945.1_ASM1449594v1_genomic.gff GCF_014495965.1_ASM1449596v1_genomic.gff GCF_014495985.1_ASM1449598v1_genomic.gff GCF_016126835.1_ASM1612683v1_genomic.gff GCF_016549335.1_ASM1654933v1_genomic.gff GCF_016549355.1_ASM1654935v1_genomic.gff GCF_016549375.1_ASM1654937v1_genomic.gff GCF_017132795.1_ASM1713279v1_genomic.gff GCF_017638465.1_ASM1763846v1_genomic.gff GCF_018140985.1_ASM1814098v1_genomic.gff GCF_019342845.1_ASM1934284v1_genomic.gff GCF_019342865.1_ASM1934286v1_genomic.gff GCF_019342885.1_ASM1934288v1_genomic.gff GCF_019342905.1_ASM1934290v1_genomic.gff GCF_019342925.1_ASM1934292v1_genomic.gff GCF_019342945.1_ASM1934294v1_genomic.gff GCF_019342965.1_ASM1934296v1_genomic.gff GCF_019342985.1_ASM1934298v1_genomic.gff GCF_019343005.1_ASM1934300v1_genomic.gff GCF_019343025.1_ASM1934302v1_genomic.gff GCF_019343045.1_ASM1934304v1_genomic.gff GCF_019343065.1_ASM1934306v1_genomic.gff GCF_019343085.1_ASM1934308v1_genomic.gff GCF_019448315.1_ASM1944831v1_genomic.gff GCF_020826915.1_ASM2082691v1_genomic.gff GCF_020826935.1_ASM2082693v1_genomic.gff GCF_020826955.1_ASM2082695v1_genomic.gff GCF_020826975.1_ASM2082697v1_genomic.gff GCF_020826995.1_ASM2082699v1_genomic.gff GCF_020827015.1_ASM2082701v1_genomic.gff GCF_020827035.1_ASM2082703v1_genomic.gff GCF_020827055.1_ASM2082705v1_genomic.gff GCF_020827075.1_ASM2082707v1_genomic.gff GCF_020827095.1_ASM2082709v1_genomic.gff GCF_020827115.1_ASM2082711v1_genomic.gff GCF_020827135.1_ASM2082713v1_genomic.gff GCF_900474455.1_42017_D01_genomic.gff GCF_900474645.1_41767_A01_genomic.gff GCF_900474745.1_41800_E02_genomic.gff GCF_900474765.1_41800_G01_genomic.gff GCF_900474775.1_41800_G02_genomic.gff GCF_900474795.1_41767_B01_genomic.gff GCF_900474815.1_41800_F01_genomic.gff GCF_900474825.1_41800_B02_genomic.gff GCF_900474835.1_41800_H02_genomic.gff GCF_900474845.1_41906_C02_genomic.gff GCF_900474855.1_41825_E01_genomic.gff GCF_900474865.1_41906_D02_genomic.gff GCF_900474885.1_41851_E01_genomic.gff GCF_900474895.1_42042_C02_genomic.gff GCF_900474915.1_41851_G01_genomic.gff GCF_900474925.1_41885_G01_genomic.gff GCF_900474935.1_41851_F01_genomic.gff GCF_900474945.1_42017_E01_genomic.gff GCF_900474955.1_41800_H01_genomic.gff GCF_900474965.1_41825_D01_genomic.gff GCF_900474975.1_41906_B02_genomic.gff GCF_900474995.1_41906_H01_genomic.gff GCF_900475005.1_41906_F02_genomic.gff GCF_900475035.1_41965_F01_genomic.gff GCF_900475075.1_42290_F02_genomic.gff GCF_900475085.1_42206_C01_genomic.gff GCF_900475105.1_41975_C01_genomic.gff GCF_900475115.1_42197_A01_genomic.gff GCF_900475135.1_41906_H02_genomic.gff GCF_900475155.1_41975_A01_genomic.gff GCF_900475165.1_42731_D01_genomic.gff GCF_900475175.1_42912_A02_genomic.gff GCF_900475335.1_42912_D01_genomic.gff GCF_900475425.1_43908_F01_genomic.gff GCF_900475455.1_44451_G01_genomic.gff GCF_900475465.1_42969_C01_genomic.gff GCF_900475475.1_44503_G02_genomic.gff GCF_900475485.1_42969_E01_genomic.gff GCF_900475495.1_44626_H01_genomic.gff GCF_900475525.1_44738_D02_genomic.gff GCF_900475565.1_42912_A01_genomic.gff GCF_900475615.1_44451_E01_genomic.gff GCF_900475645.1_44927_B01_genomic.gff GCF_900475705.1_44858_B01_genomic.gff GCF_900475765.1_46931_G01_genomic.gff GCF_900475785.1_46514_A03_genomic.gff GCF_900475795.1_46514_A02_genomic.gff GCF_900475865.1_46338_A02_genomic.gff GCF_900475875.1_47297_B01_genomic.gff GCF_900475925.1_46514_A01_genomic.gff GCF_900475955.1_45889_E01_genomic.gff GCF_900475985.1_47297_C01_genomic.gff GCF_900476015.1_50279_C02_genomic.gff GCF_900608505.1_Chr_1_genomic.gff GCF_900619585.1_5448_genomic.gff GCF_900619595.1_SP444_genomic.gff GCF_900619605.1_HKU419_genomic.gff GCF_900619615.1_PS003_genomic.gff GCF_900619625.1_PS006_genomic.gff GCF_900636485.1_42290_G02_genomic.gff GCF_900636725.1_43908_B01_genomic.gff GCF_901472475.1_35891_A01_genomic.gff GCF_901482645.1_42017_F01_genomic.gff
dnaA 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
dnaN 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ychF 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
pth 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
mfd 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
tilS 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
hpt 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ftsH 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
yhdG 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
prs 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
recO 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
