"file","format","type","num_seqs","sum_len","min_len","avg_len","max_len","Q1","Q2","Q3","sum_gap","N50","Q20(%)","Q30(%)","GC(%)"
"GCF_002866045.1_ASM286604v1_genomic.fna","FASTA","DNA",2,4169506,241076,2084753,3928430,241076,2084753,3928430,0,3928430,0,0,28.16
"GCF_000827935.1_ASM82793v1_genomic.fna","FASTA","DNA",1,3611897,3611897,3611897,3611897,3611897,3611897,3611897,0,3611897,0,0,27.35
"GCF_001889345.1_ASM188934v1_genomic.fna","FASTA","DNA",1,3867627,3867627,3867627,3867627,3867627,3867627,3867627,0,3867627,0,0,28.24
"GCF_002865845.1_ASM286584v1_genomic.fna","FASTA","DNA",2,4159640,42784,2079820,4116856,42784,2079820,4116856,0,4116856,0,0,28.23
"GCF_002866125.1_ASM286612v1_genomic.fna","FASTA","DNA",4,4050477,10089,1012619.3,3959509,16691.5,40439.5,2008547,0,3959509,0,0,28.15
"GCF_001921925.1_ASM192192v1_genomic.fna","FASTA","DNA",2,4414346,196981,2207173,4217365,196981,2207173,4217365,0,4217365,0,0,28.1
"GCF_016838665.1_ASM1683866v1_genomic.fna","FASTA","DNA",1,4090796,4090796,4090796,4090796,4090796,4090796,4090796,0,4090796,0,0,28.15
"GCF_001921905.1_ASM192190v1_genomic.fna","FASTA","DNA",2,3967717,10089,1983858.5,3957628,10089,1983858.5,3957628,0,3957628,0,0,28.19
"GCF_002865825.1_ASM286582v1_genomic.fna","FASTA","DNA",3,4154949,17430,1384983,3922099,116425,215420,2068759.5,0,3922099,0,0,28
"GCF_003345315.1_ASM334531v1_genomic.fna","FASTA","DNA",3,4018503,5926,1339501,3954901,31801,57676,2006288.5,0,3954901,0,0,28.2
"GCF_000204565.1_ASM20456v1_genomic.fna","FASTA","DNA",6,3207592,12403,534598.7,2773157,39648,89548.5,203287,0,2773157,0,0,28.23
"GCF_016071375.1_ASM1607137v1_genomic.fna","FASTA","DNA",6,2702994,12897,450499,2301532,53534,74674,185683,0,2301532,0,0,27.74
"GCF_002865765.1_ASM286576v1_genomic.fna","FASTA","DNA",1,3917597,3917597,3917597,3917597,3917597,3917597,3917597,0,3917597,0,0,28.26
"GCF_003017195.1_ASM301719v1_genomic.fna","FASTA","DNA",1,4004635,4004635,4004635,4004635,4004635,4004635,4004635,0,4004635,0,0,27.92
"GCF_002865805.1_ASM286580v1_genomic.fna","FASTA","DNA",2,3914565,10111,1957282.5,3904454,10111,1957282.5,3904454,0,3904454,0,0,28.16
"GCF_000063585.1_ASM6358v1_genomic.fna","FASTA","DNA",2,3903260,16344,1951630,3886916,16344,1951630,3886916,0,3886916,0,0,28.24
"GCF_003345335.1_ASM334533v1_genomic.fna","FASTA","DNA",3,4202171,9953,1400723.7,3922194,139988.5,270024,2096109,0,3922194,0,0,28.07
"GCF_003017145.1_ASM301714v1_genomic.fna","FASTA","DNA",1,3988693,3988693,3988693,3988693,3988693,3988693,3988693,0,3988693,0,0,27.85
"GCF_002866225.1_ASM286622v1_genomic.fna","FASTA","DNA",3,4109153,23294,1369717.7,4029015,40069,56844,2042929.5,0,4029015,0,0,28.19
"GCF_000019545.1_ASM1954v1_genomic.fna","FASTA","DNA",2,4259691,266785,2129845.5,3992906,266785,2129845.5,3992906,0,3992906,0,0,28.14
"GCF_003017225.1_ASM301722v1_genomic.fna","FASTA","DNA",1,3998747,3998747,3998747,3998747,3998747,3998747,3998747,0,3998747,0,0,27.79
"GCF_003058345.1_ASM305834v1_genomic.fna","FASTA","DNA",1,3858511,3858511,3858511,3858511,3858511,3858511,3858511,0,3858511,0,0,28.22
"GCF_001921985.1_ASM192198v1_genomic.fna","FASTA","DNA",4,4303351,11471,1075837.8,3841378,108594.5,225251,2043081,0,3841378,0,0,27.89
"GCF_000829015.1_ASM82901v1_genomic.fna","FASTA","DNA",1,3901300,3901300,3901300,3901300,3901300,3901300,3901300,0,3901300,0,0,28.27
"GCF_000019305.1_ASM1930v1_genomic.fna","FASTA","DNA",2,4107013,148780,2053506.5,3958233,148780,2053506.5,3958233,0,3958233,0,0,28.23
"GCF_000827955.1_ASM82795v1_genomic.fna","FASTA","DNA",1,3611898,3611898,3611898,3611898,3611898,3611898,3611898,0,3611898,0,0,27.35
"GCF_002865885.1_ASM286588v1_genomic.fna","FASTA","DNA",3,4084533,10109,1361511,4051146,16693.5,23278,2037212,0,4051146,0,0,28.2
"GCF_001879625.1_ASM187962v1_genomic.fna","FASTA","DNA",3,4020063,5926,1340021,3954777,32643,59360,2007068.5,0,3954777,0,0,28.2
"GCF_000817935.1_ASM81793v1_genomic.fna","FASTA","DNA",2,4365669,275986,2182834.5,4089683,275986,2182834.5,4089683,0,4089683,0,0,28
"GCF_000253195.1_ASM25319v1_genomic.fna","FASTA","DNA",1,3919740,3919740,3919740,3919740,3919740,3919740,3919740,0,3919740,0,0,28.21
"GCF_001889365.1_ASM188936v1_genomic.fna","FASTA","DNA",2,4432564,196981,2216282,4235583,196981,2216282,4235583,0,4235583,0,0,28.1
"GCF_000307125.1_ASM30712v1_genomic.fna","FASTA","DNA",2,3829198,47689,1914599,3781509,47689,1914599,3781509,0,3781509,0,0,27.4
"GCF_017100085.1_ASM1710008v1_genomic.fna","FASTA","DNA",3,3137507,95907,1045835.7,2838878,149314.5,202722,1520800,0,2838878,0,0,28.34
"GCF_001879605.1_ASM187960v1_genomic.fna","FASTA","DNA",1,4089027,4089027,4089027,4089027,4089027,4089027,4089027,0,4089027,0,0,28.14
"GCF_003058445.1_ASM305844v1_genomic.fna","FASTA","DNA",2,3930410,10094,1965205,3920316,10094,1965205,3920316,0,3920316,0,0,28.19
"GCF_000789355.1_ASM78935v1_genomic.fna","FASTA","DNA",2,3914604,40142,1957302,3874462,40142,1957302,3874462,0,3874462,0,0,27.43
"GCF_014068615.1_ASM1406861v1_genomic.fna","FASTA","DNA",2,3918289,5926,1959144.5,3912363,5926,1959144.5,3912363,0,3912363,0,0,28.18
"GCF_000017065.1_ASM1706v1_genomic.fna","FASTA","DNA",2,4012918,17531,2006459,3995387,17531,2006459,3995387,0,3995387,0,0,28.3
"GCF_001921965.1_ASM192196v1_genomic.fna","FASTA","DNA",2,4011842,17568,2005921,3994274,17568,2005921,3994274,0,3994274,0,0,28.19
"GCF_000022765.1_ASM2276v1_genomic.fna","FASTA","DNA",1,4155278,4155278,4155278,4155278,4155278,4155278,4155278,0,4155278,0,0,28.21
"GCF_000020165.1_ASM2016v1_genomic.fna","FASTA","DNA",2,3847969,47642,1923984.5,3800327,47642,1923984.5,3800327,0,3800327,0,0,27.48
"GCF_000017025.1_ASM1702v1_genomic.fna","FASTA","DNA",1,3863450,3863450,3863450,3863450,3863450,3863450,3863450,0,3863450,0,0,28.21
"GCF_009733885.1_ASM973388v1_genomic.fna","FASTA","DNA",2,3903111,16344,1951555.5,3886767,16344,1951555.5,3886767,0,3886767,0,0,28.24
"GCF_003017335.1_ASM301733v1_genomic.fna","FASTA","DNA",1,3978960,3978960,3978960,3978960,3978960,3978960,3978960,0,3978960,0,0,28.08
"GCF_002865745.1_ASM286574v1_genomic.fna","FASTA","DNA",1,3945134,3945134,3945134,3945134,3945134,3945134,3945134,0,3945134,0,0,28.24
"GCF_000020345.1_ASM2034v1_genomic.fna","FASTA","DNA",3,4257769,9953,1419256.3,3977794,139987.5,270022,2123908,0,3977794,0,0,28.04
"GCF_000017045.1_ASM1704v1_genomic.fna","FASTA","DNA",1,3760560,3760560,3760560,3760560,3760560,3760560,3760560,0,3760560,0,0,28.18
"GCF_000020285.1_ASM2028v1_genomic.fna","FASTA","DNA",1,3659644,3659644,3659644,3659644,3659644,3659644,3659644,0,3659644,0,0,27.36
"GCF_001921945.1_ASM192194v1_genomic.fna","FASTA","DNA",2,4194523,266230,2097261.5,3928293,266230,2097261.5,3928293,0,3928293,0,0,28.01
"GCF_016798345.1_ASM1679834v1_genomic.fna","FASTA","DNA",1,3815652,3815652,3815652,3815652,3815652,3815652,3815652,0,3815652,0,0,28.17
